"ID","GaelicKeywords","WordBreaks","GaelicKeywordsTraditionalSpelling","WordClass","WordClassMerged"
"1","uisge, , uisge, , , , , , , , , uisgeachan, , uisgean, , uisgeacha, , uisgidh, , uisgibh, , uisgeachan, , , , , , , , , , , ",", , , , , , , , , , , uisg!eachan, , uisg!ean, , uisg!eacha, , uisg!idh, , uisg!ibh, , uisg!eachan, , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"2","gorm, ghorm, guirme, ghuirme, guirmead, ghuirmead, gorma, ghorma, guirm, ghuirm, guirme, ghuirme, guirm, ghuirm, , ",", , , , guirm!ead, ghuirm!ead, , , , , , , , , , ",", , , , , , , , , , , , , , , ","bua.","adjective"
"3","togam, thogam, tog, togadh, thogadh, togamaid, thogamaid, togaibh, togadh, thogadh, togail, thogail, , , togalachd, thogalachd, , , , , , , , , , , togaidh, thogas, tog, thog, thog, do thog, togta, thogta, thogainn, thogadh, thogamaid, togainn, thogainn, togadh, thogadh, togamaid, thogamaid, togar, togtar, togar, thogar, togar, thogar, thogadh, do thogadh, thogte, thogaiste, thogaist, togte, togaiste, togaist, thogte, thogaiste, thogaist, , ","tog!am, , tog!adh, tog!amaid, tog!aibh, , tog!ail, tho!gail, , , tog!alachd, thog!alachd, , , , , , , , , , , tog!aidh, thog!as, , , , , tog!ta, thog!ta, thog!ainn, thog!adh, thog!amaid, tog!ainn, , , , , , tog!ar, tog!tar, , thog!ar, , , , , thog!te, thog!aiste, thog!aist, tog!te, tog!aiste, tog!aist, , , , , ",", , , , , , , , togbhail, thogbhail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","gn.","verb"
"4","an seo, ",", ","an-seo, a-seo, ana-seo, ann a' seo, ","co-ghn.","adverb"
"5","deoch-bhiugh, dheoch-bhiugh, deoch-bhiugh, dheoch-bhiugh, , , , , , , , deoch-bhiughan, dheoch-bhiughan, , , , , , , deoch-bhiughaibh, dheoch-bhiughaibh, deoch-bhiughan, dheoch-bhiughan, , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"6","taigh, thaigh, taighe, thaighe, , , , , , , , taighean, thaighean, taigheachan, thaigheachan, , , , , taighibh, thaighibh, taighean, thaighean, , , , , , , , , , ",", , , , , , , , , , , thaigh!ean, thaigh!ean, taigh!eachan, thaigh!eachan, , , , , taigh!ibh, thaigh!ibh, , , , , , , , , , , , ","tigh, thigh, tighe, thighe, , , , , , , , tighean, thighean, tigheachan, thigheachan, , , , , tighibh, thighibh, , , , , , , , , , , , ","fir.","noun"
"7","mac, mhac, mic, mhic, , 'ic, 'Ic, , , , , mhic, mic, mhic, , , , , , , macaibh, mhacaibh, mac, mhac, , , , , , , mhaca, , , ",", , , , , , , , , , , , , , , , , , , mac!aibh, mhac!aibh, , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"8","dealbh, dhealbh, deilbh, dheilbh, deilbhe, dheilbhe, dealbha, dhealbha, , , , dealbhan, dhealbhan, dealbhannan, dhealbhannan, , , , , dealbhaibh, dhealbhaibh, dealbhan, dhealbhan, dealbhannan, dhealbhannan, , , , , , , , ",", , , , , , , , , , , dealbh!an, dhealbh!an, dealbh!annan, dhealbh!annan, , , , , dealbh!aibh, dhealbh!aibh, , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"9","leabhar, Leabhar, , leabhair, Leabhair, , , , , , , , leabhair, leabhaire, leabhra, leòra, leabhara, leabhraichean, , , , , , , , leabharaibh, , leabhraichean, , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , leabh!raibh, leabhar!aibh, , , , , , , , , , , , , ","leobhar, , leobhair, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","fir.","noun"
"10","caileag, chaileag, caileig, chaileig, caileige, chaileige, , , , , , , chaileag, caileagan, chaileagan, , , , , , , caileagaibh, chaileagaibh, caileagan, chaileagan, , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , caileag!aibh, chaileag!aibh, caileag!an, chaileag!an, , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"11","uinneag, , uinneig, , uinneige, , , , , , , , , uinneagan, , , , , , , , uinneagaibh, , uinneagan, , , , , , , , , , ",", , , , , , , , , , , , , uinneag!an, , , , , , , , uinneag!aibh, , , , , , , , , , , , ",", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ","boir.","noun"
"12","seòlta, seòilte, sheòlta, sheòilte, seòlta, sheòlta, , , seòlta, sheòlta, seòlta, sheòlta, seòlta, sheòlta, seòlta, sheòlta, , ","seòl!ta, seòil!te, sheòl!ta, sheòil!te, , , , , , , , , , , , , , ",", , , , , , , , , , , , , , , ","bua.","adjective"
