2015 JUNIOR CERTIFICATE STATISTICS,,,,,,,,
COMMON LEVEL,,,,,,,,
SCHOOL BASED CANDIDATES ONLY,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,A   ,B   ,C   ,D   ,E   ,F   ,NG  ,TOTALS  
,,,,,,,,
    OIDEACHAS SAORÁNAC,12215,24916,14696,4882,932,437,58,58136
,,,,,,,,
    C.S.P.E,21,42.9,25.3,8.4,1.6,0.8,0.1,
,,,,,,,,
    TOTAL FEMALE,7691,13046,5904,1585,258,123,8,28615
,,,,,,,,
    % FEMALE ,26.9,45.6,20.6,5.5,0.9,0.4,0,
,,,,,,,,
    TOTAL MALE,4524,11870,8792,3297,674,314,50,29521
,,,,,,,,
    % MALE ,15.3,40.2,29.8,11.2,2.3,1.1,0.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
