2015 JUNIOR CERTIFICATE STATISTICS,,,,,,,,
FOUNDATION LEVEL,,,,,,,,
SCHOOL BASED CANDIDATES ONLY,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,A   ,B   ,C   ,D   ,E   ,F   ,NG  ,TOTALS  
,,,,,,,,
    GAEILGE,153,384,428,201,39,10,2,1217
,,,,,,,,
    IRISH,12.6,31.6,35.2,16.5,3.2,0.8,0.2,
,,,,,,,,
    TOTAL FEMALE,95,187,129,41,4,1,0,457
,,,,,,,,
    % FEMALE ,20.8,40.9,28.2,9,0.9,0.2,0,
,,,,,,,,
    TOTAL MALE,58,197,299,160,35,9,2,760
,,,,,,,,
    % MALE ,7.6,25.9,39.3,21.1,4.6,1.2,0.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    BÉARLA,104,275,395,219,43,21,3,1060
,,,,,,,,
    ENGLISH,9.8,25.9,37.3,20.7,4.1,2,0.3,
,,,,,,,,
    TOTAL FEMALE,51,110,134,54,12,3,0,364
,,,,,,,,
    % FEMALE ,14,30.2,36.8,14.8,3.3,0.8,0,
,,,,,,,,
    TOTAL MALE,53,165,261,165,31,18,3,696
,,,,,,,,
    % MALE ,7.6,23.7,37.5,23.7,4.5,2.6,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    MATAMAITIC,507,1250,1051,564,95,15,2,3484
,,,,,,,,
    MATHEMATICS,14.6,35.9,30.2,16.2,2.7,0.4,0.1,
,,,,,,,,
    TOTAL FEMALE,198,525,469,260,41,4,0,1497
,,,,,,,,
    % FEMALE ,13.2,35.1,31.3,17.4,2.7,0.3,0,
,,,,,,,,
    TOTAL MALE,309,725,582,304,54,11,2,1987
,,,,,,,,
    % MALE ,15.6,36.5,29.3,15.3,2.7,0.6,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
