2015 JUNIOR CERTIFICATE STATISTICS,,,,,,,,
HIGHER LEVEL,,,,,,,,
SCHOOL BASED CANDIDATES ONLY,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,A   ,B   ,C   ,D   ,E   ,F   ,NG  ,TOTALS  
,,,,,,,,
    GAEILGE,3252,10235,11105,4146,321,36,5,29100
,,,,,,,,
    IRISH,11.2,35.2,38.2,14.2,1.1,0.1,0,
,,,,,,,,
    TOTAL FEMALE,2231,6279,6096,1898,94,7,2,16607
,,,,,,,,
    % FEMALE ,13.4,37.8,36.7,11.4,0.6,0,0,
,,,,,,,,
    TOTAL MALE,1021,3956,5009,2248,227,29,3,12493
,,,,,,,,
    % MALE ,8.2,31.7,40.1,18,1.8,0.2,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    BÉARLA,4133,11544,17809,10017,753,69,8,44333
,,,,,,,,
    ENGLISH,9.3,26,40.2,22.6,1.7,0.2,0,
,,,,,,,,
    TOTAL FEMALE,2756,7073,9210,4073,199,12,1,23324
,,,,,,,,
    % FEMALE ,11.8,30.3,39.5,17.5,0.9,0.1,0,
,,,,,,,,
    TOTAL MALE,1377,4471,8599,5944,554,57,7,21009
,,,,,,,,
    % MALE ,6.6,21.3,40.9,28.3,2.6,0.3,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    MATAMAITIC,3667,10157,10466,6866,1210,157,12,32535
,,,,,,,,
    MATHEMATICS,11.3,31.2,32.2,21.1,3.7,0.5,0,
,,,,,,,,
    TOTAL FEMALE,1745,5228,5362,3519,538,63,1,16456
,,,,,,,,
    % FEMALE ,10.6,31.8,32.6,21.4,3.3,0.4,0,
,,,,,,,,
    TOTAL MALE,1922,4929,5104,3347,672,94,11,16079
,,,,,,,,
    % MALE ,12,30.7,31.7,20.8,4.2,0.6,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    STAIR,5943,10908,11257,8495,2637,521,27,39788
,,,,,,,,
    HISTORY,14.9,27.4,28.3,21.4,6.6,1.3,0.1,
,,,,,,,,
    TOTAL FEMALE,3350,5671,5463,3920,1115,178,6,19703
,,,,,,,,
    % FEMALE ,17,28.8,27.7,19.9,5.7,0.9,0,
,,,,,,,,
    TOTAL MALE,2593,5237,5794,4575,1522,343,21,20085
,,,,,,,,
    % MALE ,12.9,26.1,28.8,22.8,7.6,1.7,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    TÍREOLAÍOCHT,3679,14255,16512,10518,1201,61,3,46229
,,,,,,,,
    GEOGRAPHY,8,30.8,35.7,22.8,2.6,0.1,0,
,,,,,,,,
,,,,,,,,
    TOTAL FEMALE,2053,7551,7908,4854,580,25,0,22971
,,,,,,,,
    % FEMALE ,8.9,32.9,34.4,21.1,2.5,0.1,0,
,,,,,,,,
    TOTAL MALE,1626,6704,8604,5664,621,36,3,23258
,,,,,,,,
    % MALE ,7,28.8,37,24.4,2.7,0.2,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    LAIDIN,85,72,40,49,23,2,1,272
,,,,,,,,
    LATIN,31.3,26.5,14.7,18,8.5,0.7,0.4,
,,,,,,,,
    TOTAL FEMALE,12,11,4,1,1,0,0,29
,,,,,,,,
    % FEMALE ,41.4,37.9,13.8,3.4,3.4,0,0,
,,,,,,,,
    TOTAL MALE,73,61,36,48,22,2,1,243
,,,,,,,,
    % MALE ,30,25.1,14.8,19.8,9.1,0.8,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    LÉANN CLASAICEACH,109,166,139,67,26,5,0,512
,,,,,,,,
    CLASSICAL STUDIES,21.3,32.4,27.1,13.1,5.1,1,0,
,,,,,,,,
    TOTAL FEMALE,49,38,27,10,7,1,0,132
,,,,,,,,
    % FEMALE ,37.1,28.8,20.5,7.6,5.3,0.8,0,
,,,,,,,,
    TOTAL MALE,60,128,112,57,19,4,0,380
,,,,,,,,
    % MALE ,15.8,33.7,29.5,15,5,1.1,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    FRAINCIS,2456,6724,8365,5965,1233,119,4,24866
,,,,,,,,
    FRENCH,9.9,27,33.6,24,5,0.5,0,
,,,,,,,,
    TOTAL FEMALE,1648,4217,4603,2816,508,45,2,13839
,,,,,,,,
    % FEMALE ,11.9,30.5,33.3,20.3,3.7,0.3,0,
,,,,,,,,
    TOTAL MALE,808,2507,3762,3149,725,74,2,11027
,,,,,,,,
    % MALE ,7.3,22.7,34.1,28.6,6.6,0.7,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    GEARMÁINIS,1079,2738,2788,1911,449,44,2,9011
,,,,,,,,
    GERMAN,12,30.4,30.9,21.2,5,0.5,0,
,,,,,,,,
    TOTAL FEMALE,707,1613,1365,803,145,10,0,4643
,,,,,,,,
    % FEMALE ,15.2,34.7,29.4,17.3,3.1,0.2,0,
,,,,,,,,
    TOTAL MALE,372,1125,1423,1108,304,34,2,4368
,,,,,,,,
    % MALE ,8.5,25.8,32.6,25.4,7,0.8,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
,,,,,,,,
    SPÁINNIS,958,2021,1944,1091,225,45,5,6289
,,,,,,,,
    SPANISH,15.2,32.1,30.9,17.3,3.6,0.7,0.1,
,,,,,,,,
    TOTAL FEMALE,587,1201,1063,510,73,13,0,3447
,,,,,,,,
    % FEMALE ,17,34.8,30.8,14.8,2.1,0.4,0,
,,,,,,,,
    TOTAL MALE,371,820,881,581,152,32,5,2842
,,,,,,,,
    % MALE ,13.1,28.9,31,20.4,5.3,1.1,0.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    IODÁILIS,59,82,91,67,20,2,0,321
,,,,,,,,
    ITALIAN,18.4,25.5,28.3,20.9,6.2,0.6,0,
,,,,,,,,
    TOTAL FEMALE,42,65,65,37,11,0,0,220
,,,,,,,,
    % FEMALE ,19.1,29.5,29.5,16.8,5,0,0,
,,,,,,,,
    TOTAL MALE,17,17,26,30,9,2,0,101
,,,,,,,,
    % MALE ,16.8,16.8,25.7,29.7,8.9,2,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    EALAÍN  CEIRD  DEA,3251,4615,5483,1999,175,33,3,15559
,,,,,,,,
    ART  CRAFT  DESIGN,20.9,29.7,35.2,12.8,1.1,0.2,0,
,,,,,,,,
    TOTAL FEMALE,2691,3466,3450,1053,75,16,0,10751
,,,,,,,,
    % FEMALE ,25,32.2,32.1,9.8,0.7,0.1,0,
,,,,,,,,
    TOTAL MALE,560,1149,2033,946,100,17,3,4808
,,,,,,,,
    % MALE ,11.6,23.9,42.3,19.7,2.1,0.4,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    STAIDÉAR GNÓ,2212,8692,8996,5086,655,83,4,25728
,,,,,,,,
    BUSINESS STUDIES,8.6,33.8,35,19.8,2.5,0.3,0,
,,,,,,,,
    TOTAL FEMALE,1278,4590,4312,2342,276,26,1,12825
,,,,,,,,
    % FEMALE ,10,35.8,33.6,18.3,2.2,0.2,0,
,,,,,,,,
    TOTAL MALE,934,4102,4684,2744,379,57,3,12903
,,,,,,,,
    % MALE ,7.2,31.8,36.3,21.3,2.9,0.4,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    CEOL,1253,3869,2837,973,91,49,0,9072
