2015 JUNIOR CERTIFICATE STATISTICS,,,,,,,,
ORDINARY LEVEL,,,,,,,,
SCHOOL BASED CANDIDATES ONLY,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,A   ,B   ,C   ,D   ,E   ,F   ,NG  ,TOTALS  
,,,,,,,,
    GAEILGE,450,6271,9309,4776,767,89,17,21679
,,,,,,,,
    IRISH,2.1,28.9,42.9,22,3.5,0.4,0.1,
,,,,,,,,
    TOTAL FEMALE,301,3342,3962,1477,157,12,1,9252
,,,,,,,,
    % FEMALE ,3.3,36.1,42.8,16,1.7,0.1,0,
,,,,,,,,
    TOTAL MALE,149,2929,5347,3299,610,77,16,12427
,,,,,,,,
    % MALE ,1.2,23.6,43,26.5,4.9,0.6,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    BÉARLA,827,3957,5782,2785,220,40,16,13627
,,,,,,,,
    ENGLISH,6.1,29,42.4,20.4,1.6,0.3,0.1,
,,,,,,,,
    TOTAL FEMALE,507,1940,2119,681,48,9,5,5309
,,,,,,,,
    % FEMALE ,9.5,36.5,39.9,12.8,0.9,0.2,0.1,
,,,,,,,,
    TOTAL MALE,320,2017,3663,2104,172,31,11,8318
,,,,,,,,
    % MALE ,3.8,24.2,44,25.3,2.1,0.4,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    MATAMAITIC,1689,6472,7879,5448,1131,214,23,22856
,,,,,,,,
    MATHEMATICS,7.4,28.3,34.5,23.8,4.9,0.9,0.1,
,,,,,,,,
    TOTAL FEMALE,979,3276,3667,2448,496,84,8,10958
,,,,,,,,
    % FEMALE ,8.9,29.9,33.5,22.3,4.5,0.8,0.1,
,,,,,,,,
    TOTAL MALE,710,3196,4212,3000,635,130,15,11898
,,,,,,,,
    % MALE ,6,26.9,35.4,25.2,5.3,1.1,0.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    STAIR,1445,4727,4771,2834,331,68,18,14194
,,,,,,,,
    HISTORY,10.2,33.3,33.6,20,2.3,0.5,0.1,
,,,,,,,,
    TOTAL FEMALE,863,2308,2230,1371,170,34,6,6982
,,,,,,,,
    % FEMALE ,12.4,33.1,31.9,19.6,2.4,0.5,0.1,
,,,,,,,,
    TOTAL MALE,582,2419,2541,1463,161,34,12,7212
,,,,,,,,
    % MALE ,8.1,33.5,35.2,20.3,2.2,0.5,0.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    TÍREOLAÍOCHT,745,3104,3001,1467,289,71,2,8679
,,,,,,,,
    GEOGRAPHY,8.6,35.8,34.6,16.9,3.3,0.8,0,
 ,,,,,,,,
,,,,,,,,
    TOTAL FEMALE,395,1450,1343,694,141,26,1,4050
,,,,,,,,
    % FEMALE ,9.8,35.8,33.2,17.1,3.5,0.6,0,
,,,,,,,,
    TOTAL MALE,350,1654,1658,773,148,45,1,4629
,,,,,,,,
    % MALE ,7.6,35.7,35.8,16.7,3.2,1,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    LÉANN CLASAICEACH,4,26,26,20,12,3,1,92
,,,,,,,,
    CLASSICAL STUDIES,4.3,28.3,28.3,21.7,13,3.3,1.1,
,,,,,,,,
    TOTAL FEMALE,0,5,6,4,3,1,0,19
,,,,,,,,
    % FEMALE ,0,26.3,31.6,21.1,15.8,5.3,0,
,,,,,,,,
    TOTAL MALE,4,21,20,16,9,2,1,73
,,,,,,,,
    % MALE ,5.5,28.8,27.4,21.9,12.3,2.7,1.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    FRAINCIS,204,1580,2594,2135,581,75,9,7178
,,,,,,,,
    FRENCH,2.8,22,36.1,29.7,8.1,1,0.1,
,,,,,,,,
    TOTAL FEMALE,128,838,1165,814,194,14,0,3153
,,,,,,,,
    % FEMALE ,4.1,26.6,36.9,25.8,6.2,0.4,0,
,,,,,,,,
    TOTAL MALE,76,742,1429,1321,387,61,9,4025
,,,,,,,,
    % MALE ,1.9,18.4,35.5,32.8,9.6,1.5,0.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    GEARMÁINIS,116,754,903,479,127,27,6,2412
,,,,,,,,
    GERMAN,4.8,31.3,37.4,19.9,5.3,1.1,0.2,
,,,,,,,,
    TOTAL FEMALE,63,355,332,144,36,3,0,933
,,,,,,,,
    % FEMALE ,6.8,38,35.6,15.4,3.9,0.3,0,
,,,,,,,,
    TOTAL MALE,53,399,571,335,91,24,6,1479
,,,,,,,,
    % MALE ,3.6,27,38.6,22.7,6.2,1.6,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    SPÁINNIS,109,730,760,393,122,42,14,2170
,,,,,,,,
    SPANISH,5,33.6,35,18.1,5.6,1.9,0.6,
,,,,,,,,
    TOTAL FEMALE,61,377,317,151,41,10,2,959
,,,,,,,,
    % FEMALE ,6.4,39.3,33.1,15.7,4.3,1,0.2,
,,,,,,,,
    TOTAL MALE,48,353,443,242,81,32,12,1211
,,,,,,,,
    % MALE ,4,29.1,36.6,20,6.7,2.6,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
 ,,,,,,,,
,,,,,,,,
    IODÁILIS,2,21,49,34,6,1,0,113
,,,,,,,,
    ITALIAN,1.8,18.6,43.4,30.1,5.3,0.9,0,
,,,,,,,,
    TOTAL FEMALE,2,13,16,13,2,0,0,46
,,,,,,,,
    % FEMALE ,4.3,28.3,34.8,28.3,4.3,0,0,
,,,,,,,,
    TOTAL MALE,0,8,33,21,4,1,0,67
,,,,,,,,
    % MALE ,0,11.9,49.3,31.3,6,1.5,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    EALAÍN  CEIRD  DEA,538,1462,1758,904,271,142,20,5095
,,,,,,,,
    ART  CRAFT  DESIGN,10.6,28.7,34.5,17.7,5.3,2.8,0.4,
,,,,,,,,
    TOTAL FEMALE,350,810,800,341,73,35,1,2410
,,,,,,,,
    % FEMALE ,14.5,33.6,33.2,14.1,3,1.5,0,
,,,,,,,,
    TOTAL MALE,188,652,958,563,198,107,19,2685
,,,,,,,,
    % MALE ,7,24.3,35.7,21,7.4,4,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    STAIDÉAR GNÓ,613,2814,2456,1084,292,169,21,7449
,,,,,,,,
    BUSINESS STUDIES,8.2,37.8,33,14.6,3.9,2.3,0.3,
,,,,,,,,
    TOTAL FEMALE,359,1479,1108,412,101,38,3,3500
,,,,,,,,
    % FEMALE ,10.3,42.3,31.7,11.8,2.9,1.1,0.1,
,,,,,,,,
    TOTAL MALE,254,1335,1348,672,191,131,18,3949
,,,,,,,,
    % MALE ,6.4,33.8,34.1,17,4.8,3.3,0.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    CEOL,33,462,701,374,64,70,6,1710
,,,,,,,,
    MUSIC,1.9,27,41,21.9,3.7,4.1,0.4,
,,,,,,,,
    TOTAL FEMALE,27,306,458,235,32,41,2,1101
,,,,,,,,
    % FEMALE ,2.5,27.8,41.6,21.3,2.9,3.7,0.2,
,,,,,,,,
    TOTAL MALE,6,156,243,139,32,29,4,609
,,,,,,,,
    % MALE ,1,25.6,39.9,22.8,5.3,4.8,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,
,,,,,,,,
    TEICNEOLAÍOCHT ÁBH,134,978,1042,460,106,114,40,2874
