Code,Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
1,IRISH                  ,A,2018,22400,4.9,18.1,23.2,23.6,18.4,9.5,2.1,0.3
1,IRISH                  ,B,2018,2912,1.3,9.9,19.3,25.2,21.9,12.7,6.4,3.3
1,IRISH                  ,G,2018,21439,0.3,5.2,19,28.1,24.6,14.7,5.6,2.5
2,ENGLISH                ,A,2018,38283,2.9,10,20,27.9,24.2,12.2,2.3,0.5
2,ENGLISH                ,G,2018,14753,1.5,8.1,20.9,28.2,22.6,12.3,4.5,2
3,MATHEMATICS            ,A,2018,16837,5.5,13.5,18.7,21.6,20.1,13,5.8,1.7
3,MATHEMATICS            ,B,2018,5218,3,10.8,19.9,23.7,20.2,14,5.2,3.3
3,MATHEMATICS            ,G,2018,31336,1.5,10.8,20.7,24.1,20.2,13.1,5.9,3.7
4,HISTORY                ,A,2018,8509,6.5,14.9,21.2,22.9,17.5,10.9,4.7,1.3
4,HISTORY                ,G,2018,2966,5.1,11,17.7,24.3,21.6,13.6,3.9,2.6
5,GEOGRAPHY              ,A,2018,19106,3.5,12.5,19.7,23.3,20.8,14.1,4.9,1.1
5,GEOGRAPHY              ,G,2018,4220,2,9.5,20,27.7,21.3,13.1,4.3,2.2
6,LATIN                  ,A,2018,59,16.9,27.1,32.2,10.2,10.2,1.7,0,1.7
7,ANCIENT GREEK          ,A,2018,12,25,8.3,25,8.3,16.7,16.7,0,0
8,CLASSICAL STUDIES      ,A,2018,527,4.9,10.1,19.9,18.8,20.3,15,5.9,5.1
8,CLASSICAL STUDIES      ,G,2018,45,2.2,4.4,4.4,6.7,20,24.4,13.3,24.4
10,FRENCH                 ,A,2018,15485,5.9,14,18,21.2,20.7,14.3,5,0.8
10,FRENCH                 ,G,2018,8225,0.1,3.2,13.7,25.5,26.7,18.9,8.4,3.4
11,GERMAN                 ,A,2018,6194,5.4,15.3,20.5,21.6,18.8,12.5,4.9,1
11,GERMAN                 ,G,2018,2309,0.3,6.2,20.6,27.5,23.3,13.2,6,2.8
12,SPANISH                ,A,2018,4967,7.6,16.5,21.1,21.4,17.9,10.9,3.7,0.8
