Code,Subject,         Level,Year,    Total,         A,         B,         C,         D,         E,         F,         NG,
  1,IRISH                  ,A,   2019,32846,        12.00,    36.30,    35.10,    14.70,     1.60,     0.20,     0.00,
  1,IRISH                  ,B,   2019, 1133,         7.50,    31.90,    38.00,    17.30,     4.40,     0.70,     0.20,
  1,IRISH                  ,G,   2019,21880,         2.20,    27.60,    43.70,    22.10,     3.60,     0.70,     0.20,
  3,MATHEMATICS            ,A,   2019,37433,        13.40,    29.90,    32.00,    20.50,     3.60,     0.50,     0.00,
  3,MATHEMATICS            ,B,   2019, 2808,         7.10,    36.90,    39.70,    14.00,     1.60,     0.50,     0.10,
  3,MATHEMATICS            ,G,   2019,23428,         7.00,    33.60,    34.60,    19.00,     4.30,     1.30,     0.10,
  4,HISTORY                ,A,   2019,41241,        16.70,    25.70,    26.70,    21.00,     8.00,     1.80,     0.20,
  4,HISTORY                ,G,   2019,15683,        11.00,    31.90,    34.20,    19.90,     2.00,     0.80,     0.20,
  5,GEOGRAPHY              ,A,   2019,50040,         8.90,    31.60,    32.50,    22.80,     3.90,     0.30,     0.00,
  5,GEOGRAPHY              ,G,   2019, 8270,         7.30,    32.30,    34.10,    20.60,     4.80,     0.70,     0.00,
  6,LATIN                  ,A,   2019,  242,        30.20,    26.90,    21.50,    14.90,     4.10,     1.70,     0.80,
  6,LATIN                  ,G,   2019,   14,        28.60,    35.70,     7.10,     7.10,    14.30,     7.10,     0.00,
  7,ANCIENT GREEK          ,A,   2019,   29,        48.30,    17.20,    27.60,     6.90,     0.00,     0.00,     0.00,
  8,CLASSICAL STUDIES      ,A,   2019,  595,        21.50,    33.10,    24.90,    13.40,     4.40,     2.00,     0.70,
  8,CLASSICAL STUDIES      ,G,   2019,   99,        11.10,    24.20,    26.30,    19.20,    13.10,     6.10,     0.00,
 10,FRENCH                 ,A,   2019,24056,        10.90,    27.90,    34.10,    22.60,     3.80,     0.60,     0.00,
 10,FRENCH                 ,G,   2019, 7014,         2.40,    21.30,    38.40,    29.40,     6.80,     1.60,     0.20,
 11,GERMAN                 ,A,   2019, 9328,        13.40,    28.20,    29.60,    22.30,     5.70,     0.80,     0.10,
 11,GERMAN                 ,G,   2019, 2685,         5.00,    33.70,    35.00,    17.80,     5.80,     2.30,     0.30,
 12,SPANISH                ,A,   2019, 9059,        15.20,    28.40,    31.60,    19.00,     4.60,     1.10,     0.20,
 12,SPANISH                ,G,   2019, 3040,         6.10,    30.90,    32.60,    21.00,     6.00,     2.60,     1.00,
 13,ITALIAN                ,A,   2019,  356,        21.90,    17.40,    30.30,    24.70,     4.50,     0.80,     0.30,
 13,ITALIAN                ,G,   2019,  155,         1.30,    18.10,    51.00,    21.30,     7.10,     1.30,     0.00,
 41,ART  CRAFT  DESIGN     ,A,   2019,15419,        19.80,    32.60,    35.70,    10.70,     1.00,     0.10,     0.00,
 41,ART  CRAFT  DESIGN     ,G,   2019, 4574,        11.90,    32.10,    32.60,    15.80,     5.00,     2.30,     0.30,
 46,MUSIC                  ,A,   2019, 9070,        12.90,    43.40,    30.60,    11.60,     0.80,     0.60,     0.00,
 46,MUSIC                  ,G,   2019, 1758,         1.50,    25.30,    41.50,    22.20,     4.30,     5.10,     0.20,
 47,MATERIAL TECHNOLOGY (W ,A,   2019,14694,         7.60,    38.00,    37.10,    14.80,     1.80,     0.50,     0.20,
 47,MATERIAL TECHNOLOGY (W ,G,   2019, 3192,         3.90,    32.50,    35.90,    18.50,     4.30,     3.40,     1.60,
 48,TECHNICAL GRAPHICS     ,A,   2019, 9816,        14.70,    31.70,    30.90,    17.70,     4.00,     0.90,     0.10,
 48,TECHNICAL GRAPHICS     ,G,   2019, 3849,        11.80,    35.30,    25.90,    17.40,     6.40,     2.90,     0.40,
 52,HOME ECONOMICS         ,A,   2019,19671,        11.80,    47.50,    31.80,     7.90,     0.60,     0.30,     0.10,
 52,HOME ECONOMICS         ,G,   2019, 3372,         1.40,    32.20,    46.40,    12.40,     4.20,     1.80,     1.70,
 54,METALWORK              ,A,   2019, 6438,        13.60,    45.70,    28.70,     9.50,     1.80,     0.40,     0.40,
 54,METALWORK              ,G,   2019, 1559,         7.60,    33.80,    26.70,    18.60,     7.00,     5.50,     0.80,
 65,TECHNOLOGY             ,A,   2019, 3913,         8.90,    31.00,    34.30,    20.20,     4.20,     1.10,     0.20,
 65,TECHNOLOGY             ,G,   2019,  662,         4.20,    25.40,    31.40,    24.20,    10.40,     4.10,     0.30,
 81,ENVIRON & SOCIAL STUDI ,A,   2019,  194,         6.20,    32.50,    49.50,     9.30,     1.50,     1.00,     0.00,
 81,ENVIRON & SOCIAL STUDI ,G,   2019,  210,         7.10,    40.00,    33.80,    12.40,     3.80,     1.40,     1.40,
218,C.S.P.E                ,C,   2019,60050,        21.40,    41.00,    25.70,     8.90,     1.90,     0.90,     0.10,
220,RELIGIOUS EDUCATION    ,A,   2019,22233,        12.80,    39.10,    35.90,    10.90,     1.00,     0.20,     0.00,
220,RELIGIOUS EDUCATION    ,G,   2019, 4680,        11.50,    36.80,    35.60,    12.90,     2.50,     0.60,     0.10,
                            G,

