Final Outcome of the 2020 Leaving Certificate (Calculated Grades and Written Examinations),,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,2253,4893,6712,6092,3385,1185,166,39,24725
,,,,,,,,,
    IRISH,9.1,19.8,27.1,24.6,13.7,4.8,0.7,0.2,
,,,,,,,,,
    TOTAL FEMALE,1597,3337,4364,3680,1773,605,75,21,15452
,,,,,,,,,
    % FEMALE ,10.3,21.6,28.2,23.8,11.5,3.9,0.5,0.1,
,,,,,,,,,
    TOTAL MALE,656,1556,2348,2412,1612,580,91,18,9273
,,,,,,,,,
    % MALE ,7.1,16.8,25.3,26,17.4,6.3,1,0.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BÉARLA,1843,5645,10487,11866,8027,3414,557,110,41949
,,,,,,,,,
    ENGLISH,4.4,13.5,25,28.3,19.1,8.1,1.3,0.3,
,,,,,,,,,
    TOTAL FEMALE,1293,3694,6432,6477,3757,1346,196,35,23230
,,,,,,,,,
    % FEMALE ,5.6,15.9,27.7,27.9,16.2,5.8,0.8,0.2,
,,,,,,,,,
    TOTAL MALE,550,1951,4055,5389,4270,2068,361,75,18719
,,,,,,,,,
    % MALE ,2.9,10.4,21.7,28.8,22.8,11,1.9,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,1759,3158,4433,4765,3749,2090,474,92,20520
,,,,,,,,,
    MATHEMATICS,8.6,15.4,21.6,23.2,18.3,10.2,2.3,0.4,
,,,,,,,,,
    TOTAL FEMALE,828,1677,2313,2452,1834,935,191,37,10267
,,,,,,,,,
    % FEMALE ,8.1,16.3,22.5,23.9,17.9,9.1,1.9,0.4,
,,,,,,,,,
    TOTAL MALE,931,1481,2120,2313,1915,1155,283,55,10253
,,,,,,,,,
    % MALE ,9.1,14.4,20.7,22.6,18.7,11.3,2.8,0.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIR,1038,1864,2342,2036,1287,649,187,67,9470
,,,,,,,,,
    HISTORY,11,19.7,24.7,21.5,13.6,6.9,2,0.7,
,,,,,,,,,
    TOTAL FEMALE,631,1047,1134,881,496,201,56,21,4467
,,,,,,,,,
    % FEMALE ,14.1,23.4,25.4,19.7,11.1,4.5,1.3,0.5,
,,,,,,,,,
    TOTAL MALE,407,817,1208,1155,791,448,131,46,5003
,,,,,,,,,
    % MALE ,8.1,16.3,24.1,23.1,15.8,9,2.6,0.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TÍREOLAÍOCHT,1294,2992,4790,5035,3876,1954,464,101,20506
,,,,,,,,,
    GEOGRAPHY,6.3,14.6,23.4,24.6,18.9,9.5,2.3,0.5,
,,,,,,,,,
    TOTAL FEMALE,797,1689,2467,2269,1548,660,148,30,9608
,,,,,,,,,
    % FEMALE ,8.3,17.6,25.7,23.6,16.1,6.9,1.5,0.3,
,,,,,,,,,
    TOTAL MALE,497,1303,2323,2766,2328,1294,316,71,10898
,,,,,,,,,
    % MALE ,4.6,12,21.3,25.4,21.4,11.9,2.9,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LÉANN CLASAICEACH,62,118,132,98,45,21,10,3,489
,,,,,,,,,
    CLASSICAL STUDIES,12.7,24.1,27,20,9.2,4.3,2,0.6,
,,,,,,,,,
    TOTAL FEMALE,42,65,68,45,22,8,3,3,256
,,,,,,,,,
    % FEMALE ,16.4,25.4,26.6,17.6,8.6,3.1,1.2,1.2,
,,,,,,,,,
    TOTAL MALE,20,53,64,53,23,13,7,0,233
,,,,,,,,,
    % MALE ,8.6,22.7,27.5,22.7,9.9,5.6,3,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FRAINCIS,1308,2659,3951,4058,2844,1327,300,72,16519
,,,,,,,,,
    FRENCH,7.9,16.1,23.9,24.6,17.2,8,1.8,0.4,
,,,,,,,,,
    TOTAL FEMALE,921,1807,2625,2573,1640,698,157,26,10447
,,,,,,,,,
    % FEMALE ,8.8,17.3,25.1,24.6,15.7,6.7,1.5,0.2,
,,,,,,,,,
    TOTAL MALE,387,852,1326,1485,1204,629,143,46,6072
,,,,,,,,,
    % MALE ,6.4,14,21.8,24.5,19.8,10.4,2.4,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GEARMÁINIS,626,1178,1628,1596,1066,534,122,29,6779
,,,,,,,,,
    GERMAN,9.2,17.4,24,23.5,15.7,7.9,1.8,0.4,
,,,,,,,,,
    TOTAL FEMALE,416,726,1001,879,573,262,56,13,3926
,,,,,,,,,
    % FEMALE ,10.6,18.5,25.5,22.4,14.6,6.7,1.4,0.3,
,,,,,,,,,
    TOTAL MALE,210,452,627,717,493,272,66,16,2853
,,,,,,,,,
    % MALE ,7.4,15.8,22,25.1,17.3,9.5,2.3,0.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SPÁINNIS,737,1149,1454,1350,963,512,123,42,6330
,,,,,,,,,
    SPANISH,11.6,18.2,23,21.3,15.2,8.1,1.9,0.7,
,,,,,,,,,
    TOTAL FEMALE,515,774,911,825,532,252,45,16,3870
,,,,,,,,,
    % FEMALE ,13.3,20,23.5,21.3,13.7,6.5,1.2,0.4,
,,,,,,,,,
    TOTAL MALE,222,375,543,525,431,260,78,26,2460
,,,,,,,,,
    % MALE ,9,15.2,22.1,21.3,17.5,10.6,3.2,1.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    IODÁILIS,75,69,73,57,35,15,13,1,338
,,,,,,,,,
    ITALIAN,22.2,20.4,21.6,16.9,10.4,4.4,3.8,0.3,
,,,,,,,,,
    TOTAL FEMALE,52,54,53,43,26,12,4,1,245
,,,,,,,,,
    % FEMALE ,21.2,22,21.6,17.6,10.6,4.9,1.6,0.4,
,,,,,,,,,
    TOTAL MALE,23,15,20,14,9,3,9,0,93
,,,,,,,,,
    % MALE ,24.7,16.1,21.5,15.1,9.7,3.2,9.7,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EALAÍN,713,1662,2256,1891,973,423,122,72,8112
,,,,,,,,,
    ART,8.8,20.5,27.8,23.3,12,5.2,1.5,0.9,
,,,,,,,,,
    TOTAL FEMALE,608,1345,1679,1262,554,213,58,38,5757
,,,,,,,,,
    % FEMALE ,10.6,23.4,29.2,21.9,9.6,3.7,1,0.7,
,,,,,,,,,
    TOTAL MALE,105,317,577,629,419,210,64,34,2355
,,,,,,,,,
    % MALE ,4.5,13.5,24.5,26.7,17.8,8.9,2.7,1.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    PORTAINGÉILIS,29,12,14,2,1,4,0,1,63
