2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,3070,5594,7034,5797,2873,879,152,197,25596
,,,,,,,,,
    IRISH,12,21.9,27.5,22.6,11.2,3.4,0.6,0.8,
,,,,,,,,,
    TOTAL FEMALE,2163,3784,4442,3357,1431,392,71,101,15741
,,,,,,,,,
    % FEMALE ,13.7,24,28.2,21.3,9.1,2.5,0.5,0.6,
,,,,,,,,,
    TOTAL MALE,907,1810,2592,2440,1442,487,81,96,9855
,,,,,,,,,
    % MALE ,9.2,18.4,26.3,24.8,14.6,4.9,0.8,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BÉARLA,3289,7839,11968,11313,6071,1960,299,197,42936
,,,,,,,,,
    ENGLISH,7.7,18.3,27.9,26.3,14.1,4.6,0.7,0.5,
,,,,,,,,,
    TOTAL FEMALE,2183,4964,7021,5694,2628,743,112,86,23431
,,,,,,,,,
    % FEMALE ,9.3,21.2,30,24.3,11.2,3.2,0.5,0.4,
,,,,,,,,,
    TOTAL MALE,1106,2875,4947,5619,3443,1217,187,111,19505
,,,,,,,,,
    % MALE ,5.7,14.7,25.4,28.8,17.7,6.2,1,0.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,3489,3984,4706,4620,3619,1920,362,219,22919
,,,,,,,,,
    MATHEMATICS,15.2,17.4,20.5,20.2,15.8,8.4,1.6,1,
,,,,,,,,,
    TOTAL FEMALE,1574,2147,2588,2427,1717,825,152,98,11528
,,,,,,,,,
    % FEMALE ,13.6,18.6,22.5,21,14.9,7.2,1.3,0.9,
,,,,,,,,,
    TOTAL MALE,1915,1837,2118,2193,1902,1095,210,121,11391
,,,,,,,,,
    % MALE ,16.8,16.1,18.6,19.3,16.7,9.6,1.8,1.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIR,1838,2342,2308,1839,1057,438,114,117,10053
,,,,,,,,,
    HISTORY,18.3,23.3,23,18.3,10.5,4.4,1.1,1.2,
,,,,,,,,,
    TOTAL FEMALE,1094,1209,1024,691,347,145,35,40,4585
,,,,,,,,,
    % FEMALE ,23.9,26.4,22.3,15.1,7.6,3.2,0.8,0.9,
,,,,,,,,,
    TOTAL MALE,744,1133,1284,1148,710,293,79,77,5468
,,,,,,,,,
    % MALE ,13.6,20.7,23.5,21,13,5.4,1.4,1.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TÍREOLAÍOCHT,2171,3923,5061,4885,3215,1394,334,178,21161
,,,,,,,,,
    GEOGRAPHY,10.3,18.5,23.9,23.1,15.2,6.6,1.6,0.8,
,,,,,,,,,
    TOTAL FEMALE,1286,2147,2390,2041,1199,470,108,74,9715
,,,,,,,,,
    % FEMALE ,13.2,22.1,24.6,21,12.3,4.8,1.1,0.8,
,,,,,,,,,
    TOTAL MALE,885,1776,2671,2844,2016,924,226,104,11446
,,,,,,,,,
    % MALE ,7.7,15.5,23.3,24.8,17.6,8.1,2,0.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LÉANN CLASAICEACH,137,146,112,93,43,16,3,3,553
,,,,,,,,,
    CLASSICAL STUDIES,24.8,26.4,20.3,16.8,7.8,2.9,0.5,0.5,
,,,,,,,,,
    TOTAL FEMALE,74,88,56,38,13,8,2,0,279
,,,,,,,,,
    % FEMALE ,26.5,31.5,20.1,13.6,4.7,2.9,0.7,0,
,,,,,,,,,
    TOTAL MALE,63,58,56,55,30,8,1,3,274
,,,,,,,,,
    % MALE ,23,21.2,20.4,20.1,10.9,2.9,0.4,1.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FRAINCIS,1817,3071,3972,3912,2492,1096,226,80,16666
,,,,,,,,,
    FRENCH,10.9,18.4,23.8,23.5,15,6.6,1.4,0.5,
,,,,,,,,,
    TOTAL FEMALE,1243,2108,2621,2419,1440,587,122,41,10581
,,,,,,,,,
    % FEMALE ,11.7,19.9,24.8,22.9,13.6,5.5,1.2,0.4,
,,,,,,,,,
    TOTAL MALE,574,963,1351,1493,1052,509,104,39,6085
,,,,,,,,,
    % MALE ,9.4,15.8,22.2,24.5,17.3,8.4,1.7,0.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GEARMÁINIS,855,1365,1695,1504,958,407,92,32,6908
,,,,,,,,,
    GERMAN,12.4,19.8,24.5,21.8,13.9,5.9,1.3,0.5,
,,,,,,,,,
    TOTAL FEMALE,544,873,972,803,465,173,37,12,3879
,,,,,,,,,
    % FEMALE ,14,22.5,25.1,20.7,12,4.5,1,0.3,
,,,,,,,,,
    TOTAL MALE,311,492,723,701,493,234,55,20,3029
,,,,,,,,,
    % MALE ,10.3,16.2,23.9,23.1,16.3,7.7,1.8,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SPÁINNIS,1179,1394,1491,1315,836,347,81,35,6678
,,,,,,,,,
    SPANISH,17.6,20.9,22.3,19.7,12.5,5.2,1.2,0.5,
,,,,,,,,,
    TOTAL FEMALE,790,892,891,755,443,174,31,14,3990
,,,,,,,,,
    % FEMALE ,19.8,22.4,22.3,18.9,11.1,4.4,0.8,0.4,
,,,,,,,,,
    TOTAL MALE,389,502,600,560,393,173,50,21,2688
,,,,,,,,,
    % MALE ,14.5,18.7,22.3,20.8,14.6,6.4,1.9,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    IODÁILIS,128,86,60,38,29,11,4,3,359
,,,,,,,,,
    ITALIAN,35.7,24,16.7,10.6,8.1,3.1,1.1,0.8,
,,,,,,,,,
    TOTAL FEMALE,90,63,44,32,20,7,3,2,261
,,,,,,,,,
    % FEMALE ,34.5,24.1,16.9,12.3,7.7,2.7,1.1,0.8,
,,,,,,,,,
    TOTAL MALE,38,23,16,6,9,4,1,1,98
,,,,,,,,,
    % MALE ,38.8,23.5,16.3,6.1,9.2,4.1,1,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EALAÍN,1044,1871,2145,1575,754,299,105,132,7925
,,,,,,,,,
    ART,13.2,23.6,27.1,19.9,9.5,3.8,1.3,1.7,
,,,,,,,,,
    TOTAL FEMALE,877,1505,1544,1047,445,162,56,61,5697
,,,,,,,,,
    % FEMALE ,15.4,26.4,27.1,18.4,7.8,2.8,1,1.1,
,,,,,,,,,
    TOTAL MALE,167,366,601,528,309,137,49,71,2228
,,,,,,,,,
    % MALE ,7.5,16.4,27,23.7,13.9,6.1,2.2,3.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    PORTAINGÉILIS,31,23,19,11,10,11,1,3,109
