2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,691,2553,5145,6139,4917,2876,613,367,23301
,,,,,,,,,
    IRISH,3,11,22.1,26.3,21.1,12.3,2.6,1.6,
,,,,,,,,,
    TOTAL FEMALE,460,1461,2530,2484,1654,853,165,118,9725
,,,,,,,,,
    % FEMALE ,4.7,15,26,25.5,17,8.8,1.7,1.2,
,,,,,,,,,
    TOTAL MALE,231,1092,2615,3655,3263,2023,448,249,13576
,,,,,,,,,
    % MALE ,1.7,8,19.3,26.9,24,14.9,3.3,1.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BÉARLA,758,2091,3627,3656,2327,1181,269,220,14129
,,,,,,,,,
    ENGLISH,5.4,14.8,25.7,25.9,16.5,8.4,1.9,1.6,
,,,,,,,,,
    TOTAL FEMALE,398,1030,1474,1266,658,326,80,87,5319
,,,,,,,,,
    % FEMALE ,7.5,19.4,27.7,23.8,12.4,6.1,1.5,1.6,
,,,,,,,,,
    TOTAL MALE,360,1061,2153,2390,1669,855,189,133,8810
,,,,,,,,,
    % MALE ,4.1,12,24.4,27.1,18.9,9.7,2.1,1.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,2322,4866,7074,7025,5870,3674,947,541,32319
,,,,,,,,,
    MATHEMATICS,7.2,15.1,21.9,21.7,18.2,11.4,2.9,1.7,
,,,,,,,,,
    TOTAL FEMALE,1476,2880,3751,3491,2657,1500,388,222,16365
,,,,,,,,,
    % FEMALE ,9,17.6,22.9,21.3,16.2,9.2,2.4,1.4,
,,,,,,,,,
    TOTAL MALE,846,1986,3323,3534,3213,2174,559,319,15954
,,,,,,,,,
    % MALE ,5.3,12.5,20.8,22.1,20.1,13.6,3.5,2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIR,182,312,491,542,443,314,112,102,2498
,,,,,,,,,
    HISTORY,7.3,12.5,19.7,21.7,17.7,12.6,4.5,4.1,
,,,,,,,,,
    TOTAL FEMALE,101,123,182,210,159,101,35,39,950
,,,,,,,,,
    % FEMALE ,10.6,12.9,19.2,22.1,16.7,10.6,3.7,4.1,
,,,,,,,,,
    TOTAL MALE,81,189,309,332,284,213,77,63,1548
,,,,,,,,,
    % MALE ,5.2,12.2,20,21.4,18.3,13.8,5,4.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TÍREOLAÍOCHT,96,295,597,721,708,501,147,152,3217
,,,,,,,,,
    GEOGRAPHY,3,9.2,18.5,22.4,22,15.6,4.6,4.7,
,,,,,,,,,
    TOTAL FEMALE,50,133,213,277,272,152,47,71,1215
,,,,,,,,,
    % FEMALE ,4.1,10.9,17.5,22.8,22.4,12.5,3.9,5.8,
,,,,,,,,,
    TOTAL MALE,46,162,384,444,436,349,100,81,2002
,,,,,,,,,
    % MALE ,2.3,8.1,19.1,22.2,21.8,17.4,5,4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LÉANN CLASAICEACH,3,6,8,3,4,7,6,2,39
,,,,,,,,,
    CLASSICAL STUDIES,7.7,15.4,20.5,7.7,10.3,17.9,15.4,5.1,
,,,,,,,,,
    TOTAL FEMALE,3,4,7,2,2,2,2,2,24
,,,,,,,,,
    % FEMALE ,12.5,16.7,29.2,8.3,8.3,8.3,8.3,8.3,
,,,,,,,,,
    TOTAL MALE,0,2,1,1,2,5,4,0,15
,,,,,,,,,
    % MALE ,0,13.3,6.7,6.7,13.3,33.3,26.7,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FRAINCIS,138,580,1211,1415,1099,686,156,118,5403
,,,,,,,,,
    FRENCH,2.6,10.7,22.4,26.2,20.3,12.7,2.9,2.2,
,,,,,,,,,
    TOTAL FEMALE,82,338,637,764,518,312,60,51,2762
,,,,,,,,,
    % FEMALE ,3,12.2,23.1,27.7,18.8,11.3,2.2,1.8,
,,,,,,,,,
    TOTAL MALE,56,242,574,651,581,374,96,67,2641
,,,,,,,,,
    % MALE ,2.1,9.2,21.7,24.6,22,14.2,3.6,2.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GEARMÁINIS,56,207,401,435,314,204,44,34,1695
,,,,,,,,,
    GERMAN,3.3,12.2,23.6,25.6,18.5,12,2.6,2.1,
,,,,,,,,,
    TOTAL FEMALE,32,99,209,185,126,80,12,9,752
,,,,,,,,,
    % FEMALE ,4.3,13.2,27.8,24.6,16.8,10.6,1.6,1.2,
,,,,,,,,,
    TOTAL MALE,24,108,192,250,188,124,32,25,933
,,,,,,,,,
    % MALE ,2.5,11.4,20.3,26.5,19.9,13.1,3.4,2.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SPÁINNIS,79,278,466,431,354,211,52,37,1908
,,,,,,,,,
    SPANISH,4.1,14.6,24.4,22.6,18.6,11.1,2.7,1.9,
,,,,,,,,,
    TOTAL FEMALE,46,169,232,213,151,103,28,17,959
,,,,,,,,,
    % FEMALE ,4.8,17.6,24.2,22.2,15.7,10.7,2.9,1.8,
,,,,,,,,,
    TOTAL MALE,33,109,234,218,203,108,24,20,949
,,,,,,,,,
    % MALE ,3.5,11.5,24.7,23,21.4,11.4,2.5,2.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    IODÁILIS,1,14,21,27,17,10,4,3,97
,,,,,,,,,
    ITALIAN,1,14.4,21.6,27.8,17.5,10.3,4.1,3.1,
,,,,,,,,,
    TOTAL FEMALE,0,8,16,20,13,5,3,0,65
,,,,,,,,,
    % FEMALE ,0,12.3,24.6,30.8,20,7.7,4.6,0,
,,,,,,,,,
    TOTAL MALE,1,6,5,7,4,5,1,3,32
,,,,,,,,,
    % MALE ,3.1,18.8,15.6,21.9,12.5,15.6,3.1,9.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EALAÍN,72,166,262,249,240,182,70,176,1417
,,,,,,,,,
    ART,5.1,11.7,18.5,17.6,16.9,12.8,4.9,12.4,
,,,,,,,,,
    TOTAL FEMALE,43,85,135,123,106,77,33,92,694
,,,,,,,,,
    % FEMALE ,6.2,12.2,19.5,17.7,15.3,11.1,4.8,13.3,
,,,,,,,,,
    TOTAL MALE,29,81,127,126,134,105,37,84,723
,,,,,,,,,
    % MALE ,4,11.2,17.6,17.4,18.5,14.5,5.1,11.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC,41,104,137,166,127,119,34,50,778
,,,,,,,,,
    PHYSICS,5.3,13.4,17.6,21.3,16.3,15.3,4.4,6.4,
,,,,,,,,,
