2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,3175,5133,5787,5350,3476,1262,211,47,24441
,,,,,,,,,
    IRISH,13,21,23.7,21.9,14.2,5.2,0.9,0.2,
,,,,,,,,,
    TOTAL FEMALE,2285,3358,3619,3135,1854,650,96,23,15020
,,,,,,,,,
    % FEMALE ,15.2,22.4,24.1,20.9,12.4,4.3,0.6,0.2,
,,,,,,,,,
    TOTAL MALE,890,1775,2168,2215,1622,612,115,24,9421
,,,,,,,,,
    % MALE ,9.4,18.8,23,23.5,17.2,6.5,1.2,0.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BÉARLA,3245,7674,12593,11833,6343,1693,290,86,43757
,,,,,,,,,
    ENGLISH,7.4,17.5,28.8,27,14.5,3.9,0.7,0.2,
,,,,,,,,,
    TOTAL FEMALE,2084,4707,7102,6105,2980,748,118,25,23869
,,,,,,,,,
    % FEMALE ,8.7,19.7,29.8,25.6,12.5,3.1,0.5,0.1,
,,,,,,,,,
    TOTAL MALE,1161,2967,5491,5728,3363,945,172,61,19888
,,,,,,,,,
    % MALE ,5.8,14.9,27.6,28.8,16.9,4.8,0.9,0.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,3928,4089,4784,4390,2714,1017,278,65,21265
,,,,,,,,,
    MATHEMATICS,18.5,19.2,22.5,20.6,12.8,4.8,1.3,0.3,
,,,,,,,,,
    TOTAL FEMALE,1628,2086,2571,2379,1423,485,141,27,10740
,,,,,,,,,
    % FEMALE ,15.2,19.4,23.9,22.2,13.2,4.5,1.3,0.3,
,,,,,,,,,
    TOTAL MALE,2300,2003,2213,2011,1291,532,137,38,10525
,,,,,,,,,
    % MALE ,21.9,19,21,19.1,12.3,5.1,1.3,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIR,1713,2160,2043,1581,1068,581,217,69,9432
,,,,,,,,,
    HISTORY,18.2,22.9,21.7,16.8,11.3,6.2,2.3,0.7,
,,,,,,,,,
    TOTAL FEMALE,980,1065,953,693,458,231,100,21,4501
,,,,,,,,,
    % FEMALE ,21.8,23.7,21.2,15.4,10.2,5.2,2.2,0.5,
,,,,,,,,,
    TOTAL MALE,733,1095,1090,888,610,350,117,48,4931
,,,,,,,,,
    % MALE ,14.9,22.2,22.1,18,12.4,7.1,2.4,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TÍREOLAÍOCHT,2043,3520,4301,4221,3072,1120,175,44,18496
,,,,,,,,,
    GEOGRAPHY,11,19,23.3,22.8,16.6,6.1,0.9,0.2,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL FEMALE,1182,1833,1959,1837,1312,467,74,14,8678
,,,,,,,,,
    % FEMALE ,13.6,21.1,22.6,21.2,15.1,5.4,0.9,0.2,
,,,,,,,,,
    TOTAL MALE,861,1687,2342,2384,1760,653,101,30,9818
,,,,,,,,,
    % MALE ,8.8,17.2,23.9,24.3,17.9,6.7,1,0.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LAIDIN,31,22,13,5,6,1,1,1,80
,,,,,,,,,
    LATIN,38.8,27.5,16.3,6.3,7.5,1.3,1.3,1.3,
,,,,,,,,,
    TOTAL FEMALE,4,1,2,1,4,0,1,1,14
,,,,,,,,,
    % FEMALE ,28.6,7.1,14.3,7.1,28.6,0,7.1,7.1,
,,,,,,,,,
    TOTAL MALE,27,21,11,4,2,1,0,0,66
,,,,,,,,,
    % MALE ,40.9,31.8,16.7,6.1,3,1.5,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LÉANN CLASAICEACH,66,114,121,85,46,30,25,12,499
,,,,,,,,,
    CLASSICAL STUDIES,13.2,22.8,24.2,17,9.2,6,5,2.4,
,,,,,,,,,
    TOTAL FEMALE,36,65,54,42,18,15,12,4,246
,,,,,,,,,
    % FEMALE ,14.6,26.4,22,17.1,7.3,6.1,4.9,1.6,
,,,,,,,,,
    TOTAL MALE,30,49,67,43,28,15,13,8,253
,,,,,,,,,
    % MALE ,11.9,19.4,26.5,17,11.1,5.9,5.1,3.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FRAINCIS,2245,2744,2996,3109,2525,1356,416,63,15454
,,,,,,,,,
    FRENCH,14.5,17.8,19.4,20.1,16.3,8.8,2.7,0.4,
,,,,,,,,,
    TOTAL FEMALE,1495,1822,1897,1944,1490,769,231,38,9686
,,,,,,,,,
    % FEMALE ,15.4,18.8,19.6,20.1,15.4,7.9,2.4,0.4,
,,,,,,,,,
    TOTAL MALE,750,922,1099,1165,1035,587,185,25,5768
,,,,,,,,,
    % MALE ,13,16,19.1,20.2,17.9,10.2,3.2,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GEARMÁINIS,1026,1272,1331,1123,850,447,190,36,6275
,,,,,,,,,
    GERMAN,16.4,20.3,21.2,17.9,13.5,7.1,3,0.6,
,,,,,,,,,
    TOTAL FEMALE,661,778,799,605,459,210,97,14,3623
,,,,,,,,,
    % FEMALE ,18.2,21.5,22.1,16.7,12.7,5.8,2.7,0.4,
,,,,,,,,,
    TOTAL MALE,365,494,532,518,391,237,93,22,2652
,,,,,,,,,
    % MALE ,13.8,18.6,20.1,19.5,14.7,8.9,3.5,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
    SPÁINNIS,1555,1440,1283,1257,908,469,147,45,7104
,,,,,,,,,
    SPANISH,21.9,20.3,18.1,17.7,12.8,6.6,2.1,0.6,
,,,,,,,,,
    TOTAL FEMALE,1024,902,734,713,522,253,76,28,4252
,,,,,,,,,
    % FEMALE ,24.1,21.2,17.3,16.8,12.3,6,1.8,0.7,
,,,,,,,,,
    TOTAL MALE,531,538,549,544,386,216,71,17,2852
,,,,,,,,,
    % MALE ,18.6,18.9,19.2,19.1,13.5,7.6,2.5,0.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    IODÁILIS,182,105,62,49,40,15,5,3,461
,,,,,,,,,
    ITALIAN,39.5,22.8,13.4,10.6,8.7,3.3,1.1,0.7,
,,,,,,,,,
    TOTAL FEMALE,118,65,43,46,29,9,4,3,317
,,,,,,,,,
    % FEMALE ,37.2,20.5,13.6,14.5,9.1,2.8,1.3,0.9,
,,,,,,,,,
    TOTAL MALE,64,40,19,3,11,6,1,0,144
,,,,,,,,,
    % MALE ,44.4,27.8,13.2,2.1,7.6,4.2,0.7,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EALAÍN,828,1937,2044,1581,885,318,75,48,7716
