2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    GAEILGE,240,2499,6183,6792,4532,2040,791,443,23520
,,,,,,,,,
    IRISH,1,10.6,26.3,28.9,19.3,8.7,3.4,1.9,
,,,,,,,,,
    TOTAL FEMALE,169,1571,3218,2791,1490,588,223,116,10166
,,,,,,,,,
    % FEMALE ,1.7,15.5,31.7,27.5,14.7,5.8,2.2,1.1,
,,,,,,,,,
    TOTAL MALE,71,928,2965,4001,3042,1452,568,327,13354
,,,,,,,,,
    % MALE ,0.5,6.9,22.2,30,22.8,10.9,4.3,2.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BÉARLA,645,2160,3877,3640,2151,692,188,131,13484
,,,,,,,,,
    ENGLISH,4.8,16,28.8,27,16,5.1,1.4,1,
,,,,,,,,,
    TOTAL FEMALE,366,1005,1577,1246,603,170,48,22,5037
,,,,,,,,,
    % FEMALE ,7.3,20,31.3,24.7,12,3.4,1,0.4,
,,,,,,,,,
    TOTAL MALE,279,1155,2300,2394,1548,522,140,109,8447
,,,,,,,,,
    % MALE ,3.3,13.7,27.2,28.3,18.3,6.2,1.7,1.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC,1977,6280,8173,6946,4798,2708,1304,606,32792
,,,,,,,,,
    MATHEMATICS,6,19.2,24.9,21.2,14.6,8.3,4,1.9,
,,,,,,,,,
    TOTAL FEMALE,1091,3338,4256,3402,2351,1345,628,215,16626
,,,,,,,,,
    % FEMALE ,6.6,20.1,25.6,20.5,14.1,8.1,3.8,1.3,
,,,,,,,,,
    TOTAL MALE,886,2942,3917,3544,2447,1363,676,391,16166
,,,,,,,,,
    % MALE ,5.5,18.2,24.2,21.9,15.1,8.4,4.2,2.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIR,273,483,580,605,409,173,86,23,2632
,,,,,,,,,
    HISTORY,10.4,18.4,22,23,15.5,6.6,3.3,0.9,
,,,,,,,,,
    TOTAL FEMALE,108,185,216,233,186,60,34,3,1025
,,,,,,,,,
    % FEMALE ,10.5,18,21.1,22.7,18.1,5.9,3.3,0.3,
,,,,,,,,,
    TOTAL MALE,165,298,364,372,223,113,52,20,1607
,,,,,,,,,
    % MALE ,10.3,18.5,22.7,23.1,13.9,7,3.2,1.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TÍREOLAÍOCHT,208,655,997,831,465,179,30,5,3370
,,,,,,,,,
    GEOGRAPHY,6.2,19.4,29.6,24.7,13.8,5.3,0.9,0.1,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL FEMALE,95,262,372,339,189,59,13,0,1329
,,,,,,,,,
    % FEMALE ,7.1,19.7,28,25.5,14.2,4.4,1,0,
,,,,,,,,,
    TOTAL MALE,113,393,625,492,276,120,17,5,2041
,,,,,,,,,
    % MALE ,5.5,19.2,30.6,24.1,13.5,5.9,0.8,0.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LÉANN CLASAICEACH,0,3,2,5,3,5,5,4,27
,,,,,,,,,
    CLASSICAL STUDIES,0,11.1,7.4,18.5,11.1,18.5,18.5,14.8,
,,,,,,,,,
    TOTAL FEMALE,0,2,1,3,1,3,4,1,15
,,,,,,,,,
    % FEMALE ,0,13.3,6.7,20,6.7,20,26.7,6.7,
,,,,,,,,,
    TOTAL MALE,0,1,1,2,2,2,1,3,12
,,,,,,,,,
    % MALE ,0,8.3,8.3,16.7,16.7,16.7,8.3,25,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FRAINCIS,67,584,1188,1387,1202,807,336,125,5696
,,,,,,,,,
    FRENCH,1.2,10.3,20.9,24.4,21.1,14.2,5.9,2.2,
,,,,,,,,,
    TOTAL FEMALE,44,353,646,742,631,413,167,62,3058
,,,,,,,,,
    % FEMALE ,1.4,11.5,21.1,24.3,20.6,13.5,5.5,2,
,,,,,,,,,
    TOTAL MALE,23,231,542,645,571,394,169,63,2638
,,,,,,,,,
    % MALE ,0.9,8.8,20.5,24.5,21.6,14.9,6.4,2.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GEARMÁINIS,55,244,460,472,320,175,81,44,1851
,,,,,,,,,
    GERMAN,3,13.2,24.8,25.5,17.3,9.4,4.4,2.4,
,,,,,,,,,
    TOTAL FEMALE,28,118,221,208,117,64,27,14,797
,,,,,,,,,
    % FEMALE ,3.5,14.8,27.7,26.1,14.7,8,3.4,1.9,
,,,,,,,,,
    TOTAL MALE,27,126,239,264,203,111,54,30,1054
,,,,,,,,,
    % MALE ,2.6,12,22.7,25,19.3,10.5,5.1,2.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SPÁINNIS,175,568,697,506,274,144,44,28,2436
,,,,,,,,,
    SPANISH,7.2,23.3,28.6,20.8,11.2,5.9,1.8,1.1,
,,,,,,,,,
    TOTAL FEMALE,105,327,359,239,107,55,18,5,1215
,,,,,,,,,
    % FEMALE ,8.6,26.9,29.5,19.7,8.8,4.5,1.5,0.4,
,,,,,,,,,
    TOTAL MALE,70,241,338,267,167,89,26,23,1221
,,,,,,,,,
    % MALE ,5.7,19.7,27.7,21.9,13.7,7.3,2.1,1.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
    IODÁILIS,2,7,14,25,17,7,7,1,80
,,,,,,,,,
    ITALIAN,2.5,8.8,17.5,31.3,21.3,8.8,8.8,1.3,
,,,,,,,,,
    TOTAL FEMALE,2,4,11,18,8,3,1,0,47
,,,,,,,,,
    % FEMALE ,4.3,8.5,23.4,38.3,17,6.4,2.1,0,
,,,,,,,,,
    TOTAL MALE,0,3,3,7,9,4,6,1,33
,,,,,,,,,
    % MALE ,0,9.1,9.1,21.2,27.3,12.1,18.2,3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EALAÍN,158,372,444,247,129,64,49,68,1531
,,,,,,,,,
    ART,10.3,24.3,29,16.1,8.5,4.2,3.2,4.5,
,,,,,,,,,
    TOTAL FEMALE,91,188,241,130,60,31,22,26,789
,,,,,,,,,
    % FEMALE ,11.5,23.8,30.5,16.5,7.7,3.9,2.8,3.3,
,,,,,,,,,
    TOTAL MALE,67,184,203,117,69,33,27,42,742
,,,,,,,,,
    % MALE ,9,24.8,27.3,15.7,9.3,4.4,3.6,5.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    MATAMAITIC FHEIDHM,17,12,17,15,9,7,8,5,90
,,,,,,,,,
    APPLIED MATHEMATIC,18.9,13.3,18.9,16.7,10,7.8,8.9,5.6,
