Subject,              Level,Year, Total,1,2,3,4,5,6,7,8
IRISH                  ,A,2024,23649,14.1,19.9,23.7,22.5,14.2,4.6,0.9,0.2
IRISH                  ,B,2024,2081,3.8,11,22.2,26.2,19.8,10.7,5.2,1.1
IRISH                  ,G,2024,21414,1.5,9.7,22.4,25.8,20.1,12.1,6,2.5
ENGLISH                ,A,2024,42728,6.9,17.5,29.3,28.4,13.7,3.6,0.5,0.2
ENGLISH                ,G,2024,13248,4.1,15.7,30.1,25.2,13.8,7.7,1.5,1.9
MATHEMATICS            ,A,2024,20330,12.6,15.8,20.5,22.5,17.3,7.9,2.6,0.8
MATHEMATICS            ,B,2024,3332,11.6,20.8,26.6,20,12,5.9,2.3,0.9
MATHEMATICS            ,G,2024,32362,9.8,19.3,23.8,21.2,13.7,7.2,3.5,1.5
HISTORY                ,A,2024,9574,14,19.1,23.4,19.6,14.3,6.8,2.3,0.5
HISTORY                ,G,2024,2839,5.2,11.8,20.3,26.8,22.2,8.6,4.3,0.7
GEOGRAPHY              ,A,2024,15687,11.2,19.5,24.9,23.2,14.6,5.3,1,0.2
GEOGRAPHY              ,G,2024,2964,4.8,12,23.8,28.8,19.4,8.1,2.7,0.4
LATIN                  ,A,2024,61,34.4,24.6,8.2,11.5,13.1,6.6,0,1.6
ANCIENT GREEK          ,A,2024,17,29.4,5.9,52.9,5.9,5.9,0,0,0
CLASSICAL STUDIES      ,A,2024,628,16.2,25.6,21.3,17.2,10.8,5.7,1.8,1.3
CLASSICAL STUDIES      ,G,2024,50,8,14,16,14,20,12,10,6
FRENCH                 ,A,2024,13318,16.3,18.4,21.6,20.7,14.4,6.5,1.8,0.2
FRENCH                 ,G,2024,4633,1.7,13.4,26,26.2,19.1,9.3,3.2,1
GERMAN                 ,A,2024,5484,15.7,16.6,17.8,19.3,17.1,9.7,3.2,0.7
GERMAN                 ,G,2024,1549,2.3,13.6,25.5,27.4,17.6,8.2,3.6,1.8
SPANISH                ,A,2024,7978,15.7,16.6,19,21,16.7,8.2,2.3,0.5
SPANISH                ,G,2024,2331,3.1,15.1,27,26.3,15.2,8.4,3.5,1.3
ITALIAN                ,A,2024,457,44.9,18.8,13.1,9.6,8.1,3.5,1.5,0.4
ITALIAN                ,G,2024,62,3.2,22.6,21,37.1,8.1,4.8,0,3.2
ART                    ,A,2024,8451,15,24.9,25.9,20.1,9.7,3.1,0.6,0.7
ART                    ,G,2024,1408,8.5,27.6,33,13.4,6.7,4,2,4.8
DUTCH                  ,A,2024,34,23.5,35.3,11.8,11.8,2.9,2.9,2.9,8.8
PORTUGUESE             ,A,2024,276,69.2,19.2,3.6,4,1.1,2.2,0.7,0
MODERN GREEK           ,A,2024,12,41.7,16.7,8.3,25,0,8.3,0,0
APPLIED MATHEMATICS    ,A,2024,1710,28.4,24.9,19.6,13.1,8.3,3.5,1.6,0.6
APPLIED MATHEMATICS    ,G,2024,33,21.2,9.1,18.2,18.2,15.2,9.1,6.1,3
PHYSICS                ,A,2024,6009,20.7,16.7,14.3,14,13.7,11.6,5.7,3.4
PHYSICS                ,G,2024,1301,9.7,18,20.5,17.4,12.1,7.8,6.5,8
CHEMISTRY              ,A,2024,7939,22,16.5,13.6,13.1,11.8,10.9,6.8,5.3
CHEMISTRY              ,G,2024,1478,5.8,10.7,14.9,17.4,18.3,13.4,11.2,8.3
PHYSICS & CHEMISTRY    ,A,2024,309,7.4,11.7,15.5,16.8,16.8,14.6,6.8,10.4
PHYSICS & CHEMISTRY    ,G,2024,67,3,3,13.4,16.4,17.9,13.4,11.9,20.9
AGRICULTURAL SCIENCE   ,A,2024,5501,13.6,24.4,25.6,18.8,11.5,4.4,1.2,0.3
AGRICULTURAL SCIENCE   ,G,2024,917,0.7,7.7,22.9,31.3,21,11.7,3.9,0.8
BIOLOGY                ,A,2024,28461,19,16.1,15.3,15.1,13.8,12.1,6.1,2.5
BIOLOGY                ,G,2024,4750,3.3,14.8,29.1,26,14.9,7.4,3.1,1.5
ENGINEERING            ,A,2024,5559,14,22.1,25.4,21.9,10.6,4.5,1,0.4
ENGINEERING            ,G,2024,776,2.4,15.5,23.8,23.6,16.6,8.9,5.9,3.2
CONSTRUCTION STUDIES   ,A,2024,9517,8.3,23.3,28.7,21.4,11.8,4.5,1.5,0.5
CONSTRUCTION STUDIES   ,G,2024,1010,0.4,6.8,25.2,25.8,18.5,10.4,7.7,5
ACCOUNTING             ,A,2024,5251,19.9,21.1,16.1,12.5,10.6,9.9,4.2,5.7
ACCOUNTING             ,G,2024,2187,19,14.4,13.2,11.3,10.4,11.7,6.9,13.2
BUSINESS               ,A,2024,16565,11.5,17.6,17.7,16.9,14.9,13.4,5.3,2.7
BUSINESS               ,G,2024,3219,5.3,14.8,22.1,22.4,17.3,9.9,4.8,3.4
ECONOMICS              ,A,2024,4264,10.4,24,21.8,18.9,14.2,7,2.9,0.9
ECONOMICS              ,G,2024,480,5.2,20.4,25.4,24.6,13.5,6.9,2.7,1.3
SWEDISH                ,A,2024,18,11.1,44.4,11.1,22.2,5.6,0,0,5.6
JAPANESE               ,A,2024,278,33.1,15.8,19.1,10.8,13.7,4,2.9,0.7
JAPANESE               ,G,2024,59,1.7,10.2,23.7,25.4,16.9,13.6,8.5,0
ARABIC                 ,A,2024,256,7.8,16.8,20.7,18,8.6,15.2,2.3,10.5
ARABIC                 ,G,2024,34,5.9,8.8,20.6,14.7,14.7,11.8,2.9,20.6
TECHNOLOGY             ,A,2024,2128,17,23.2,23.1,18.9,10.6,4.4,1.9,1
TECHNOLOGY             ,G,2024,169,4.1,17.2,16,20.1,15.4,13.6,7.1,6.5
MUSIC                  ,A,2024,6029,20,41.4,24.8,10.2,2.7,0.6,0.1,0.2
MUSIC                  ,G,2024,501,6.2,25.3,30.7,21.8,11.2,2.4,2,0.4
HOME ECONOMICS S & S   ,A,2024,8275,13.4,23.2,23.3,19.4,12.9,5.7,1.6,0.5
HOME ECONOMICS S & S   ,G,2024,1800,3.7,15.6,25.4,22.1,17.8,9.7,3.7,2
RUSSIAN                ,A,2024,833,77.6,11.6,6.1,3,1.1,0.5,0.1,0
