Unnamed: 0,Metadata,Unnamed: 2
,,
,Description,
,"This document describes the A level attainment in maths and science subjects for students included in attainment measures published in the 2022 16-18 performance tables broken down by gender.
The 16-18 performance tables report achievements of students aged 16 to 18 who are at the end of advanced level study, often referred to as ‘being at the end of Key Stage 5'.
16-18 study typically lasts two to three years and up to three years of results achieved by students are reported in the 2022 16-18 performance tables: ie results achieved during all years of 16-18 study (up to three years, i.e.  2019/20, 2020/21 and 2021/22 academic years)

",
,,
,Coverage,
,,
,"Entries in A level maths and science:
1. Schools and colleges in England
2. A level exam results of students aged 16, 17 or 18 at the start of the academic year, ie 31 August.
3. Students at the end of 16-18 level study who were entered for at least one AS or A level.
4. Entries made during all (up to three) years of 16-18 study, eg the 2019/20, 2020/21 and 2021/22 academic years for the 2022 reporting year.


",
,,
,,
,,
,,
,Statistical disclosure control,
,"To protect confidentiality, the following conventions have been used throughout this publication:
• 0 (zero) is shown only when the true value is 0

",
,,
,,
,,
,Annex A: Field listing and description ,
,,
,Maths & Science by Institution and gender,
,Field,Description
,Region,Region in which school or college is located
,Local Authority,Local authority in which school or college is located
,Unique reference number,Unique reference number for school or college
,School or college name,School or college name
,School or college type,School or college type
,Gender of sixth form,Gender of sixth form
,All_A_levels_students,Number of A levels students
,A_level_maths_percent_all,Percentage entered for A level Maths
,A_level_further_maths_percent_all,Percentage entered for A level Further Maths
,A_level_biological_sciences_percent_all,Percentage entered for A level Biology
,A_level_chemistry_percent_all,Percentage entered for A level Chemistry
,A_level_physics_percent_all,Percentage entered for A level Physics
,A_level_computer_sciences_percent_all,Percentage entered for A level Computing
,Female A levels students,Number of female A levels students
,A_level_maths_percent_female,Percentage of female students entered for A level Maths
,A_level_further_maths_percent_female,Percentage of female students entered for A level Further Maths
,A_level_biological_sciences_percent_female,Percentage of female students entered for A level Biology
,A_level_chemistry_percent_female,Percentage of female students entered for A level Chemistry
,A_level_physics_percent_female,Percentage of female students entered for A level Physics
,A_level_computer_sciences_percent_female,Percentage of female students entered for A level Computing
,Male_A_levels_students,Number of male A levels students
,A_level_Maths_percent_male,Percentage of male students entered for A level Maths
,A_level_further_maths_percent_male,Percentage of male students entered for A level Further Maths
,A_level_biological_sciences_percent_male,Percentage of male students entered for A level Biology
,A_level_chemistry_percent_male,Percentage of male students entered for A level Chemistry
,A_level_physics_percent_male,Percentage of male students entered for A level Physics
,A_level_computer_sciences_percent_male,Percentage of male students entered for A level Computing
