LA,ESTAB,URN,PERCTOT,PPERSABS10
201,3614,100000,4.3,10
202,2000,136807,6.6,15.8
202,2001,139837,4.7,14.5
202,2002,140686,7.3,26.9
202,2019,100008,6.1,15.1
202,2036,100009,5.2,11.9
202,2065,100010,8,29.6
202,2078,100011,7.2,25.9
202,2184,100013,6.6,18.2
202,2219,100014,4.8,11.2
202,2290,100015,7.4,25.6
202,2436,100018,9.2,32.4
202,2438,100019,7.8,25
202,2475,100020,6.2,19.1
202,2502,100021,8.6,35.1
202,2507,100022,5.7,17
202,2603,100023,6.5,19.3
202,2775,100025,7.2,23.6
202,2797,100026,8.1,31.7
202,2841,100027,3.8,4.9
202,2842,130342,5.3,12.8
202,2843,132245,5.5,13.5
202,3323,100028,4.9,10.5
202,3327,100029,5,10.6
202,3340,100030,5.1,13
202,3352,100031,6.9,19.4
202,3359,100032,7.4,24.1
202,3361,100033,4.9,10.9
202,3370,100034,6,16.5
202,3391,100035,5.4,16.1
202,3398,100036,9.2,30.8
202,3429,100039,6.1,19.7
202,3441,100040,6.4,18.5
202,3482,100041,8,25.3
202,3517,100042,5.8,16.9
202,3521,100043,7.6,25.4
202,3546,100044,6.7,26.5
202,3560,100045,6.8,20.4
202,3568,100046,7,25.4
202,3649,100047,6.4,15.7
202,3655,100048,7,27.6
202,4000,137181,9.4,31
202,4104,100049,9.3,30.9
202,4166,100050,8.2,24
202,4196,100051,10,36.9
202,4275,100052,7.7,23.9
202,4285,100053,10,32
202,4611,100054,4.5,1.5
202,4652,100055,7.6,23.2
202,4688,100056,9.6,29.6
202,5401,100059,8.8,28.9
202,7008,100091,10.1,40.6
202,7137,100092,36.9,77.5
202,7205,100096,18.4,57.9
203,2001,148614,4,9.4
203,2018,143211,7,21.3
203,2024,143601,6.9,25.8
203,2028,100113,4.9,12.5
203,2071,100114,5.7,18.8
203,2106,100115,3.8,8.4
203,2174,100120,6.9,20.3
203,2228,100125,7,21.1
203,2242,100126,5.7,15.9
203,2258,100127,5.7,13.1
203,2266,145210,8.2,25
203,2271,100129,6.6,23.2
203,2275,143597,5.4,12.7
203,2299,100131,6.2,15.9
203,2313,143598,6.9,18.9
203,2325,100134,6.4,17.5
203,2353,100136,5.2,17.2
203,2410,100137,5.1,8.8
203,2471,100140,6.4,20.1
203,2552,100141,5.4,12
203,2598,100142,6.8,19.3
203,2656,143594,6.8,22.9
203,2662,100146,6.7,13.6
203,2790,143210,5.3,16
203,2798,100149,6.1,19.5
203,2801,100150,5.5,16.5
203,2804,143593,6.2,18.7
203,2813,100152,6.8,19.8
203,2851,148615,5,11
203,2877,100155,4.4,9.2
203,2885,143592,5.7,17.2
203,2890,143079,4.9,13.5
203,2900,100158,5,13.5
203,2901,100159,7.6,29.6
203,2902,145215,6.4,21
203,2915,100162,5.9,15.9
203,2916,100163,4.4,10.3
203,2917,100164,4.7,13.1
203,2918,130921,6.8,20.1
203,2919,143209,5.7,18.4
203,2920,143596,6.2,20.1
203,2921,131246,6.4,19.4
203,2922,131841,6.3,20.8
203,2923,143599,5.2,8.3
203,2924,132800,4.7,13
203,2925,132827,5.3,13.8
203,3322,100165,6.7,19.5
203,3331,100166,4.4,6.1
203,3338,100167,4.1,7.1
203,3382,100168,3.7,5.3
203,3481,100169,4.9,17.8
203,3500,100170,3.8,8.2
203,3526,100171,6.4,18.7
203,3535,144091,3.5,3.3
203,3561,100173,3.4,7.8
203,3577,100174,5.7,16
203,3585,100175,3,6.3
203,3604,100176,4.7,12
203,3632,100177,3.6,9.3
203,3657,100178,4.5,10.1
203,3662,100179,3.8,9.7
203,3666,100180,3.3,4.6
203,3668,100181,3.6,4.6
203,3670,131109,5.6,14.6
203,4000,138449,9.9,29.2
203,4001,138245,7.2,22.1
203,4005,143686,6,16.6
203,4006,143927,8.5,23.1
203,4007,145315,7.6,23.1
203,4008,145895,8.4,25.5
203,4009,147439,8.5,24.2
203,4077,100182,6.6,19.2
203,4130,100183,10,34.1
203,4250,141163,5.6,15.4
203,4271,141309,8.6,24.6
203,4294,100190,9.2,28.6
203,4682,100193,9.8,35.3
203,4716,141716,5.2,12.5
203,6905,105135,7,18.5
203,7118,100204,14.3,52.4
203,7199,138547,11.8,39.2
203,7200,133401,9.5,35.7
203,7201,143595,11.9,38.2
204,2001,139814,5.1,13.2
204,2002,140426,3.7,6.7
204,2003,141750,5.4,11.1
204,2004,142112,5.8,14.7
204,2005,145730,5.4,10.6
204,2048,100218,4.6,11.4
204,2120,100221,7.1,21
204,2150,100223,3.8,7.5
204,2155,100224,8.3,28.1
204,2238,100225,9.8,34.9
204,2376,100229,3.9,5.1
204,2388,100230,4.1,6.4
204,2421,100231,4.8,12
204,2431,100232,5.5,10.5
204,2444,141576,5.2,14.1
204,2450,100234,5.1,14.1
204,2487,100235,5.6,14.7
204,2489,100236,6.4,20.3
204,2532,100239,5.4,16.1
204,2533,130302,5.6,14.1
204,2534,130303,2.8,4
204,2539,100240,3.3,5.3
204,2545,100241,5.2,10.9
204,2564,100242,4.9,14.6
204,2592,100243,7,24.2
204,2615,100244,5.3,16.7
204,2636,100245,6.1,16.8
204,2654,100248,5.5,16.7
204,2779,100250,3.4,4.9
204,2795,100251,6.3,21.9
204,2856,100252,5,11.8
204,2859,100253,6.6,19.1
204,2860,100254,6.1,17
204,2861,100255,6.1,17.1
204,2862,100256,6.6,21.7
204,2863,100257,6,14
204,2864,100258,5.6,14
204,2865,100259,5,13.9
204,2872,100260,11.5,35.5
204,2896,100261,4.5,7.3
204,2897,130932,5.1,9.4
204,2898,131141,4.1,8.3
204,2899,131706,6.1,16.6
204,2900,133669,8.3,31.8
204,3000,132137,3.8,6.4
204,3358,100263,6.1,19.3
204,3371,100264,4.8,12.6
204,3458,100266,4.5,11
204,3543,100267,5.6,18.1
204,3553,100268,5.8,22
204,3572,100269,5.2,14.3
204,3616,100270,6.6,23.2
204,3618,100271,4.8,13.6
204,3659,100274,5.8,17.1
204,3663,100275,8.5,28.2
204,3664,145610,12,56.8
204,3665,142255,4.5,11.6
204,3666,121792,5.3,12.4
204,4000,145609,10.2,34.4
204,4003,140210,4.2,9.8
204,4005,143756,7.1,22.3
204,4006,147653,9.6,33.3
204,4283,100277,7.4,22.6
204,4302,137442,8,24.3
204,4310,100279,10.2,33.3
204,4318,133599,6.7,18.9
204,4641,100282,7.6,23.3
204,4697,100284,7.4,19.8
204,4714,100285,6.8,20
204,6905,134693,4.6,11
204,6906,131062,9.3,30.5
204,6907,131609,9.6,29.7
204,6908,135835,6.7,21
204,6909,136137,8.2,26.8
204,7097,100307,8.2,23.5
204,7161,100311,6.6,21.5
204,7171,100312,14.7,46
205,2000,137331,6.1,15.3
205,2001,139546,5.3,13.6
205,2002,100321,6.2,21
205,2003,139820,7.1,19.1
205,2004,140811,5.9,14.7
205,2005,141685,6.3,15
205,2026,100322,9.4,29.6
205,2045,138680,6.8,22
205,2061,100324,6.3,19.8
205,2134,100326,7.8,27
205,2223,100328,7.2,23.1
205,2286,143213,7.3,23.5
205,2309,142256,4.9,11.5
205,2350,100331,5.3,12.8
205,2408,100334,6.6,16.5
205,2444,100335,7.8,23.8
205,2484,143212,5.9,16.7
205,2555,100338,7.6,24.6
205,2577,143214,6.8,26.5
205,2632,100340,5.6,16.7
205,2660,100341,7,22.9
205,2913,141902,4.6,15.8
205,3300,100344,5,10.4
205,3354,100345,3.9,6.1
205,3368,100346,4.9,7.1
205,3378,100347,4.6,9.1
205,3463,100349,4.8,10.5
205,3529,100350,7.7,22.4
205,3566,100351,5.6,15
205,3578,100352,5.4,8.3
205,3600,100353,4.4,8
205,3602,100354,3.9,5.8
205,3645,100355,4.8,12.8
205,3648,100357,6.3,18.1
205,3649,134009,6.2,14.7
205,3650,134273,9.6,31.6
205,4000,136750,8.7,27.4
205,4001,141135,6.9,23.1
