RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,TOT_COHORT,TOT_OVERALL,TOT_APPREN,TOT_EDUCATION,TOT_FE,TOT_HE,TOT_OTHER_EDU,TOT_EMPLOYMENT,TOT_NOT_SUSTAINED,TOT_NOT_CAPTURED,TOT_OVERALLPER,TOT_APPRENPER,TOT_EDUCATIONPER,TOT_FEPER,TOT_HEPER,TOT_OTHER_EDUPER,TOT_EMPLOYMENTPER,TOT_NOT_SUSTAINEDPER,TOT_NOT_CAPTUREDPER,TOT_COHORT_DIS,TOT_OVERALL_DIS,TOT_APPREN_DIS,TOT_EDUCATION_DIS,TOT_FE_DIS,TOT_HE_DIS,TOT_OTHER_EDU_DIS,TOT_EMPLOYMENT_DIS,TOT_NOT_SUSTAINED_DIS,TOT_NOT_CAPTURED_DIS,TOT_OVERALLPER_DIS,TOT_APPRENPER_DIS,TOT_EDUCATIONPER_DIS,TOT_FEPER_DIS,TOT_HEPER_DIS,TOT_OTHER_EDUPER_DIS,TOT_EMPLOYMENTPER_DIS,TOT_NOT_SUSTAINEDPER_DIS,TOT_NOT_CAPTUREDPER_DIS,TOT_COHORT_NONDIS,TOT_OVERALL_NONDIS,TOT_APPREN_NONDIS,TOT_EDUCATION_NONDIS,TOT_FE_NONDIS,TOT_HE_NONDIS,TOT_OTHER_EDU_NONDIS,TOT_EMPLOYMENT_NONDIS,TOT_NOT_SUSTAINED_NONDIS,TOT_NOT_CAPTURED_NONDIS,TOT_OVERALLPER_NONDIS,TOT_APPRENPER_NONDIS,TOT_EDUCATIONPER_NONDIS,TOT_FEPER_NONDIS,TOT_HEPER_NONDIS,TOT_OTHER_EDUPER_NONDIS,TOT_EMPLOYMENTPER_NONDIS,TOT_NOT_SUSTAINEDPER_NONDIS,TOT_NOT_CAPTUREDPER_NONDIS,L3_COHORT,L3_OVERALL,L3_APPREN,L3_EDUCATION,L3_FE,L3_HE,L3_OTHER_EDU,L3_EMPLOYMENT,L3_NOT_SUSTAINED,L3_NOT_CAPTURED,L3_OVERALLPER,L3_APPRENPER,L3_EDUCATIONPER,L3_FEPER,L3_HEPER,L3_OTHER_EDUPER,L3_EMPLOYMENTPER,L3_NOT_SUSTAINEDPER,L3_NOT_CAPTUREDPER,L3_COHORT_DIS,L3_OVERALL_DIS,L3_APPREN_DIS,L3_EDUCATION_DIS,L3_FE_DIS,L3_HE_DIS,L3_OTHER_EDU_DIS,L3_EMPLOYMENT_DIS,L3_NOT_SUSTAINED_DIS,L3_NOT_CAPTURED_DIS,L3_OVERALLPER_DIS,L3_APPRENPER_DIS,L3_EDUCATIONPER_DIS,L3_FEPER_DIS,L3_HEPER_DIS,L3_OTHER_EDUPER_DIS,L3_EMPLOYMENTPER_DIS,L3_NOT_SUSTAINEDPER_DIS,L3_NOT_CAPTUREDPER_DIS,L3_COHORT_NONDIS,L3_OVERALL_NONDIS,L3_APPREN_NONDIS,L3_EDUCATION_NONDIS,L3_FE_NONDIS,L3_HE_NONDIS,L3_OTHER_EDU_NONDIS,L3_EMPLOYMENT_NONDIS,L3_NOT_SUSTAINED_NONDIS,L3_NOT_CAPTURED_NONDIS,L3_OVERALLPER_NONDIS,L3_APPRENPER_NONDIS,L3_EDUCATIONPER_NONDIS,L3_FEPER_NONDIS,L3_HEPER_NONDIS,L3_OTHER_EDUPER_NONDIS,L3_EMPLOYMENTPER_NONDIS,L3_NOT_SUSTAINEDPER_NONDIS,L3_NOT_CAPTUREDPER_NONDIS,L2_COHORT,L2_OVERALL,L2_APPREN,L2_EDUCATION,L2_FE,L2_HE,L2_OTHER_EDU,L2_EMPLOYMENT,L2_NOT_SUSTAINED,L2_NOT_CAPTURED,L2_OVERALLPER,L2_APPRENPER,L2_EDUCATIONPER,L2_FEPER,L2_HEPER,L2_OTHER_EDUPER,L2_EMPLOYMENTPER,L2_NOT_SUSTAINEDPER,L2_NOT_CAPTUREDPER,L2_COHORT_DIS,L2_OVERALL_DIS,L2_APPREN_DIS,L2_EDUCATION_DIS,L2_FE_DIS,L2_HE_DIS,L2_OTHER_EDU_DIS,L2_EMPLOYMENT_DIS,L2_NOT_SUSTAINED_DIS,L2_NOT_CAPTURED_DIS,L2_OVERALLPER_DIS,L2_APPRENPER_DIS,L2_EDUCATIONPER_DIS,L2_FEPER_DIS,L2_HEPER_DIS,L2_OTHER_EDUPER_DIS,L2_EMPLOYMENTPER_DIS,L2_NOT_SUSTAINEDPER_DIS,L2_NOT_CAPTUREDPER_DIS,L2_COHORT_NONDIS,L2_OVERALL_NONDIS,L2_APPREN_NONDIS,L2_EDUCATION_NONDIS,L2_FE_NONDIS,L2_HE_NONDIS,L2_OTHER_EDU_NONDIS,L2_EMPLOYMENT_NONDIS,L2_NOT_SUSTAINED_NONDIS,L2_NOT_CAPTURED_NONDIS,L2_OVERALLPER_NONDIS,L2_APPRENPER_NONDIS,L2_EDUCATIONPER_NONDIS,L2_FEPER_NONDIS,L2_HEPER_NONDIS,L2_OTHER_EDUPER_NONDIS,L2_EMPLOYMENTPER_NONDIS,L2_NOT_SUSTAINEDPER_NONDIS,L2_NOT_CAPTUREDPER_NONDIS,LALLOTH_COHORT,LALLOTH_OVERALL,LALLOTH_APPREN,LALLOTH_EDUCATION,LALLOTH_FE,LALLOTH_HE,LALLOTH_OTHER_EDU,LALLOTH_EMPLOYMENT,LALLOTH_NOT_SUSTAINED,LALLOTH_NOT_CAPTURED,LALLOTH_OVERALLPER,LALLOTH_APPRENPER,LALLOTH_EDUCATIONPER,LALLOTH_FEPER,LALLOTH_HEPER,LALLOTH_OTHER_EDUPER,LALLOTH_EMPLOYMENTPER,LALLOTH_NOT_SUSTAINEDPER,LALLOTH_NOT_CAPTUREDPER,LALLOTH_COHORT_DIS,LALLOTH_OVERALL_DIS,LALLOTH_APPREN_DIS,LALLOTH_EDUCATION_DIS,LALLOTH_FE_DIS,LALLOTH_HE_DIS,LALLOTH_OTHER_EDU_DIS,LALLOTH_EMPLOYMENT_DIS,LALLOTH_NOT_SUSTAINED_DIS,LALLOTH_NOT_CAPTURED_DIS,LALLOTH_OVERALLPER_DIS,LALLOTH_APPRENPER_DIS,LALLOTH_EDUCATIONPER_DIS,LALLOTH_FEPER_DIS,LALLOTH_HEPER_DIS,LALLOTH_OTHER_EDUPER_DIS,LALLOTH_EMPLOYMENTPER_DIS,LALLOTH_NOT_SUSTAINEDPER_DIS,LALLOTH_NOT_CAPTUREDPER_DIS,LALLOTH_COHORT_NONDIS,LALLOTH_OVERALL_NONDIS,LALLOTH_APPREN_NONDIS,LALLOTH_EDUCATION_NONDIS,LALLOTH_FE_NONDIS,LALLOTH_HE_NONDIS,LALLOTH_OTHER_EDU_NONDIS,LALLOTH_EMPLOYMENT_NONDIS,LALLOTH_NOT_SUSTAINED_NONDIS,LALLOTH_NOT_CAPTURED_NONDIS,LALLOTH_OVERALLPER_NONDIS,LALLOTH_APPRENPER_NONDIS,LALLOTH_EDUCATIONPER_NONDIS,LALLOTH_FEPER_NONDIS,LALLOTH_HEPER_NONDIS,LALLOTH_OTHER_EDUPER_NONDIS,LALLOTH_EMPLOYMENTPER_NONDIS,LALLOTH_NOT_SUSTAINEDPER_NONDIS,LALLOTH_NOT_CAPTUREDPER_NONDIS
1,202,4000,137181,The UCL Academy,AC,0,0,131,113,2,107,3,101,3,4,13,5,86%,2%,82%,2%,77%,2%,3%,10%,4%,49,43,SUPP,SUPP,SUPP,39,SUPP,SUPP,5,1,88%,SUPP,SUPP,SUPP,80%,SUPP,SUPP,10%,2%,82,70,SUPP,SUPP,SUPP,62,SUPP,SUPP,8,4,85%,SUPP,SUPP,SUPP,76%,SUPP,SUPP,10%,5%,130,112,2,106,3,101,2,4,13,5,86%,2%,82%,2%,78%,2%,3%,10%,4%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4104,100049,Haverstock School,CY,0,0,72,55,2,47,1,44,2,6,14,3,76%,3%,65%,1%,61%,3%,8%,19%,4%,54,39,SUPP,33,SUPP,32,SUPP,SUPP,SUPP,SUPP,72%,SUPP,61%,SUPP,59%,SUPP,SUPP,SUPP,SUPP,18,16,SUPP,14,SUPP,12,SUPP,SUPP,SUPP,SUPP,89%,SUPP,78%,SUPP,67%,SUPP,SUPP,SUPP,SUPP,59,48,0,44,0,44,0,4,9,2,81%,0%,75%,0%,75%,0%,7%,15%,3%,47,SUPP,0,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,12,SUPP,0,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,0%,SUPP,SUPP,SUPP,10,6,2,2,1,0,1,2,4,0,60%,20%,20%,10%,0%,10%,20%,40%,0%,6,SUPP,SUPP,SUPP,SUPP,0,SUPP,0,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,SUPP,0%,4,SUPP,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,SUPP,0%,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4166,100050,Parliament Hill School,CY,1,0,130,107,2,84,4,72,8,21,18,5,82%,2%,65%,3%,55%,6%,16%,14%,4%,60,50,SUPP,41,1,37,3,SUPP,9,1,83%,SUPP,68%,2%,62%,5%,SUPP,15%,2%,70,57,SUPP,43,3,35,5,SUPP,9,4,81%,SUPP,61%,4%,50%,7%,SUPP,13%,6%,110,92,0,77,4,72,1,15,13,5,84%,0%,70%,4%,65%,1%,14%,12%,5%,51,44,0,38,SUPP,37,SUPP,6,6,1,86%,0%,75%,SUPP,73%,SUPP,12%,12%,2%,59,48,0,39,SUPP,35,SUPP,9,7,4,81%,0%,66%,SUPP,59%,SUPP,15%,12%,7%,10,8,0,4,0,0,4,4,2,0,80%,0%,40%,0%,0%,40%,40%,20%,0%,4,SUPP,0,SUPP,0,0,SUPP,SUPP,SUPP,0,SUPP,0%,SUPP,0%,0%,SUPP,SUPP,SUPP,0%,6,SUPP,0,SUPP,0,0,SUPP,3,SUPP,0,SUPP,0%,SUPP,0%,0%,SUPP,50%,SUPP,0%,10,7,2,3,0,0,3,2,3,0,70%,20%,30%,0%,0%,30%,20%,30%,0%,5,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,0%,5,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,0,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,0%
1,202,4196,100051,Regent High School,CY,0,0,67,55,1,51,4,43,4,3,10,2,82%,1%,76%,6%,64%,6%,4%,15%,3%,42,36,SUPP,33,SUPP,28,SUPP,SUPP,SUPP,SUPP,86%,SUPP,79%,SUPP,67%,SUPP,SUPP,SUPP,SUPP,25,19,SUPP,18,SUPP,15,SUPP,SUPP,SUPP,SUPP,76%,SUPP,72%,SUPP,60%,SUPP,SUPP,SUPP,SUPP,63,54,1,50,4,43,3,3,8,1,86%,2%,79%,6%,68%,5%,5%,13%,2%,40,SUPP,SUPP,SUPP,SUPP,28,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,70%,SUPP,SUPP,SUPP,SUPP,23,SUPP,SUPP,SUPP,SUPP,15,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,65%,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,202,4275,100052,Hampstead School,CY,0,0,94,69,3,61,3,44,14,5,16,9,73%,3%,65%,3%,47%,15%,5%,17%,10%,45,32,1,29,SUPP,20,SUPP,2,9,4,71%,2%,64%,SUPP,44%,SUPP,4%,20%,9%,49,37,2,32,SUPP,24,SUPP,3,7,5,76%,4%,65%,SUPP,49%,SUPP,6%,14%,10%,74,60,2,55,3,44,8,3,9,5,81%,3%,74%,4%,59%,11%,4%,12%,7%,36,29,SUPP,SUPP,SUPP,20,SUPP,SUPP,6,1,81%,SUPP,SUPP,SUPP,56%,SUPP,SUPP,17%,3%,38,31,SUPP,SUPP,SUPP,24,SUPP,SUPP,3,4,82%,SUPP,SUPP,SUPP,63%,SUPP,SUPP,8%,11%,14,7,0,6,0,0,6,1,5,2,50%,0%,43%,0%,0%,43%,7%,36%,14%,6,SUPP,0,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,0%,SUPP,SUPP,SUPP,SUPP,8,SUPP,0,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,0%,0%,SUPP,SUPP,SUPP,SUPP,6,2,1,0,0,0,0,1,2,2,33%,17%,0%,0%,0%,0%,17%,33%,33%,3,SUPP,SUPP,0,0,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%,0%,0%,SUPP,SUPP,SUPP,3,SUPP,SUPP,0,0,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%,0%,0%,SUPP,SUPP,SUPP
1,202,4285,100053,Acland Burghley School,CY,1,0,120,92,4,72,2,67,3,16,18,10,77%,3%,60%,2%,56%,3%,13%,15%,8%,54,42,2,37,SUPP,35,SUPP,3,8,4,78%,4%,69%,SUPP,65%,SUPP,6%,15%,7%,66,50,2,35,SUPP,32,SUPP,13,10,6,76%,3%,53%,SUPP,48%,SUPP,20%,15%,9%,111,87,2,71,2,67,2,14,14,10,78%,2%,64%,2%,60%,2%,13%,13%,9%,50,40,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,80%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,61,47,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,77%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,7,4,1,1,0,0,1,2,3,0,57%,14%,14%,0%,0%,14%,29%,43%,0%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4611,100054,The Camden School for Girls,VA,0,0,236,184,0,154,24,112,18,30,35,17,78%,0%,65%,10%,47%,8%,13%,15%,7%,33,29,0,25,2,16,7,4,2,2,88%,0%,76%,6%,48%,21%,12%,6%,6%,203,155,0,129,22,96,11,26,33,15,76%,0%,64%,11%,47%,5%,13%,16%,7%,233,182,0,152,24,112,16,30,35,16,78%,0%,65%,10%,48%,7%,13%,15%,7%,32,SUPP,0,SUPP,2,16,SUPP,4,2,SUPP,SUPP,0%,SUPP,6%,50%,SUPP,13%,6%,SUPP,201,SUPP,0,SUPP,22,96,SUPP,26,33,SUPP,SUPP,0%,SUPP,11%,48%,SUPP,13%,16%,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4652,100055,Maria Fidelis Catholic School FCJ,VA,0,0,30,24,0,24,1,20,3,0,4,2,80%,0%,80%,3%,67%,10%,0%,13%,7%,12,10,0,10,SUPP,8,SUPP,0,SUPP,SUPP,83%,0%,83%,SUPP,67%,SUPP,0%,SUPP,SUPP,18,14,0,14,SUPP,12,SUPP,0,SUPP,SUPP,78%,0%,78%,SUPP,67%,SUPP,0%,SUPP,SUPP,27,24,0,24,1,20,3,0,2,1,89%,0%,89%,4%,74%,11%,0%,7%,4%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4688,100056,William Ellis School,VA,1,0,124,93,2,82,5,70,7,9,25,6,75%,2%,66%,4%,56%,6%,7%,20%,5%,61,42,SUPP,36,3,29,4,SUPP,15,4,69%,SUPP,59%,5%,48%,7%,SUPP,25%,7%,63,51,SUPP,46,2,41,3,SUPP,10,2,81%,SUPP,73%,3%,65%,5%,SUPP,16%,3%,105,86,1,78,5,70,3,7,15,4,82%,1%,74%,5%,67%,3%,7%,14%,4%,47,37,SUPP,33,SUPP,SUPP,1,SUPP,SUPP,SUPP,79%,SUPP,70%,SUPP,SUPP,2%,SUPP,SUPP,SUPP,58,49,SUPP,45,SUPP,SUPP,2,SUPP,SUPP,SUPP,84%,SUPP,78%,SUPP,SUPP,3%,SUPP,SUPP,SUPP,6,1,0,1,0,0,1,0,4,1,17%,0%,17%,0%,0%,17%,0%,67%,17%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,13,6,1,3,0,0,3,2,6,1,46%,8%,23%,0%,0%,23%,15%,46%,8%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3,202,4952,132838,LaSWAP Sixth Form,,NA,0,480,379,10,316,15,282,19,53,74,27,79%,2%,66%,3%,59%,4%,11%,15%,6%,215,170,4,144,4,130,10,22,35,10,79%,2%,67%,2%,60%,5%,10%,16%,5%,265,209,6,172,11,152,9,31,39,17,79%,2%,65%,4%,57%,3%,12%,15%,6%,429,350,5,303,15,282,6,42,54,25,82%,1%,71%,3%,66%,1%,10%,13%,6%,186,155,1,137,4,130,3,17,SUPP,SUPP,83%,1%,74%,2%,70%,2%,9%,SUPP,SUPP,243,195,4,166,11,152,3,25,SUPP,SUPP,80%,2%,68%,5%,63%,1%,10%,SUPP,SUPP,18,10,1,5,0,0,5,4,7,1,56%,6%,28%,0%,0%,28%,22%,39%,6%,10,5,SUPP,3,0,0,3,SUPP,SUPP,SUPP,50%,SUPP,30%,0%,0%,30%,SUPP,SUPP,SUPP,8,5,SUPP,2,0,0,2,SUPP,SUPP,SUPP,63%,SUPP,25%,0%,0%,25%,SUPP,SUPP,SUPP,33,19,4,8,0,0,8,7,13,1,58%,12%,24%,0%,0%,24%,21%,39%,3%,19,10,SUPP,4,0,0,4,SUPP,SUPP,SUPP,53%,SUPP,21%,0%,0%,21%,SUPP,SUPP,SUPP,14,9,SUPP,4,0,0,4,SUPP,SUPP,SUPP,64%,SUPP,29%,0%,0%,29%,SUPP,SUPP,SUPP
