Region,Local Authority,Unique reference number,School or college name,School or college type,Gender of sixth form,All_A_levels_students,A_level_maths_percent_all,A_level_further_maths_percent_all,A_level_biological_sciences_percent_all,A_level_chemistry_percent_all,A_level_physics_percent_all,A_level_computer_sciences_percent_all,Female_A_levels_students,A_level_maths_percent_female,A_level_further_maths_percent_female,A_level_biological_sciences_percent_female,A_level_chemistry_percent_female,A_level_physics_percent_female,A_level_computer_sciences_percent_female,Male_A_levels_students,A_level_Maths_percent_male,A_level_further_maths_percent_male,A_level_biological_sciences_percent_male,A_level_chemistry_percent_male,A_level_physics_percent_male,Alevel_computer_sciences_percent_male
East Midlands,Derby,137911,Allestree Woodlands School,Academy converter - mainstream,MIXED,91,27.5,4.4,28.6,22.0,14.3,5.5,44,13.6,0.0,31.8,25.0,2.3,0.0,47,40.4,8.5,25.5,19.1,25.5,10.6
East Midlands,Derby,148639,Chellaston Academy,Academy converter - mainstream,MIXED,122,31.1,4.9,34.4,24.6,15.6,4.1,64,10.9,0.0,37.5,14.1,6.3,0.0,58,53.4,10.3,31.0,36.2,25.9,8.6
East Midlands,Derby,133585,Derby College,General Further Education College,MIXED,302,11.6,0.0,16.9,8.3,5.0,4.6,195,6.7,0.0,16.4,7.2,1.5,0.5,107,20.6,0.0,17.8,10.3,11.2,12.1
East Midlands,Derby,113028,Derby Grammar School,Independent school,MIXED,39,43.6,2.6,41.0,33.3,17.9,0.0,9,44.4,0.0,22.2,22.2,0.0,0.0,30,43.3,3.3,46.7,36.7,23.3,0.0
East Midlands,Derby,113017,Derby High School,Independent school,MIXED,35,40.0,8.6,42.9,40.0,20.0,0.0,30,30.0,10.0,46.7,40.0,13.3,0.0,5,100.0,0.0,20.0,40.0,60.0,0.0
East Midlands,Derby,145327,Derby Moor Spencer Academy,Academy converter - mainstream,MIXED,102,21.6,1.0,15.7,23.5,15.7,0.0,53,15.1,1.9,22.6,20.8,3.8,0.0,49,28.6,0.0,8.2,26.5,28.6,0.0
East Midlands,Derby,135120,Landau Forte College,Academy sponsor led,MIXED,112,46.4,7.1,35.7,37.5,18.8,8.9,59,40.7,1.7,44.1,42.4,10.2,1.7,53,52.8,13.2,26.4,32.1,28.3,17.0
East Midlands,Derby,143934,Lees Brook Academy,Academy converter - mainstream,MIXED,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
East Midlands,Derby,112956,Littleover Community School,Community school,MIXED,170,43.5,2.9,44.1,37.1,17.6,9.4,112,32.1,2.7,44.6,40.2,8.9,1.8,58,65.5,3.4,43.1,31.0,34.5,24.1
East Midlands,Derby,138622,"Saint Benedict, A Catholic Voluntary Academy",Academy converter - mainstream,MIXED,80,31.3,0.0,28.8,15.0,20.0,0.0,40,15.0,0.0,35.0,10.0,7.5,0.0,40,47.5,0.0,22.5,20.0,32.5,0.0
