"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 12312 lines in total
------------------------------------------------------------------
inst_cntry_2021_map,Cycle,statistic,equality_dimension,agegroup,value
English providers,2010,June deadline applicants,Total,18 year olds,242290
English providers,2010,June deadline applicants,White ethnic group,18 year olds,197920
English providers,2010,June deadline applicants,Black ethnic group,18 year olds,9290
English providers,2010,June deadline applicants,Asian ethnic group,18 year olds,23625
English providers,2010,June deadline applicants,Mixed ethnic group,18 year olds,7895
English providers,2010,June deadline applicants,Other ethnic group,18 year olds,2095
English providers,2010,June deadline applicants,POLAR4 Q1,18 year olds,24515
English providers,2010,June deadline applicants,POLAR4 Q2,18 year olds,36155
English providers,2010,June deadline applicants,POLAR4 Q3,18 year olds,45650
English providers,2010,June deadline applicants,POLAR4 Q4,18 year olds,55950
English providers,2010,June deadline applicants,POLAR4 Q5,18 year olds,79605
English providers,2010,June deadline applicants,Men,18 year olds,108060
English providers,2010,June deadline applicants,Women,18 year olds,134225
English providers,2011,June deadline applicants,Total,18 year olds,242620
English providers,2011,June deadline applicants,White ethnic group,18 year olds,195615
English providers,2011,June deadline applicants,Black ethnic group,18 year olds,10155
English providers,2011,June deadline applicants,Asian ethnic group,18 year olds,24605
English providers,2011,June deadline applicants,Mixed ethnic group,18 year olds,8625
English providers,2011,June deadline applicants,Other ethnic group,18 year olds,2285
English providers,2011,June deadline applicants,POLAR4 Q1,18 year olds,24845
English providers,2011,June deadline applicants,POLAR4 Q2,18 year olds,36215
English providers,2011,June deadline applicants,POLAR4 Q3,18 year olds,45180
English providers,2011,June deadline applicants,POLAR4 Q4,18 year olds,56130
English providers,2011,June deadline applicants,POLAR4 Q5,18 year olds,79880
English providers,2011,June deadline applicants,Men,18 year olds,108155
English providers,2011,June deadline applicants,Women,18 year olds,134465
English providers,2012,June deadline applicants,Total,18 year olds,232260
English providers,2012,June deadline applicants,White ethnic group,18 year olds,185420
English providers,2012,June deadline applicants,Black ethnic group,18 year olds,10205
English providers,2012,June deadline applicants,Asian ethnic group,18 year olds,24395
English providers,2012,June deadline applicants,Mixed ethnic group,18 year olds,8430
