"Year","Achieved A level points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","3 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","4 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2020","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2021","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","5 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","0.972","0"
"2020","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2021","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9","0"
"2022","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","55","0.981","5"
"2020","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2021","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2022","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.905","0"
"2023","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2010","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9590000000000001","5"
"2020","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.964","5"
"2021","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2022","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2023","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2010","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2020","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.927","5"
"2021","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.912","0"
"2022","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","0.933","0"
"2023","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","5"
"2013","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.966","0"
"2020","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.962","5"
"2021","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.964","5"
"2022","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2023","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2012","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2018","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","55","55","0.9470000000000001","5"
"2020","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","70","65","0.9560000000000001","10"
"2021","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.917","0"
"2022","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2023","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","11 point(s)","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
