"Year","Achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","3 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","4 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 point(s)","White","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2020","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","5 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","6 point(s)","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2018","6 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 point(s)","White","Not main scheme applicant","Not main scheme application","35","30","0.882","5"
"2020","6 point(s)","White","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2021","6 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2022","6 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2023","6 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2010","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2018","7 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2019","7 point(s)","White","Not main scheme applicant","Not main scheme application","65","65","0.985","5"
"2020","7 point(s)","White","Not main scheme applicant","Not main scheme application","45","45","1","5"
"2021","7 point(s)","White","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2022","7 point(s)","White","Not main scheme applicant","Not main scheme application","40","40","1","0"
"2023","7 point(s)","White","Not main scheme applicant","Not main scheme application","25","20","0.913","0"
"2010","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","8 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","8 point(s)","White","Not main scheme applicant","Not main scheme application","15","10","0.8","5"
"2018","8 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","White","Not main scheme applicant","Not main scheme application","65","60","0.896","0"
"2020","8 point(s)","White","Not main scheme applicant","Not main scheme application","50","50","0.962","15"
"2021","8 point(s)","White","Not main scheme applicant","Not main scheme application","35","35","1","5"
"2022","8 point(s)","White","Not main scheme applicant","Not main scheme application","40","35","0.925","5"
"2023","8 point(s)","White","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2010","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2015","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","9 point(s)","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","9 point(s)","White","Not main scheme applicant","Not main scheme application","20","15","0.778","5"
