"Year","Achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","1 point (PPP)","Quintile 1","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","1 point (PPP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","2 points (MPP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","3 points (MMP)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","3 points (MMP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","Quintile 1","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","5 points (DMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 points (DMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","6 points (DDM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 points (DDD)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","7 points (DDD)","Quintile 1","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2020","10 points (D*D*D*)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2011","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","2 points (MPP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","3 points (MMP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","5 points (DMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","6 points (DDM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","7 points (DDD)","Quintile 2","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","10 points (D*D*D*)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","1 point (PPP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","2 points (MPP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","Quintile 3","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2021","4 points (MMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 points (DMM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","6 points (DDM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 points (DDM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","6 points (DDM)","Quintile 3","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 points (DDD)","Quintile 3","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","7 points (DDD)","Quintile 3","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2010","1 point (PPP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","1 point (PPP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","2 points (MPP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 points (MMP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","4 points (MMM)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2010","5 points (DMM)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2011","7 points (DDD)","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2018","9 points (D*D*D)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","Quintile 5","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","1 point (PPP)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","2 points (MPP)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","3 points (MMP)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 points (MMM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 points (DMM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","5 points (DMM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 points (DDM)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","7 points (DDD)","Quintile 5","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","7 points (DDD)","Quintile 5","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","4 points (MMM)","Unknown","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.769","0"
"2011","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.72","0"
"2012","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.72","0"
"2013","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2014","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2015","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2016","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2017","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2018","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2019","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2022","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.684","0"
"2023","1 point (PPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2010","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","10","0.444","0"
"2011","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2012","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.741","0"
"2013","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.727","0"
"2014","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.852","0"
"2015","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2016","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","25","25","0.9580000000000001","0"
"2017","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2018","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","10","0.6880000000000001","0"
"2019","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.833","0"
"2020","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2021","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2022","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2023","2 points (MPP)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.914","0"
"2010","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.767","0"
"2011","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","30","15","0.552","0"
"2012","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2013","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2014","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","30","25","0.839","0"
"2015","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2016","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2017","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2018","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","1","0"
"2019","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2020","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2021","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","25","20","0.769","0"
"2022","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.833","0"
"2023","3 points (MMP)","Quintile 1","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2010","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2011","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.8","0"
"2012","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.795","0"
"2013","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2014","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2015","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","40","35","0.895","0"
"2016","4 points (MMM)","Quintile 1","Main scheme applicant","Not main scheme application","30","30","0.906","0"
