"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","2 points (MPP)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2011","2 points (MPP)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2010","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2010","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2021","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2011","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.846","5"
"2018","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2011","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","6 points (DDM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.905","5"
"2011","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","0.972","5"
"2017","7 points (DDD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 points (D*DD)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 points (D*D*D)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 points (D*D*D*)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","1 point (PPP)","18","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","10"
