"Year","Achieved SQA advanced higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","9 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","8 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","8 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","9 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","8 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","10 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","11 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","10 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
