"Year","Achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","4 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","5 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","11 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","5 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","6 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","6 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","6 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","6 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","7 point(s)","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
