"Year","Achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","7 point(s)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","12 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","15 point(s)","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","17 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","19 point(s)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","7 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","7 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","7 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","8 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","8 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","8 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","8 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","8 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","8 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","8 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","8 point(s)","White","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2020","8 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","8 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","9 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2011","9 point(s)","White","Main scheme applicant","Not main scheme application","20","10","0.667","0"
"2012","9 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","9 point(s)","White","Main scheme applicant","Not main scheme application","15","10","0.588","0"
"2014","9 point(s)","White","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2015","9 point(s)","White","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2016","9 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","9 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
