"Year","Care responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.9400000000000001","0"
"2023","Not declared","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","120","120","0.992","0"
"2023","Not declared","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have carer responsibility","17 and under","England","Female","Not main scheme applicant","Not main scheme application","40","20","0.579","15"
"2023","Does not have carer responsibility","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","45","40","0.886","5"
"2023","Does not have carer responsibility","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Not main scheme applicant","Not main scheme application","1090","1030","0.9490000000000001","5"
"2023","Not declared","18","Scotland","Female","Not main scheme applicant","Not main scheme application","175","170","0.989","0"
"2023","Not declared","18","Wales","Female","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2023","Does not have carer responsibility","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Does not have carer responsibility","18","England","Female","Not main scheme applicant","Not main scheme application","915","825","0.903","120"
"2023","Does not have carer responsibility","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","30","0.795","15"
"2023","Does not have carer responsibility","18","Wales","Female","Not main scheme applicant","Not main scheme application","40","40","0.9510000000000001","5"
"2023","Has carer responsibility","18","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.9490000000000001","5"
"2023","Has carer responsibility","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Not declared","19","England","Female","Not main scheme applicant","Not main scheme application","1930","1830","0.9480000000000001","5"
"2023","Not declared","19","Scotland","Female","Not main scheme applicant","Not main scheme application","135","135","0.993","0"
