"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2006","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2007","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2008","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2012","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2013","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2015","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2016","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2017","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2018","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2006","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2007","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2008","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2009","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2011","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2012","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2013","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2017","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2018","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001"
"2021","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","10","0.8"
"2023","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2006","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2007","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001"
"2008","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2009","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1"
"2010","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2011","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2012","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2013","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.933"
"2014","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2015","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2016","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2017","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.833"
"2018","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1"
"2019","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.929"
"2021","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001"
"2023","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","10","0.923"
"2006","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","25","1"
"2007","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","25","1"
"2008","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","40","1"
"2009","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","0.971"
"2010","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2011","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2012","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2013","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1"
"2014","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.833"
"2015","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2016","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2017","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2018","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1"
"2019","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.913"
"2020","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001"
"2021","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.903"
"2022","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","50","0.889"
"2023","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","60","55","0.898"
"2007","Scotland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2008","Scotland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2014","Scotland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2017","Scotland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Scotland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2006","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2007","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2008","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.917"
"2009","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.917"
"2010","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2011","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2012","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2013","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2014","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2015","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2016","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2017","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2018","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1"
"2020","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.833"
"2022","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","England","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2006","Northern Ireland","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1"
"2007","Northern Ireland","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1"
