"Year","Provider country","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2006","England","17 and under","Northern Ireland","Female","80","45","0.538"
"2007","England","17 and under","Northern Ireland","Female","65","45","0.6920000000000001"
"2008","England","17 and under","Northern Ireland","Female","50","25","0.54"
"2009","England","17 and under","Northern Ireland","Female","65","35","0.554"
"2010","England","17 and under","Northern Ireland","Female","50","35","0.7000000000000001"
"2011","England","17 and under","Northern Ireland","Female","60","40","0.633"
"2012","England","17 and under","Northern Ireland","Female","70","45","0.671"
"2013","England","17 and under","Northern Ireland","Female","35","15","0.486"
"2014","England","17 and under","Northern Ireland","Female","40","25","0.675"
"2015","England","17 and under","Northern Ireland","Female","40","30","0.775"
"2016","England","17 and under","Northern Ireland","Female","70","45","0.614"
"2017","England","17 and under","Northern Ireland","Female","35","20","0.5710000000000001"
"2018","England","17 and under","Northern Ireland","Female","60","45","0.75"
"2019","England","17 and under","Northern Ireland","Female","40","30","0.75"
"2020","England","17 and under","Northern Ireland","Female","50","40","0.78"
"2021","England","17 and under","Northern Ireland","Female","40","30","0.725"
"2022","England","17 and under","Northern Ireland","Female","35","15","0.429"
"2023","England","17 and under","Northern Ireland","Female","45","30","0.6890000000000001"
"2006","Northern Ireland","17 and under","Northern Ireland","Female","115","95","0.809"
"2007","Northern Ireland","17 and under","Northern Ireland","Female","100","90","0.9"
"2008","Northern Ireland","17 and under","Northern Ireland","Female","60","45","0.783"
"2009","Northern Ireland","17 and under","Northern Ireland","Female","60","55","0.917"
"2010","Northern Ireland","17 and under","Northern Ireland","Female","65","50","0.754"
"2011","Northern Ireland","17 and under","Northern Ireland","Female","35","35","1.057"
"2012","Northern Ireland","17 and under","Northern Ireland","Female","50","45","0.86"
"2013","Northern Ireland","17 and under","Northern Ireland","Female","35","25","0.771"
"2014","Northern Ireland","17 and under","Northern Ireland","Female","30","25","0.8"
"2015","Northern Ireland","17 and under","Northern Ireland","Female","40","30","0.8"
"2016","Northern Ireland","17 and under","Northern Ireland","Female","40","35","0.85"
"2017","Northern Ireland","17 and under","Northern Ireland","Female","15","5"," "
"2018","Northern Ireland","17 and under","Northern Ireland","Female","20","15","0.85"
"2019","Northern Ireland","17 and under","Northern Ireland","Female","35","25","0.686"
"2020","Northern Ireland","17 and under","Northern Ireland","Female","35","25","0.743"
"2021","Northern Ireland","17 and under","Northern Ireland","Female","25","10","0.44"
"2022","Northern Ireland","17 and under","Northern Ireland","Female","25","20","0.72"
"2023","Northern Ireland","17 and under","Northern Ireland","Female","25","20","0.8"
"2006","Scotland","17 and under","Northern Ireland","Female","40","15","0.4"
"2007","Scotland","17 and under","Northern Ireland","Female","35","25","0.743"
"2008","Scotland","17 and under","Northern Ireland","Female","25","10","0.44"
"2009","Scotland","17 and under","Northern Ireland","Female","25","15","0.56"
"2010","Scotland","17 and under","Northern Ireland","Female","30","15","0.467"
"2011","Scotland","17 and under","Northern Ireland","Female","20","10"," "
"2012","Scotland","17 and under","Northern Ireland","Female","25","20","0.72"
"2013","Scotland","17 and under","Northern Ireland","Female","15","5"," "
"2014","Scotland","17 and under","Northern Ireland","Female","5","5"," "
"2015","Scotland","17 and under","Northern Ireland","Female","15","10","0.8"
"2016","Scotland","17 and under","Northern Ireland","Female","20","10","0.55"
"2017","Scotland","17 and under","Northern Ireland","Female","5","5"," "
"2018","Scotland","17 and under","Northern Ireland","Female","5","5"," "
"2019","Scotland","17 and under","Northern Ireland","Female","5","5"," "
"2020","Scotland","17 and under","Northern Ireland","Female","20","10"," "
"2021","Scotland","17 and under","Northern Ireland","Female","15","10"," "
"2022","Scotland","17 and under","Northern Ireland","Female","20","15","0.65"
"2023","Scotland","17 and under","Northern Ireland","Female","15","10","0.733"
"2006","Wales","17 and under","Northern Ireland","Female","5","0"," "
"2007","Wales","17 and under","Northern Ireland","Female","5","0"," "
"2008","Wales","17 and under","Northern Ireland","Female","5","5"," "
"2009","Wales","17 and under","Northern Ireland","Female","5","5"," "
"2010","Wales","17 and under","Northern Ireland","Female","5","0"," "
"2012","Wales","17 and under","Northern Ireland","Female","5","5"," "
"2022","Wales","17 and under","Northern Ireland","Female","5","0"," "
"2023","Wales","17 and under","Northern Ireland","Female","5","0"," "
"2006","England","18","Northern Ireland","Female","9455","6060","0.641"
"2007","England","18","Northern Ireland","Female","10755","7120","0.662"
"2008","England","18","Northern Ireland","Female","9050","6095","0.673"
"2009","England","18","Northern Ireland","Female","9100","5985","0.658"
"2010","England","18","Northern Ireland","Female","9665","5870","0.607"
"2011","England","18","Northern Ireland","Female","10750","6310","0.587"
"2012","England","18","Northern Ireland","Female","9570","5780","0.604"
"2013","England","18","Northern Ireland","Female","9440","6230","0.66"
"2014","England","18","Northern Ireland","Female","9390","6420","0.684"
"2015","England","18","Northern Ireland","Female","10345","7110","0.687"
"2016","England","18","Northern Ireland","Female","11005","7820","0.711"
"2017","England","18","Northern Ireland","Female","10380","7630","0.735"
"2018","England","18","Northern Ireland","Female","9820","7370","0.75"
"2019","England","18","Northern Ireland","Female","9040","6665","0.738"
"2020","England","18","Northern Ireland","Female","9220","6945","0.753"
"2021","England","18","Northern Ireland","Female","10485","7990","0.762"
"2022","England","18","Northern Ireland","Female","11670","8270","0.709"
"2023","England","18","Northern Ireland","Female","10180","7545","0.741"
"2006","Northern Ireland","18","Northern Ireland","Female","21750","17280","0.794"
"2007","Northern Ireland","18","Northern Ireland","Female","20245","16420","0.811"
"2008","Northern Ireland","18","Northern Ireland","Female","16860","14095","0.836"
"2009","Northern Ireland","18","Northern Ireland","Female","17635","14725","0.835"
"2010","Northern Ireland","18","Northern Ireland","Female","17460","13875","0.795"
"2011","Northern Ireland","18","Northern Ireland","Female","16910","12365","0.731"
