"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2006","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2007","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2008","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2009","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2011","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2012","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2013","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2014","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2015","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2016","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2017","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2018","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1"
"2019","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.935"
"2021","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001"
"2022","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.765"
"2023","Not deferred","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2006","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","35","0.974"
"2007","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001"
"2008","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","55","1"
"2009","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","55","0.981"
"2010","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001"
"2011","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.85"
"2012","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9"
"2013","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.968"
"2014","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","25","0.923"
"2015","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9"
"2016","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1"
"2017","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.848"
"2018","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","1"
"2019","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.882"
"2020","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001"
"2021","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","35","0.917"
"2022","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","75","65","0.878"
"2023","Not deferred","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","75","70","0.895"
"2006","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.964"
"2007","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","1"
"2008","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.967"
"2009","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.968"
"2010","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.882"
"2011","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2012","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1"
"2013","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2014","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001"
"2015","Not deferred","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
