"Year","Difference between predicted and achieved A level points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","0"
"2020","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.981","15"
"2021","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2022","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","0 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","0 points","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","1","0"
"2021","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2020","3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","0"
"2020","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.974","5"
"2021","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2022","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","10"
"2021","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-2 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2021","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","-3 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2015","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-5 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2015","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2018","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","10"
"2012","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","5"
"2013","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","5"
"2014","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2016","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2017","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.867","0"
"2018","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.897","5"
"2020","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.8","0"
"2013","Less than -6 points","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","60","60","1","10"
"2021","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","30","25","0.931","5"
"2022","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2023","0 points","18","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2020","0 points","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","18","England","Male","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","5"
"2020","2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","2 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","More than 3 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2013","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
