"Year","Difference between predicted and achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","0 points","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","0 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","0 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2018","0 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","0 points","White","Not main scheme applicant","Not main scheme application","20","20","0.9","0"
"2020","0 points","White","Not main scheme applicant","Not main scheme application","100","100","1","25"
"2021","0 points","White","Not main scheme applicant","Not main scheme application","35","35","1","10"
"2022","0 points","White","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2023","0 points","White","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2012","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","1 points","White","Not main scheme applicant","Not main scheme application","35","35","0.973","10"
"2022","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","3 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","-1 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-1 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2015","-1 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-1 points","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2018","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","White","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","5"
"2020","-1 points","White","Not main scheme applicant","Not main scheme application","60","55","0.9500000000000001","15"
"2021","-1 points","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2022","-1 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","-2 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2012","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-2 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2014","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-2 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","White","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2020","-2 points","White","Not main scheme applicant","Not main scheme application","25","25","1","10"
"2021","-2 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","-2 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","-2 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2010","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","-3 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2017","-3 points","White","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","-3 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","-3 points","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","-3 points","White","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2022","-3 points","White","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2023","-3 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","White","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2021","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-5 points","White","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","-5 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","White","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","5"
"2011","Less than -6 points","White","Not main scheme applicant","Not main scheme application","20","20","0.909","15"
"2012","Less than -6 points","White","Not main scheme applicant","Not main scheme application","25","25","0.9580000000000001","5"
"2013","Less than -6 points","White","Not main scheme applicant","Not main scheme application","35","35","0.971","5"
"2014","Less than -6 points","White","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2015","Less than -6 points","White","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2016","Less than -6 points","White","Not main scheme applicant","Not main scheme application","30","30","0.933","0"
"2017","Less than -6 points","White","Not main scheme applicant","Not main scheme application","20","20","0.864","0"
"2018","Less than -6 points","White","Not main scheme applicant","Not main scheme application","30","30","0.966","5"
"2019","Less than -6 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2021","Less than -6 points","White","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","0 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-1 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","Less than -6 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","0 points","Asian","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","0 points","Asian","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","0 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Asian","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2021","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
