"Year","Difference between predicted and achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","Quintile 1","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2011","1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-3 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-3 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-3 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","-6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2021","Less than -6 points","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2010","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","0 points","Quintile 2","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-1 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","-3 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-6 points","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
