"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2020","UK","England","England","17 and under","Female","25","15","5"
"2021","UK","England","England","17 and under","Female","10","5","5"
"2022","UK","England","England","17 and under","Female","10","0","0"
"2023","UK","England","England","17 and under","Female","20","5","5"
"2020","UK","Scotland","Scotland","17 and under","Female","20","10","5"
"2021","UK","Scotland","Scotland","17 and under","Female","15","5","5"
"2022","UK","Scotland","Scotland","17 and under","Female","15","5","5"
"2023","UK","Scotland","Scotland","17 and under","Female","25","10","10"
"2020","International","EU (excluding UK)","France","17 and under","Female","5","0","0"
"2022","International","EU (excluding UK)","France","17 and under","Female","5","0","0"
"2023","International","EU (excluding UK)","France","17 and under","Female","5","0","0"
"2020","International","EU (excluding UK)","Germany","17 and under","Female","5","0","0"
"2020","International","EU (excluding UK)","Greece","17 and under","Female","5","0","0"
"2023","International","EU (excluding UK)","Greece","17 and under","Female","5","0","0"
"2020","International","EU (excluding UK)","Ireland","17 and under","Female","15","5","0"
"2021","International","EU (excluding UK)","Ireland","17 and under","Female","15","5","0"
"2022","International","EU (excluding UK)","Ireland","17 and under","Female","5","0","0"
"2023","International","EU (excluding UK)","Ireland","17 and under","Female","20","0","0"
"2020","International","EU (excluding UK)","Italy","17 and under","Female","5","0","0"
"2020","International","EU (excluding UK)","Spain","17 and under","Female","5","0","0"
"2023","International","EU (excluding UK)","Spain","17 and under","Female","5","0","0"
"2021","International","Not EU","Bahrain","17 and under","Female","5","0","0"
"2023","International","Not EU","Bermuda","17 and under","Female","5","0","0"
"2020","International","Not EU","China","17 and under","Female","15","5","5"
"2021","International","Not EU","China","17 and under","Female","5","0","0"
"2022","International","Not EU","China","17 and under","Female","5","0","0"
"2023","International","Not EU","China","17 and under","Female","5","0","0"
"2020","International","Not EU","Hong Kong","17 and under","Female","10","0","0"
"2021","International","Not EU","Hong Kong","17 and under","Female","5","0","0"
"2023","International","Not EU","Hong Kong","17 and under","Female","5","0","0"
"2020","International","Not EU","India","17 and under","Female","15","5","0"
"2021","International","Not EU","India","17 and under","Female","10","0","0"
"2022","International","Not EU","India","17 and under","Female","15","5","0"
"2023","International","Not EU","India","17 and under","Female","5","0","0"
"2022","International","Not EU","Indonesia","17 and under","Female","5","0","0"
"2020","International","Not EU","Oman","17 and under","Female","5","0","0"
"2022","International","Not EU","Oman","17 and under","Female","5","0","0"
"2020","International","Not EU","Nigeria","17 and under","Female","10","0","0"
"2021","International","Not EU","Nigeria","17 and under","Female","20","0","0"
"2022","International","Not EU","Nigeria","17 and under","Female","30","0","0"
"2023","International","Not EU","Nigeria","17 and under","Female","15","0","0"
"2020","International","Not EU","Saudi Arabia","17 and under","Female","5","0","0"
"2023","International","Not EU","Saudi Arabia","17 and under","Female","5","0","0"
"2021","International","Not EU","United Arab Emirates","17 and under","Female","5","5","0"
"2022","International","Not EU","United Arab Emirates","17 and under","Female","5","0","0"
