"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2007","Unknown","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Unknown","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Unknown","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Unknown","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Unknown","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2007","Unknown","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Unknown","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","65","65","1","0"
"2012","Unknown","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2007","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2008","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2009","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","10"
"2010","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","10"
"2012","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2014","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2015","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2016","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2017","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.895","0"
"2018","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2019","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.75","5"
"2020","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2021","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.857","0"
"2022","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.857","5"
"2023","Quintile 1","17 and under","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.885","5"
"2006","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2007","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2008","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.857","0"
"2010","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Quintile 1","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.895","0"
"2008","Quintile 1","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2007","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2008","Quintile 2","17 and under","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","10"
