"Year","MEM quintile","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","70","42390","0.002"
"2006","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","130","51320","0.003"
"2006","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","180","56980","0.003"
"2006","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","290","75810","0.004"
"2006","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","270","74640","0.004"
"2007","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","90","41510","0.002"
"2007","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","150","50280","0.003"
"2007","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","210","56350","0.004"
"2007","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","300","75780","0.004"
"2007","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","310","74670","0.004"
"2008","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","90","40890","0.002"
"2008","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","150","51350","0.003"
"2008","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","210","57490","0.004"
"2008","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","300","77920","0.004"
"2008","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","310","77850","0.004"
"2009","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","80","40330","0.002"
"2009","Quintile 2","18","England","Female","Not main scheme applicant","Not main scheme application","150","52120","0.003"
"2009","Quintile 3","18","England","Female","Not main scheme applicant","Not main scheme application","150","57610","0.003"
"2009","Quintile 4","18","England","Female","Not main scheme applicant","Not main scheme application","270","78070","0.003"
"2009","Quintile 5","18","England","Female","Not main scheme applicant","Not main scheme application","200","77760","0.003"
"2010","Quintile 1","18","England","Female","Not main scheme applicant","Not main scheme application","40","40000","0.001"
