"Year","MEM quintile","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","42390","0.001"
"2006","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","51320","0.002"
"2006","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","56980","0.002"
"2006","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","75810","0.003"
"2006","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","150","74640","0.002"
"2007","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","41510","0.002"
"2007","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","110","50280","0.002"
"2007","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","150","56350","0.003"
"2007","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","230","75780","0.003"
"2007","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","200","74670","0.003"
"2008","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","40890","0.002"
"2008","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","51350","0.002"
"2008","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","57490","0.003"
"2008","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","230","77920","0.003"
"2008","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","77850","0.003"
"2009","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","40330","0.002"
"2009","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","52120","0.002"
"2009","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","57610","0.002"
"2009","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","230","78070","0.003"
"2009","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","160","77760","0.002"
"2010","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","40000","0.001"
"2010","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","51220","0.001"
"2010","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","70","57360","0.001"
"2010","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","78170","0.001"
"2010","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","78770","0.001"
"2011","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","39000","0.001"
"2011","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","49480","0.001"
"2011","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","56120","0.002"
"2011","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","77630","0.002"
"2011","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","77160","0.001"
"2012","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","38370","0.002"
"2012","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","48400","0.002"
"2012","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","55890","0.002"
"2012","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","170","78630","0.002"
"2012","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","78460","0.002"
"2013","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","37910","0.002"
"2013","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","130","47180","0.003"
"2013","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","140","54920","0.003"
"2013","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","240","77090","0.003"
"2013","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","78070","0.003"
"2014","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","38260","0.002"
"2014","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","110","46110","0.002"
"2014","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","160","53530","0.003"
"2014","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","240","76360","0.003"
"2014","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","77390","0.002"
"2015","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","39660","0.002"
"2015","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","100","46570","0.002"
"2015","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","54570","0.003"
"2015","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","260","77870","0.003"
"2015","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","190","79680","0.002"
"2016","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","39810","0.002"
"2016","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","120","44630","0.003"
"2016","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","160","52740","0.003"
"2016","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","250","77300","0.003"
"2016","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","200","78790","0.002"
"2017","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","110","38580","0.003"
"2017","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","150","44030","0.003"
"2017","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","51410","0.004"
"2017","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","300","76960","0.004"
"2017","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","270","79370","0.003"
"2018","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","170","37730","0.004"
"2018","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","220","42420","0.005"
"2018","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","260","49210","0.005"
"2018","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","340","76430","0.004"
"2018","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","250","78400","0.003"
"2019","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","35990","0.005"
"2019","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","220","41220","0.005"
"2019","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","270","48110","0.006"
"2019","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","420","74760","0.006"
"2019","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","280","77610","0.004"
"2020","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","200","34970","0.006"
"2020","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","320","40040","0.008"
"2020","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","340","47330","0.007"
"2020","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","540","74620","0.007"
"2020","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","360","78010","0.005"
"2021","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","160","37060","0.004"
"2021","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","220","40780","0.005"
"2021","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","260","48670","0.005"
"2021","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","380","76990","0.005"
"2021","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","200","81310","0.002"
"2022","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","180","40190","0.004"
"2022","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","41760","0.005"
"2022","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","220","49710","0.004"
"2022","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","310","78620","0.004"
"2022","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","260","83390","0.003"
"2023","Quintile 1","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","150","44850","0.003"
"2023","Quintile 2","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","190","42390","0.004"
"2023","Quintile 3","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","210","51160","0.004"
"2023","Quintile 4","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","330","80310","0.004"
"2023","Quintile 5","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","250","113710","0.002"
"2006","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","42390","0"
"2006","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","51320","0"
"2006","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","56980","0"
"2006","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","75810","0"
"2006","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","74640","0"
"2007","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","41510","0"
"2007","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","50280","0"
"2007","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","56350","0"
"2007","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","75780","0"
"2007","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","74670","0"
"2008","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40890","0"
"2008","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","51350","0"
"2008","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","57490","0"
"2008","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","77920","0"
"2008","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","77850","0"
"2009","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40330","0"
"2009","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","52120","0"
"2009","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","57610","0"
"2009","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","78070","0"
"2009","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","77760","0"
"2010","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40000","0"
"2010","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","51220","0"
"2010","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","57360","0"
"2010","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","78170","0"
"2010","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","78770","0"
"2011","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","39000","0"
"2011","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","49480","0"
"2011","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","56120","0"
"2011","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","77630","0"
"2011","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","77160","0"
"2012","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","38370","0"
"2012","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","48400","0"
"2012","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","55890","0"
"2012","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","78630","0"
"2012","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","78460","0.001"
"2013","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","37910","0"
"2013","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","47180","0"
"2013","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","54920","0"
"2013","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","77090","0"
"2013","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","78070","0.001"
"2014","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","38260","0"
"2014","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","46110","0"
"2014","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","53530","0"
"2014","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","76360","0"
"2014","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","77390","0"
"2015","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","39660","0"
