"Year","Provider country","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","England","17 and under","Northern Ireland","Female","5","0"," "
"2021","Northern Ireland","17 and under","Northern Ireland","Female","5","0"," "
"2019","England","18","Northern Ireland","Female","145","25","0.179"
"2020","England","18","Northern Ireland","Female","170","50","0.28200000000000003"
"2021","England","18","Northern Ireland","Female","205","25","0.122"
"2022","England","18","Northern Ireland","Female","200","30","0.16"
"2023","England","18","Northern Ireland","Female","135","35","0.244"
"2019","Northern Ireland","18","Northern Ireland","Female","160","10"," "
"2020","Northern Ireland","18","Northern Ireland","Female","180","25","0.139"
"2021","Northern Ireland","18","Northern Ireland","Female","245","35","0.14300000000000002"
"2022","Northern Ireland","18","Northern Ireland","Female","275","50","0.189"
"2023","Northern Ireland","18","Northern Ireland","Female","250","35","0.14"
"2019","Scotland","18","Northern Ireland","Female","35","5"," "
"2020","Scotland","18","Northern Ireland","Female","35","5"," "
"2021","Scotland","18","Northern Ireland","Female","50","0"," "
"2022","Scotland","18","Northern Ireland","Female","40","5"," "
"2023","Scotland","18","Northern Ireland","Female","35","5"," "
"2019","Wales","18","Northern Ireland","Female","25","0"," "
"2020","Wales","18","Northern Ireland","Female","20","5"," "
"2021","Wales","18","Northern Ireland","Female","30","0"," "
"2022","Wales","18","Northern Ireland","Female","35","5"," "
"2023","Wales","18","Northern Ireland","Female","25","0"," "
"2019","England","19","Northern Ireland","Female","65","10","0.169"
"2020","England","19","Northern Ireland","Female","35","5"," "
"2021","England","19","Northern Ireland","Female","60","5"," "
"2022","England","19","Northern Ireland","Female","45","10"," "
"2023","England","19","Northern Ireland","Female","30","5"," "
"2019","Northern Ireland","19","Northern Ireland","Female","60","5"," "
"2020","Northern Ireland","19","Northern Ireland","Female","65","10","0.154"
"2021","Northern Ireland","19","Northern Ireland","Female","80","10","0.125"
"2022","Northern Ireland","19","Northern Ireland","Female","80","15","0.163"
"2023","Northern Ireland","19","Northern Ireland","Female","70","5"," "
"2019","Scotland","19","Northern Ireland","Female","10","5"," "
"2020","Scotland","19","Northern Ireland","Female","10","0"," "
"2021","Scotland","19","Northern Ireland","Female","10","0"," "
"2022","Scotland","19","Northern Ireland","Female","5","0"," "
"2023","Scotland","19","Northern Ireland","Female","5","0"," "
"2019","Wales","19","Northern Ireland","Female","10","0"," "
"2020","Wales","19","Northern Ireland","Female","5","0"," "
"2021","Wales","19","Northern Ireland","Female","5","0"," "
"2022","Wales","19","Northern Ireland","Female","5","0"," "
"2023","Wales","19","Northern Ireland","Female","5","0"," "
"2019","England","20","Northern Ireland","Female","15","5"," "
"2020","England","20","Northern Ireland","Female","10","0"," "
"2021","England","20","Northern Ireland","Female","5","0"," "
"2022","England","20","Northern Ireland","Female","20","0"," "
"2023","England","20","Northern Ireland","Female","20","5"," "
"2019","Northern Ireland","20","Northern Ireland","Female","30","0"," "
"2020","Northern Ireland","20","Northern Ireland","Female","25","5"," "
"2021","Northern Ireland","20","Northern Ireland","Female","30","5"," "
"2022","Northern Ireland","20","Northern Ireland","Female","35","5"," "
"2023","Northern Ireland","20","Northern Ireland","Female","35","5"," "
"2019","Scotland","20","Northern Ireland","Female","5","0"," "
"2022","Scotland","20","Northern Ireland","Female","5","0"," "
"2023","Scotland","20","Northern Ireland","Female","5","0"," "
"2019","Wales","20","Northern Ireland","Female","5","0"," "
"2019","England","21 - 24","Northern Ireland","Female","30","10"," "
"2020","England","21 - 24","Northern Ireland","Female","35","10","0.314"
