"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","UK","England","England","17 and under","Female","10","0"," "
"2021","UK","England","England","17 and under","Female","20","5"," "
"2022","UK","England","England","17 and under","Female","15","0"," "
"2023","UK","England","England","17 and under","Female","20","0"," "
"2021","UK","Northern Ireland","Northern Ireland","17 and under","Female","5","0"," "
"2023","UK","Northern Ireland","Northern Ireland","17 and under","Female","5","0"," "
"2019","UK","Scotland","Scotland","17 and under","Female","15","0"," "
"2020","UK","Scotland","Scotland","17 and under","Female","30","5"," "
"2021","UK","Scotland","Scotland","17 and under","Female","35","5"," "
"2022","UK","Scotland","Scotland","17 and under","Female","50","5"," "
"2023","UK","Scotland","Scotland","17 and under","Female","20","5"," "
"2020","UK","Wales","Wales","17 and under","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","17 and under","Female","50","0"," "
"2020","International","EU (excluding UK)","Ireland","17 and under","Female","30","0"," "
"2021","International","EU (excluding UK)","Ireland","17 and under","Female","25","5"," "
"2022","International","EU (excluding UK)","Ireland","17 and under","Female","20","0"," "
"2023","International","EU (excluding UK)","Ireland","17 and under","Female","25","0"," "
"2019","International","EU (excluding UK)","Spain","17 and under","Female","5","0"," "
"2020","International","EU (excluding UK)","Spain","17 and under","Female","5","0"," "
"2022","International","Not EU","Bermuda","17 and under","Female","5","0"," "
"2019","International","Not EU","Canada","17 and under","Female","5","0"," "
"2021","International","Not EU","Ghana","17 and under","Female","10","0"," "
"2023","International","Not EU","Madagascar","17 and under","Female","5","5"," "
"2020","International","Not EU","Oman","17 and under","Female","5","0"," "
"2020","International","Not EU","Zimbabwe","17 and under","Female","5","0"," "
"2019","UK","England","England","18","Female","8055","1905","0.23600000000000002"
"2020","UK","England","England","18","Female","8520","2345","0.275"
"2021","UK","England","England","18","Female","10440","2125","0.20400000000000001"
"2022","UK","England","England","18","Female","10860","2155","0.198"
"2023","UK","England","England","18","Female","9260","2875","0.311"
"2019","UK","Northern Ireland","Northern Ireland","18","Female","365","40","0.115"
"2020","UK","Northern Ireland","Northern Ireland","18","Female","410","80","0.193"
"2021","UK","Northern Ireland","Northern Ireland","18","Female","535","65","0.11800000000000001"
"2022","UK","Northern Ireland","Northern Ireland","18","Female","545","95","0.17200000000000001"
"2023","UK","Northern Ireland","Northern Ireland","18","Female","445","70","0.162"
"2019","UK","Scotland","Scotland","18","Female","670","135","0.201"
"2020","UK","Scotland","Scotland","18","Female","550","120","0.22"
"2021","UK","Scotland","Scotland","18","Female","780","95","0.121"
"2022","UK","Scotland","Scotland","18","Female","665","100","0.15"
"2023","UK","Scotland","Scotland","18","Female","455","100","0.224"
"2019","UK","Wales","Wales","18","Female","360","40","0.111"
"2020","UK","Wales","Wales","18","Female","500","75","0.146"
"2021","UK","Wales","Wales","18","Female","770","110","0.145"
"2022","UK","Wales","Wales","18","Female","630","95","0.149"
"2023","UK","Wales","Wales","18","Female","465","95","0.2"
"2020","International","EU (excluding UK)","Austria","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Denmark","18","Female","5","0"," "
"2019","International","EU (excluding UK)","France","18","Female","10","0"," "
"2020","International","EU (excluding UK)","France","18","Female","10","0"," "
"2021","International","EU (excluding UK)","France","18","Female","5","0"," "
"2022","International","EU (excluding UK)","France","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Germany","18","Female","5","0"," "
"2023","International","EU (excluding UK)","Germany","18","Female","5","0"," "
"2021","International","EU (excluding UK)","Greece","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Hungary","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","18","Female","70","0"," "
"2020","International","EU (excluding UK)","Ireland","18","Female","125","10","0.088"
"2021","International","EU (excluding UK)","Ireland","18","Female","125","5"," "
"2022","International","EU (excluding UK)","Ireland","18","Female","170","10"," "
"2023","International","EU (excluding UK)","Ireland","18","Female","95","15","0.158"
"2019","International","EU (excluding UK)","Italy","18","Female","10","0"," "
"2020","International","EU (excluding UK)","Italy","18","Female","20","5"," "
"2021","International","EU (excluding UK)","Italy","18","Female","5","0"," "
"2022","International","EU (excluding UK)","Italy","18","Female","5","0"," "
"2023","International","EU (excluding UK)","Italy","18","Female","5","0"," "
"2020","International","EU (excluding UK)","Luxembourg","18","Female","5","0"," "
"2021","International","EU (excluding UK)","Netherlands","18","Female","5","0"," "
"2020","International","EU (excluding UK)","Poland","18","Female","5","0"," "
"2019","International","EU (excluding UK)","Spain","18","Female","5","0"," "
"2020","International","EU (excluding UK)","Spain","18","Female","10","5"," "
"2022","International","EU (excluding UK)","Spain","18","Female","5","0"," "
"2020","International","EU (excluding UK)","Cyprus (European Union)","18","Female","5","0"," "
"2019","International","Not EU","Guernsey","18","Female","5","0"," "
"2020","International","Not EU","Guernsey","18","Female","5","0"," "
"2021","International","Not EU","Guernsey","18","Female","5","0"," "
"2022","International","Not EU","Guernsey","18","Female","5","0"," "
"2023","International","Not EU","Guernsey","18","Female","5","5"," "
"2019","International","Not EU","Jersey","18","Female","25","5"," "
"2020","International","Not EU","Jersey","18","Female","10","0"," "
"2022","International","Not EU","Jersey","18","Female","5","0"," "
"2023","International","Not EU","Jersey","18","Female","5","0"," "
"2019","International","Not EU","Isle of Man","18","Female","5","0"," "
"2020","International","Not EU","Isle of Man","18","Female","10","0"," "
"2021","International","Not EU","Isle of Man","18","Female","10","0"," "
"2022","International","Not EU","Isle of Man","18","Female","10","0"," "
"2022","International","Not EU","Australia","18","Female","5","0"," "
"2019","International","Not EU","Bahrain","18","Female","5","5"," "
"2019","International","Not EU","Bermuda","18","Female","5","0"," "
"2023","International","Not EU","Bermuda","18","Female","5","0"," "
"2019","International","Not EU","Brunei Darussalam","18","Female","5","0"," "
"2020","International","Not EU","Brunei Darussalam","18","Female","5","0"," "
"2020","International","Not EU","Canada","18","Female","5","0"," "
"2021","International","Not EU","Canada","18","Female","15","0"," "
"2022","International","Not EU","Canada","18","Female","5","0"," "
"2022","International","Not EU","China","18","Female","5","0"," "
"2019","International","Not EU","Gibraltar","18","Female","5","0"," "
"2020","International","Not EU","Gibraltar","18","Female","10","0"," "
"2021","International","Not EU","Gibraltar","18","Female","5","0"," "
"2022","International","Not EU","Gibraltar","18","Female","10","0"," "
"2023","International","Not EU","Gibraltar","18","Female","5","0"," "
"2022","International","Not EU","Hong Kong","18","Female","10","0"," "
"2022","International","Not EU","Jamaica","18","Female","5","0"," "
"2021","International","Not EU","Nigeria","18","Female","5","0"," "
"2023","International","Not EU","Nigeria","18","Female","5","5"," "
"2020","International","Not EU","South Africa","18","Female","5","0"," "
"2019","International","Not EU","United States of America","18","Female","5","0"," "
"2020","International","Not EU","United States of America","18","Female","10","5"," "
"2021","International","Not EU","United States of America","18","Female","5","0"," "
"2022","International","Not EU","United States of America","18","Female","20","0"," "
"2023","International","Not EU","United States of America","18","Female","15","0"," "
"2023","International","Not EU","Cayman Islands","18","Female","10","5"," "
"2019","UK","England","England","19","Female","3150","650","0.20600000000000002"
"2020","UK","England","England","19","Female","3025","695","0.229"
"2021","UK","England","England","19","Female","3625","635","0.17500000000000002"
"2022","UK","England","England","19","Female","3400","525","0.154"
"2023","UK","England","England","19","Female","2720","680","0.25"
"2019","UK","Northern Ireland","Northern Ireland","19","Female","145","25","0.159"
"2020","UK","Northern Ireland","Northern Ireland","19","Female","115","15","0.13"
"2021","UK","Northern Ireland","Northern Ireland","19","Female","155","15","0.097"
"2022","UK","Northern Ireland","Northern Ireland","19","Female","135","20","0.156"
"2023","UK","Northern Ireland","Northern Ireland","19","Female","110","10","0.091"
"2019","UK","Scotland","Scotland","19","Female","195","35","0.17400000000000002"
"2020","UK","Scotland","Scotland","19","Female","170","35","0.218"
"2021","UK","Scotland","Scotland","19","Female","235","20","0.089"
"2022","UK","Scotland","Scotland","19","Female","210","25","0.129"
"2023","UK","Scotland","Scotland","19","Female","205","50","0.249"
"2019","UK","Wales","Wales","19","Female","225","25","0.116"
"2020","UK","Wales","Wales","19","Female","205","20","0.107"
"2021","UK","Wales","Wales","19","Female","310","25","0.081"
"2022","UK","Wales","Wales","19","Female","190","35","0.184"
"2023","UK","Wales","Wales","19","Female","120","15","0.133"
"2019","International","EU (excluding UK)","Austria","19","Female","5","0"," "
"2021","International","EU (excluding UK)","Austria","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Denmark","19","Female","5","0"," "
"2019","International","EU (excluding UK)","France","19","Female","10","0"," "
"2020","International","EU (excluding UK)","France","19","Female","10","0"," "
"2021","International","EU (excluding UK)","France","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Germany","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Greece","19","Female","5","0"," "
"2022","International","EU (excluding UK)","Greece","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","19","Female","45","0"," "
"2020","International","EU (excluding UK)","Ireland","19","Female","75","5"," "
"2021","International","EU (excluding UK)","Ireland","19","Female","115","5"," "
"2022","International","EU (excluding UK)","Ireland","19","Female","90","5"," "
"2023","International","EU (excluding UK)","Ireland","19","Female","95","10","0.126"
"2019","International","EU (excluding UK)","Italy","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Italy","19","Female","10","0"," "
"2022","International","EU (excluding UK)","Italy","19","Female","5","0"," "
"2023","International","EU (excluding UK)","Italy","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Netherlands","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Spain","19","Female","5","0"," "
"2021","International","EU (excluding UK)","Spain","19","Female","10","0"," "
"2019","International","EU (excluding UK)","Estonia","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Lithuania","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Cyprus (European Union)","19","Female","5","0"," "
"2022","International","Not EU","Guernsey","19","Female","5","0"," "
"2019","International","Not EU","Jersey","19","Female","5","0"," "
"2022","International","Not EU","Jersey","19","Female","5","5"," "
"2019","International","Not EU","Isle of Man","19","Female","5","0"," "
"2021","International","Not EU","Isle of Man","19","Female","5","0"," "
"2023","International","Not EU","Brunei Darussalam","19","Female","5","0"," "
"2022","International","Not EU","Canada","19","Female","10","0"," "
"2020","International","Not EU","Taiwan","19","Female","5","0"," "
"2019","International","Not EU","Gibraltar","19","Female","10","0"," "
"2020","International","Not EU","Gibraltar","19","Female","5","0"," "
"2021","International","Not EU","Gibraltar","19","Female","10","0"," "
"2022","International","Not EU","Gibraltar","19","Female","5","0"," "
"2023","International","Not EU","Gibraltar","19","Female","5","0"," "
"2021","International","Not EU","Hong Kong","19","Female","5","0"," "
"2022","International","Not EU","Kenya","19","Female","5","0"," "
"2021","International","Not EU","Kuwait","19","Female","5","0"," "
"2022","International","Not EU","Nigeria","19","Female","5","0"," "
"2021","International","Not EU","Zimbabwe","19","Female","10","0"," "
"2022","International","Not EU","South Africa","19","Female","5","0"," "
"2023","International","Not EU","South Africa","19","Female","5","0"," "
"2019","International","Not EU","United States of America","19","Female","10","0"," "
"2021","International","Not EU","United States of America","19","Female","5","0"," "
"2022","International","Not EU","United States of America","19","Female","5","0"," "
"2020","International","Not EU","Not Known","19","Female","5","0"," "
"2019","International","Not EU","Turks and Caicos Islands","19","Female","5","0"," "
"2020","International","Not EU","Ukraine","19","Female","5","0"," "
"2021","International","Not EU","Sint Maarten (Dutch Part)","19","Female","5","0"," "
"2019","UK","England","England","20","Female","1725","350","0.20400000000000001"
"2020","UK","England","England","20","Female","1640","385","0.234"
"2021","UK","England","England","20","Female","1955","345","0.177"
"2022","UK","England","England","20","Female","1890","300","0.159"
"2023","UK","England","England","20","Female","1530","365","0.23900000000000002"
"2019","UK","Northern Ireland","Northern Ireland","20","Female","50","5"," "
"2020","UK","Northern Ireland","Northern Ireland","20","Female","40","5"," "
"2021","UK","Northern Ireland","Northern Ireland","20","Female","35","5"," "
"2022","UK","Northern Ireland","Northern Ireland","20","Female","60","5"," "
"2023","UK","Northern Ireland","Northern Ireland","20","Female","60","5"," "
"2019","UK","Scotland","Scotland","20","Female","110","20","0.164"
"2020","UK","Scotland","Scotland","20","Female","100","15","0.15"
"2021","UK","Scotland","Scotland","20","Female","140","15","0.107"
"2022","UK","Scotland","Scotland","20","Female","145","25","0.186"
"2023","UK","Scotland","Scotland","20","Female","85","15","0.176"
"2019","UK","Wales","Wales","20","Female","115","15","0.122"
"2020","UK","Wales","Wales","20","Female","85","15","0.153"
"2021","UK","Wales","Wales","20","Female","150","15","0.08700000000000001"
"2022","UK","Wales","Wales","20","Female","125","20","0.152"
"2023","UK","Wales","Wales","20","Female","105","20","0.19"
"2021","International","EU (excluding UK)","Finland","20","Female","5","0"," "
"2019","International","EU (excluding UK)","France","20","Female","15","0"," "
"2020","International","EU (excluding UK)","France","20","Female","5","0"," "
"2021","International","EU (excluding UK)","France","20","Female","5","0"," "
"2022","International","EU (excluding UK)","France","20","Female","5","0"," "
"2019","International","EU (excluding UK)","Germany","20","Female","5","0"," "
"2020","International","EU (excluding UK)","Germany","20","Female","5","0"," "
"2022","International","EU (excluding UK)","Germany","20","Female","5","0"," "
"2019","International","EU (excluding UK)","Hungary","20","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","20","Female","45","0"," "
"2020","International","EU (excluding UK)","Ireland","20","Female","35","5"," "
"2021","International","EU (excluding UK)","Ireland","20","Female","45","0"," "
"2022","International","EU (excluding UK)","Ireland","20","Female","55","5"," "
"2023","International","EU (excluding UK)","Ireland","20","Female","15","0"," "
"2019","International","EU (excluding UK)","Italy","20","Female","20","0"," "
"2020","International","EU (excluding UK)","Italy","20","Female","5","0"," "
"2021","International","EU (excluding UK)","Italy","20","Female","10","0"," "
"2022","International","EU (excluding UK)","Italy","20","Female","5","0"," "
"2020","International","EU (excluding UK)","Netherlands","20","Female","5","0"," "
"2020","International","EU (excluding UK)","Spain","20","Female","5","0"," "
"2019","International","Not EU","Jersey","20","Female","5","0"," "
"2022","International","Not EU","Canada","20","Female","5","0"," "
"2023","International","Not EU","China","20","Female","5","0"," "
"2019","International","Not EU","Ghana","20","Female","5","0"," "
"2023","International","Not EU","Gibraltar","20","Female","5","0"," "
"2023","International","Not EU","India","20","Female","5","0"," "
"2023","International","Not EU","Jamaica","20","Female","5","0"," "
"2023","International","Not EU","Nigeria","20","Female","5","0"," "
"2022","International","Not EU","Singapore","20","Female","5","0"," "
"2023","International","Not EU","South Africa","20","Female","5","0"," "
"2022","International","Not EU","Switzerland","20","Female","5","0"," "
"2019","International","Not EU","United Arab Emirates","20","Female","5","0"," "
"2021","International","Not EU","United States of America","20","Female","5","0"," "
"2022","International","Not EU","United States of America","20","Female","5","0"," "
"2021","International","Not EU","Not Known","20","Female","5","0"," "
"2019","UK","England","England","21 - 24","Female","3755","925","0.247"
"2020","UK","England","England","21 - 24","Female","3635","1000","0.276"
"2021","UK","England","England","21 - 24","Female","4720","1155","0.245"
"2022","UK","England","England","21 - 24","Female","3885","765","0.197"
"2023","UK","England","England","21 - 24","Female","2790","670","0.24"
"2019","UK","Northern Ireland","Northern Ireland","21 - 24","Female","110","15","0.136"
"2020","UK","Northern Ireland","Northern Ireland","21 - 24","Female","115","30","0.243"
"2021","UK","Northern Ireland","Northern Ireland","21 - 24","Female","140","20","0.136"
"2022","UK","Northern Ireland","Northern Ireland","21 - 24","Female","100","10","0.11"
"2023","UK","Northern Ireland","Northern Ireland","21 - 24","Female","85","10"," "
"2019","UK","Scotland","Scotland","21 - 24","Female","300","55","0.187"
"2020","UK","Scotland","Scotland","21 - 24","Female","375","70","0.192"
"2021","UK","Scotland","Scotland","21 - 24","Female","410","65","0.154"
"2022","UK","Scotland","Scotland","21 - 24","Female","375","60","0.155"
"2023","UK","Scotland","Scotland","21 - 24","Female","245","55","0.233"
"2019","UK","Wales","Wales","21 - 24","Female","425","65","0.158"
"2020","UK","Wales","Wales","21 - 24","Female","335","50","0.152"
"2021","UK","Wales","Wales","21 - 24","Female","365","45","0.11800000000000001"
"2022","UK","Wales","Wales","21 - 24","Female","230","40","0.178"
"2023","UK","Wales","Wales","21 - 24","Female","185","40","0.227"
"2021","International","EU (excluding UK)","Belgium","21 - 24","Female","5","0"," "
"2021","International","EU (excluding UK)","Finland","21 - 24","Female","10","0"," "
"2019","International","EU (excluding UK)","France","21 - 24","Female","15","5"," "
"2020","International","EU (excluding UK)","France","21 - 24","Female","10","0"," "
