"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","White","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","White","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","White","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","White","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","19","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Black","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Black","19","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Asian","19","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Mixed","19","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","White","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","20","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Black","20","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Black","20","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Black","20","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Asian","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Mixed","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.875"
"2020","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.8180000000000001"
"2021","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.905"
"2020","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
