"Year","Ethnic group","Deferred entry","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","White","Not deferred","19275","4705","0.244"
"2020","White","Not deferred","19770","5330","0.27"
"2021","White","Not deferred","26905","6005","0.223"
"2022","White","Not deferred","23535","5195","0.221"
"2023","White","Not deferred","17450","4940","0.28300000000000003"
"2019","Black","Not deferred","4150","665","0.16"
"2020","Black","Not deferred","4215","960","0.228"
"2021","Black","Not deferred","5190","850","0.164"
"2022","Black","Not deferred","5125","845","0.165"
"2023","Black","Not deferred","4775","1285","0.269"
"2019","Asian","Not deferred","2115","365","0.17200000000000001"
"2020","Asian","Not deferred","2275","490","0.215"
"2021","Asian","Not deferred","2540","445","0.176"
"2022","Asian","Not deferred","2635","435","0.165"
"2023","Asian","Not deferred","2240","590","0.263"
"2019","Mixed","Not deferred","1185","235","0.197"
"2020","Mixed","Not deferred","1225","300","0.244"
"2021","Mixed","Not deferred","1535","325","0.212"
"2022","Mixed","Not deferred","1375","280","0.20400000000000001"
"2023","Mixed","Not deferred","1080","300","0.276"
"2019","Other","Not deferred","410","95","0.232"
"2020","Other","Not deferred","510","130","0.255"
"2021","Other","Not deferred","450","65","0.149"
"2022","Other","Not deferred","610","120","0.195"
"2023","Other","Not deferred","415","120","0.28700000000000003"
"2019","Unknown or Prefer Not To Say","Not deferred","105","20","0.181"
"2020","Unknown or Prefer Not To Say","Not deferred","135","35","0.259"
"2021","Unknown or Prefer Not To Say","Not deferred","175","20","0.109"
"2022","Unknown or Prefer Not To Say","Not deferred","140","20","0.157"
"2023","Unknown or Prefer Not To Say","Not deferred","125","25","0.2"
"2019","White","Deferred","750","335","0.444"
"2020","White","Deferred","635","325","0.51"
"2021","White","Deferred","800","335","0.419"
"2022","White","Deferred","720","240","0.332"
"2023","White","Deferred","610","200","0.326"
"2019","Black","Deferred","130","40","0.308"
"2020","Black","Deferred","80","35","0.425"
"2021","Black","Deferred","85","50","0.5760000000000001"
"2022","Black","Deferred","140","30","0.20700000000000002"
"2023","Black","Deferred","105","25","0.257"
"2019","Asian","Deferred","45","15","0.378"
"2020","Asian","Deferred","25","15","0.56"
"2021","Asian","Deferred","35","10","0.343"
"2022","Asian","Deferred","40","15","0.35000000000000003"
"2023","Asian","Deferred","50","15","0.3"
"2019","Mixed","Deferred","45","15","0.378"
"2020","Mixed","Deferred","40","20","0.47500000000000003"
"2021","Mixed","Deferred","50","20","0.42"
"2022","Mixed","Deferred","35","5"," "
"2023","Mixed","Deferred","40","15","0.375"
"2019","Other","Deferred","15","5"," "
"2020","Other","Deferred","10","5"," "
"2021","Other","Deferred","10","5"," "
"2022","Other","Deferred","10","0"," "
"2023","Other","Deferred","10","0"," "
"2019","Unknown or Prefer Not To Say","Deferred","5","0"," "
"2021","Unknown or Prefer Not To Say","Deferred","5","0"," "
"2022","Unknown or Prefer Not To Say","Deferred","10","0"," "
"2023","Unknown or Prefer Not To Say","Deferred","5","5"," "
"2019","All","Not deferred","27250","6080","0.223"
"2020","All","Not deferred","28135","7245","0.258"
"2021","All","Not deferred","36795","7710","0.21"
"2022","All","Not deferred","33420","6895","0.20600000000000002"
"2023","All","Not deferred","26080","7255","0.278"
"2019","All","Deferred","980","410","0.42"
"2020","All","Deferred","795","395","0.499"
"2021","All","Deferred","990","425","0.429"
"2022","All","Deferred","950","290","0.306"
"2023","All","Deferred","820","260","0.318"
"2019","White","All","20025","5035","0.251"
"2020","White","All","20410","5655","0.277"
"2021","White","All","27705","6340","0.229"
"2022","White","All","24255","5435","0.224"
"2023","White","All","18060","5140","0.28500000000000003"
"2019","Black","All","4280","705","0.165"
"2020","Black","All","4295","995","0.232"
"2021","Black","All","5280","900","0.17"
"2022","Black","All","5265","875","0.166"
"2023","Black","All","4880","1310","0.269"
"2019","Asian","All","2160","380","0.176"
"2020","Asian","All","2305","500","0.218"
"2021","Asian","All","2575","460","0.178"
"2022","Asian","All","2680","450","0.167"
"2023","Asian","All","2290","605","0.263"
"2019","Mixed","All","1230","250","0.20400000000000001"
"2020","Mixed","All","1265","320","0.251"
"2021","Mixed","All","1590","345","0.218"
"2022","Mixed","All","1410","285","0.202"
"2023","Mixed","All","1120","315","0.279"
"2019","Other","All","425","100","0.231"
"2020","Other","All","525","135","0.257"
"2021","Other","All","460","75","0.159"
"2022","Other","All","615","120","0.197"
"2023","Other","All","425","120","0.28500000000000003"
"2019","Unknown or Prefer Not To Say","All","110","20","0.191"
"2020","Unknown or Prefer Not To Say","All","135","35","0.267"
"2021","Unknown or Prefer Not To Say","All","175","20","0.12"
"2022","Unknown or Prefer Not To Say","All","150","25","0.16"
"2023","Unknown or Prefer Not To Say","All","130","30","0.215"
"2019","All","All","28230","6495","0.23"
"2020","All","All","28930","7640","0.264"
"2021","All","All","37780","8135","0.215"
"2022","All","All","34370","7185","0.209"
"2023","All","All","26905","7515","0.279"
