"Year","Tariff group of provider","Deferred entry","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","Lower tariff","Not deferred","14030","3160","0.225"
"2020","Lower tariff","Not deferred","14080","4060","0.28800000000000003"
"2021","Lower tariff","Not deferred","18210","4555","0.25"
"2022","Lower tariff","Not deferred","16190","3895","0.241"
"2023","Lower tariff","Not deferred","12700","4160","0.328"
"2019","Higher tariff","Not deferred","4750","930","0.196"
"2020","Higher tariff","Not deferred","4915","1000","0.203"
"2021","Higher tariff","Not deferred","6805","885","0.13"
"2022","Higher tariff","Not deferred","6310","940","0.149"
"2023","Higher tariff","Not deferred","4935","1040","0.211"
"2019","Medium tariff","Not deferred","9210","2060","0.224"
"2020","Medium tariff","Not deferred","9910","2270","0.229"
"2021","Medium tariff","Not deferred","12675","2350","0.185"
"2022","Medium tariff","Not deferred","11835","2125","0.179"
"2023","Medium tariff","Not deferred","9125","2165","0.23700000000000002"
"2019","Lower tariff","Deferred","440","175","0.395"
"2020","Lower tariff","Deferred","390","245","0.626"
"2021","Lower tariff","Deferred","490","255","0.52"
"2022","Lower tariff","Deferred","425","165","0.391"
"2023","Lower tariff","Deferred","325","145","0.446"
"2019","Higher tariff","Deferred","185","65","0.362"
"2020","Higher tariff","Deferred","145","55","0.386"
"2021","Higher tariff","Deferred","195","50","0.267"
"2022","Higher tariff","Deferred","210","55","0.262"
"2023","Higher tariff","Deferred","185","45","0.254"
"2019","Medium tariff","Deferred","385","175","0.452"
"2020","Medium tariff","Deferred","275","105","0.378"
"2021","Medium tariff","Deferred","310","120","0.39"
"2022","Medium tariff","Deferred","330","75","0.224"
"2023","Medium tariff","Deferred","330","70","0.218"
"2019","All","Not deferred","27990","6155","0.22"
"2020","All","Not deferred","28900","7330","0.254"
"2021","All","Not deferred","37685","7790","0.20700000000000002"
"2022","All","Not deferred","34335","6960","0.203"
"2023","All","Not deferred","26760","7365","0.275"
"2019","All","Deferred","1010","415","0.41100000000000003"
"2020","All","Deferred","815","405","0.496"
"2021","All","Deferred","995","430","0.43"
"2022","All","Deferred","965","295","0.306"
"2023","All","Deferred","835","265","0.316"
"2019","Lower tariff","All","14475","3335","0.23"
"2020","Lower tariff","All","14470","4305","0.297"
"2021","Lower tariff","All","18700","4810","0.257"
"2022","Lower tariff","All","16615","4060","0.244"
"2023","Lower tariff","All","13025","4305","0.331"
"2019","Higher tariff","All","4935","1000","0.202"
"2020","Higher tariff","All","5060","1055","0.209"
"2021","Higher tariff","All","7000","935","0.134"
"2022","Higher tariff","All","6525","995","0.153"
"2023","Higher tariff","All","5120","1085","0.212"
"2019","Medium tariff","All","9595","2235","0.233"
"2020","Medium tariff","All","10185","2375","0.233"
"2021","Medium tariff","All","12985","2470","0.19"
"2022","Medium tariff","All","12165","2200","0.181"
"2023","Medium tariff","All","9455","2235","0.23600000000000002"
"2019","All","All","29000","6570","0.226"
"2020","All","All","29715","7735","0.26"
"2021","All","All","38685","8215","0.212"
"2022","All","All","35300","7255","0.20600000000000002"
"2023","All","All","27600","7630","0.276"
