"Year","NPD ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2120","0.004"
"2006","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","80","17810","0.004"
"2006","Black","18","England","Female","Not main scheme applicant","Not main scheme application","40","10080","0.004"
"2006","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1040","0.003"
"2006","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","10","5880","0.002"
"2006","White","18","England","Female","Not main scheme applicant","Not main scheme application","720","243840","0.003"
"2007","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2340","0.006"
"2007","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","110","17150","0.006"
"2007","Black","18","England","Female","Not main scheme applicant","Not main scheme application","60","10510","0.006"
"2007","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","1130","0.009000000000000001"
"2007","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","20","6240","0.003"
"2007","White","18","England","Female","Not main scheme applicant","Not main scheme application","770","240530","0.003"
"2008","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2320","0.006"
"2008","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","110","18020","0.006"
"2008","Black","18","England","Female","Not main scheme applicant","Not main scheme application","60","10920","0.006"
"2008","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1070","0.001"
"2008","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","6850","0.004"
"2008","White","18","England","Female","Not main scheme applicant","Not main scheme application","770","245160","0.003"
"2009","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2450","0.004"
"2009","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","70","18590","0.004"
"2009","Black","18","England","Female","Not main scheme applicant","Not main scheme application","50","11160","0.004"
"2009","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1070","0.001"
"2009","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","7490","0.003"
"2009","White","18","England","Female","Not main scheme applicant","Not main scheme application","650","248720","0.003"
"2010","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2620","0.002"
"2010","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","30","19350","0.002"
"2010","Black","18","England","Female","Not main scheme applicant","Not main scheme application","30","11500","0.002"
"2010","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1110","0"
"2010","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","20","8100","0.002"
"2010","White","18","England","Female","Not main scheme applicant","Not main scheme application","290","246260","0.001"
"2011","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","2760","0.004"
"2011","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","30","19930","0.002"
"2011","Black","18","England","Female","Not main scheme applicant","Not main scheme application","30","11960","0.003"
"2011","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1040","0.002"
"2011","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","8500","0.003"
"2011","White","18","England","Female","Not main scheme applicant","Not main scheme application","350","236310","0.001"
"2012","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","3040","0.003"
"2012","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","90","20280","0.004"
"2012","Black","18","England","Female","Not main scheme applicant","Not main scheme application","50","12230","0.004"
"2012","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","1050","0.005"
"2012","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","20","9050","0.003"
"2012","White","18","England","Female","Not main scheme applicant","Not main scheme application","590","234860","0.003"
"2013","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","10","3080","0.005"
"2013","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","130","20640","0.006"
"2013","Black","18","England","Female","Not main scheme applicant","Not main scheme application","80","12910","0.006"
"2013","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1080","0.002"
"2013","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","9440","0.003"
"2013","White","18","England","Female","Not main scheme applicant","Not main scheme application","700","228580","0.003"
"2014","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","20","3300","0.006"
"2014","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","120","21420","0.005"
"2014","Black","18","England","Female","Not main scheme applicant","Not main scheme application","60","13040","0.005"
"2014","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1150","0.001"
"2014","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","30","10060","0.002"
"2014","White","18","England","Female","Not main scheme applicant","Not main scheme application","670","223500","0.003"
"2015","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","20","3380","0.006"
"2015","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","130","22730","0.005"
"2015","Black","18","England","Female","Not main scheme applicant","Not main scheme application","80","13770","0.006"
"2015","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","10","1080","0.005"
"2015","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","50","10900","0.005"
"2015","White","18","England","Female","Not main scheme applicant","Not main scheme application","730","226450","0.003"
"2016","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","20","3520","0.005"
"2016","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","110","23140","0.005"
"2016","Black","18","England","Female","Not main scheme applicant","Not main scheme application","70","13650","0.005"
"2016","Chinese","18","England","Female","Not main scheme applicant","Not main scheme application","0","1030","0.002"
"2016","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","50","11220","0.004"
"2016","White","18","England","Female","Not main scheme applicant","Not main scheme application","750","220380","0.003"
"2017","Any Other Ethnic Group","18","England","Female","Not main scheme applicant","Not main scheme application","30","3600","0.007"
