"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","20"
"2020","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","50"
"2021","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","15"
"2022","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","15"
"2023","Direct Clearing","18","England","Female","Not main scheme applicant","Not main scheme application","35"
"2019","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","15"
"2020","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","25"
"2021","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","10"
"2022","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","10"
"2023","RPA","18","England","Female","Not main scheme applicant","Not main scheme application","20"
"2019","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","80"
"2020","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","95"
"2021","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","45"
"2022","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","80"
"2023","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","95"
"2019","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","50"
"2020","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","40"
"2021","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","45"
"2022","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","40"
"2023","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","85"
"2019","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","45"
"2020","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","65"
"2021","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","30"
"2022","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","60"
"2023","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","90"
"2019","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","35"
"2020","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","30"
"2021","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","25"
"2022","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","40"
"2023","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","55"
"2019","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","160"
"2020","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","225"
"2021","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","70"
"2022","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","125"
"2023","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","145"
"2019","RPA","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","175"
"2020","RPA","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","170"
"2021","RPA","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","100"
"2022","RPA","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","130"
"2023","RPA","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","170"
"2019","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","110"
"2020","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","230"
"2021","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","100"
"2022","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","95"
"2023","Direct Clearing","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","125"
"2019","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","145"
"2020","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","155"
"2021","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","135"
"2022","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","145"
"2023","RPA","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","135"
"2019","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","70"
"2020","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","145"
"2021","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","60"
"2022","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","70"
"2023","Direct Clearing","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","135"
"2019","RPA","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","125"
"2020","RPA","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","145"
"2021","RPA","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","100"
"2022","RPA","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","95"
"2023","RPA","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","115"
"2019","Direct Clearing","35 and over","England","Female","Not main scheme applicant","Not main scheme application","185"
"2020","Direct Clearing","35 and over","England","Female","Not main scheme applicant","Not main scheme application","315"
"2021","Direct Clearing","35 and over","England","Female","Not main scheme applicant","Not main scheme application","165"
"2022","Direct Clearing","35 and over","England","Female","Not main scheme applicant","Not main scheme application","180"
"2023","Direct Clearing","35 and over","England","Female","Not main scheme applicant","Not main scheme application","270"
"2019","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","285"
"2020","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","310"
"2021","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","255"
"2022","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","275"
"2023","RPA","35 and over","England","Female","Not main scheme applicant","Not main scheme application","350"
"2020","Direct Clearing","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2019","RPA","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","19","Scotland","Female","Not main scheme applicant","Not main scheme application","15"
"2019","RPA","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","19","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2023","RPA","19","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","Direct Clearing","20","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","20","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","20","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2019","RPA","20","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","20","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","20","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2019","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","25"
"2021","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","25"
"2023","Direct Clearing","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","30"
"2019","RPA","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","RPA","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2021","RPA","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15"
"2023","RPA","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","25"
"2019","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2020","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","15"
"2021","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20"
"2023","Direct Clearing","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20"
"2019","RPA","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","10"
"2021","RPA","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","25"
"2019","Direct Clearing","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2021","Direct Clearing","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","20"
