"Year","Provider country","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","England","17 and under","Northern Ireland","Female","5","0"," "
"2022","England","17 and under","Northern Ireland","Female","5","0"," "
"2019","Northern Ireland","17 and under","Northern Ireland","Female","5","0"," "
"2021","Northern Ireland","17 and under","Northern Ireland","Female","5","0"," "
"2022","Northern Ireland","17 and under","Northern Ireland","Female","5","0"," "
"2020","Scotland","17 and under","Northern Ireland","Female","5","0"," "
"2019","England","18","Northern Ireland","Female","770","240","0.313"
"2020","England","18","Northern Ireland","Female","770","325","0.419"
"2021","England","18","Northern Ireland","Female","1015","520","0.514"
"2022","England","18","Northern Ireland","Female","920","420","0.454"
"2023","England","18","Northern Ireland","Female","610","285","0.46900000000000003"
"2019","Northern Ireland","18","Northern Ireland","Female","1980","525","0.264"
"2020","Northern Ireland","18","Northern Ireland","Female","1965","685","0.34900000000000003"
"2021","Northern Ireland","18","Northern Ireland","Female","2355","700","0.298"
"2022","Northern Ireland","18","Northern Ireland","Female","2290","720","0.314"
"2023","Northern Ireland","18","Northern Ireland","Female","1935","695","0.36"
"2019","Scotland","18","Northern Ireland","Female","310","120","0.384"
"2020","Scotland","18","Northern Ireland","Female","330","120","0.364"
"2021","Scotland","18","Northern Ireland","Female","360","155","0.431"
"2022","Scotland","18","Northern Ireland","Female","325","125","0.391"
"2023","Scotland","18","Northern Ireland","Female","205","95","0.468"
"2019","Wales","18","Northern Ireland","Female","15","5"," "
"2020","Wales","18","Northern Ireland","Female","30","5"," "
"2021","Wales","18","Northern Ireland","Female","55","30","0.582"
"2022","Wales","18","Northern Ireland","Female","55","15","0.291"
"2023","Wales","18","Northern Ireland","Female","55","25","0.491"
"2019","England","19","Northern Ireland","Female","250","85","0.336"
"2020","England","19","Northern Ireland","Female","265","100","0.374"
"2021","England","19","Northern Ireland","Female","345","155","0.443"
"2022","England","19","Northern Ireland","Female","205","95","0.454"
"2023","England","19","Northern Ireland","Female","160","65","0.406"
"2019","Northern Ireland","19","Northern Ireland","Female","895","265","0.295"
"2020","Northern Ireland","19","Northern Ireland","Female","880","395","0.449"
"2021","Northern Ireland","19","Northern Ireland","Female","910","285","0.311"
"2022","Northern Ireland","19","Northern Ireland","Female","740","220","0.299"
"2023","Northern Ireland","19","Northern Ireland","Female","580","190","0.331"
"2019","Scotland","19","Northern Ireland","Female","125","40","0.328"
"2020","Scotland","19","Northern Ireland","Female","90","35","0.367"
"2021","Scotland","19","Northern Ireland","Female","95","40","0.4"
"2022","Scotland","19","Northern Ireland","Female","75","20","0.267"
"2023","Scotland","19","Northern Ireland","Female","35","5"," "
"2019","Wales","19","Northern Ireland","Female","5","0"," "
"2020","Wales","19","Northern Ireland","Female","5","0"," "
"2021","Wales","19","Northern Ireland","Female","15","5"," "
"2022","Wales","19","Northern Ireland","Female","10","5"," "
"2023","Wales","19","Northern Ireland","Female","5","0"," "
"2019","England","20","Northern Ireland","Female","100","30","0.32"
"2020","England","20","Northern Ireland","Female","105","45","0.419"
"2021","England","20","Northern Ireland","Female","140","50","0.364"
"2022","England","20","Northern Ireland","Female","105","40","0.4"
"2023","England","20","Northern Ireland","Female","85","45","0.518"
"2019","Northern Ireland","20","Northern Ireland","Female","495","125","0.255"
"2020","Northern Ireland","20","Northern Ireland","Female","435","160","0.372"
"2021","Northern Ireland","20","Northern Ireland","Female","385","115","0.296"
"2022","Northern Ireland","20","Northern Ireland","Female","435","160","0.37"
"2023","Northern Ireland","20","Northern Ireland","Female","340","120","0.356"
