"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","UK","England","England","17 and under","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","England","England","17 and under","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","17 and under","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","17 and under","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Scotland","Scotland","17 and under","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","UK","Scotland","Scotland","17 and under","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","International","Not EU","Nigeria","17 and under","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","18","Female","Not main scheme applicant","Not main scheme application","45","40","0.8300000000000001","0"
"2020","UK","England","England","18","Female","Not main scheme applicant","Not main scheme application","85","75","0.905","0"
"2021","UK","England","England","18","Female","Not main scheme applicant","Not main scheme application","35","25","0.794","0"
"2022","UK","England","England","18","Female","Not main scheme applicant","Not main scheme application","35","25","0.722","0"
"2023","UK","England","England","18","Female","Not main scheme applicant","Not main scheme application","65","55","0.833","0"
"2019","UK","Scotland","Scotland","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Scotland","Scotland","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Scotland","Scotland","18","Female","Not main scheme applicant","Not main scheme application","15","10","0.625","0"
"2019","UK","Wales","Wales","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Wales","Wales","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Wales","Wales","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","International","EU (excluding UK)","Ireland","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","International","EU (excluding UK)","Ireland","18","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","International","Not EU","India","18","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","International","Not EU","India","18","Female","Not main scheme applicant","Not main scheme application","15","10","0.846","0"
"2023","International","Not EU","Nigeria","18","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","140","130","0.914","0"
"2020","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","155","135","0.876","0"
"2021","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","100","90","0.881","0"
"2022","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","155","120","0.781","0"
"2023","UK","England","England","19","Female","Not main scheme applicant","Not main scheme application","205","180","0.87","0"
"2020","UK","Northern Ireland","Northern Ireland","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Northern Ireland","Northern Ireland","19","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Northern Ireland","Northern Ireland","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","19","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","UK","Scotland","Scotland","19","Female","Not main scheme applicant","Not main scheme application","20","15","0.722","0"
"2023","UK","Scotland","Scotland","19","Female","Not main scheme applicant","Not main scheme application","30","25","0.871","0"
"2019","UK","Wales","Wales","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Wales","Wales","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Wales","Wales","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Wales","Wales","19","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","UK","Wales","Wales","19","Female","Not main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2020","International","EU (excluding UK)","Ireland","19","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","International","EU (excluding UK)","Ireland","19","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","International","EU (excluding UK)","Ireland","19","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","International","Not EU","Jersey","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","International","Not EU","India","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","International","Not EU","India","19","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","International","Not EU","Nigeria","19","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","20","Female","Not main scheme applicant","Not main scheme application","95","75","0.8280000000000001","0"
