"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","UK","England","England","17 and under","Female","35","15","0.4"
"2020","UK","England","England","17 and under","Female","30","10","0.4"
"2021","UK","England","England","17 and under","Female","55","10"," "
"2022","UK","England","England","17 and under","Female","65","15","0.215"
"2023","UK","England","England","17 and under","Female","85","15","0.176"
"2019","UK","Northern Ireland","Northern Ireland","17 and under","Female","15","5"," "
"2020","UK","Northern Ireland","Northern Ireland","17 and under","Female","5","0"," "
"2021","UK","Northern Ireland","Northern Ireland","17 and under","Female","5","0"," "
"2022","UK","Northern Ireland","Northern Ireland","17 and under","Female","10","5"," "
"2019","UK","Scotland","Scotland","17 and under","Female","140","60","0.41400000000000003"
"2020","UK","Scotland","Scotland","17 and under","Female","155","60","0.381"
"2021","UK","Scotland","Scotland","17 and under","Female","210","60","0.276"
"2022","UK","Scotland","Scotland","17 and under","Female","225","105","0.458"
"2023","UK","Scotland","Scotland","17 and under","Female","155","80","0.523"
"2023","UK","Wales","Wales","17 and under","Female","5","0"," "
"2022","International","EU (excluding UK)","Belgium","17 and under","Female","5","0"," "
"2019","International","EU (excluding UK)","France","17 and under","Female","5","5"," "
"2020","International","EU (excluding UK)","France","17 and under","Female","5","0"," "
"2022","International","EU (excluding UK)","France","17 and under","Female","5","0"," "
"2023","International","EU (excluding UK)","France","17 and under","Female","5","5"," "
"2021","International","EU (excluding UK)","Greece","17 and under","Female","5","0"," "
"2022","International","EU (excluding UK)","Greece","17 and under","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","17 and under","Female","165","35","0.212"
"2020","International","EU (excluding UK)","Ireland","17 and under","Female","140","40","0.3"
"2021","International","EU (excluding UK)","Ireland","17 and under","Female","150","25","0.17300000000000001"
"2022","International","EU (excluding UK)","Ireland","17 and under","Female","145","30","0.193"
"2023","International","EU (excluding UK)","Ireland","17 and under","Female","125","45","0.36"
"2019","International","EU (excluding UK)","Romania","17 and under","Female","5","0"," "
"2019","International","EU (excluding UK)","Spain","17 and under","Female","15","5"," "
"2020","International","EU (excluding UK)","Spain","17 and under","Female","10","5"," "
"2021","International","EU (excluding UK)","Spain","17 and under","Female","10","5"," "
"2022","International","EU (excluding UK)","Spain","17 and under","Female","10","5"," "
"2019","International","EU (excluding UK)","Canary Islands","17 and under","Female","5","0"," "
"2019","International","Not EU","Bahamas","17 and under","Female","5","0"," "
"2022","International","Not EU","Bahrain","17 and under","Female","5","0"," "
"2020","International","Not EU","Bermuda","17 and under","Female","5","5"," "
"2021","International","Not EU","Bermuda","17 and under","Female","5","0"," "
