"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","White","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","18","England","Female","Not main scheme applicant","Not main scheme application","40","35","0.868"
"2020","White","18","England","Female","Not main scheme applicant","Not main scheme application","60","60","0.935"
"2021","White","18","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.917"
"2022","White","18","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.895"
"2023","White","18","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.778"
"2019","White","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","18","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","18","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.667"
"2019","White","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Black","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Black","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Black","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Black","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Asian","18","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.889"
"2023","Mixed","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Unknown or Prefer Not To Say","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","White","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","19","England","Female","Not main scheme applicant","Not main scheme application","80","75","0.9500000000000001"
"2020","White","19","England","Female","Not main scheme applicant","Not main scheme application","90","85","0.9430000000000001"
"2021","White","19","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.909"
"2022","White","19","England","Female","Not main scheme applicant","Not main scheme application","85","65","0.786"
"2023","White","19","England","Female","Not main scheme applicant","Not main scheme application","105","95","0.914"
"2019","White","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","19","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","White","19","Scotland","Female","Not main scheme applicant","Not main scheme application","25","20","0.833"
"2019","White","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","White","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","19","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","White","19","Wales","Female","Not main scheme applicant","Not main scheme application","15","10","0.786"
"2019","Black","19","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.88"
"2020","Black","19","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.727"
"2021","Black","19","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.789"
"2022","Black","19","England","Female","Not main scheme applicant","Not main scheme application","40","30","0.763"
"2023","Black","19","England","Female","Not main scheme applicant","Not main scheme application","50","40","0.8200000000000001"
"2019","Asian","19","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.833"
"2020","Asian","19","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.8150000000000001"
"2021","Asian","19","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.786"
"2022","Asian","19","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.722"
"2023","Asian","19","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.8280000000000001"
"2020","Mixed","19","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Mixed","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Mixed","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Mixed","19","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2020","Other","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Other","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Other","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Unknown or Prefer Not To Say","19","England","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2020","Unknown or Prefer Not To Say","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Unknown or Prefer Not To Say","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Unknown or Prefer Not To Say","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Unknown or Prefer Not To Say","19","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2022","Unknown or Prefer Not To Say","19","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Unknown or Prefer Not To Say","19","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","20","England","Female","Not main scheme applicant","Not main scheme application","55","45","0.868"
"2020","White","20","England","Female","Not main scheme applicant","Not main scheme application","70","65","0.913"
"2021","White","20","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.8180000000000001"
"2022","White","20","England","Female","Not main scheme applicant","Not main scheme application","55","50","0.857"
"2023","White","20","England","Female","Not main scheme applicant","Not main scheme application","80","60","0.775"
"2020","White","20","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","White","20","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2023","White","20","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.81"
"2019","White","20","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","20","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","20","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Black","20","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.706"
"2020","Black","20","England","Female","Not main scheme applicant","Not main scheme application","25","15","0.609"
"2021","Black","20","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.706"
"2022","Black","20","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.649"
"2023","Black","20","England","Female","Not main scheme applicant","Not main scheme application","50","40","0.776"
"2019","Asian","20","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2020","Asian","20","England","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2021","Asian","20","England","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2022","Asian","20","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.84"
"2023","Asian","20","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.857"
"2019","Mixed","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Mixed","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Mixed","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Mixed","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
