"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","Female","19","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","19","Northern Ireland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","19","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","20","Northern Ireland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","20","Northern Ireland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Northern Ireland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","21 - 24","Northern Ireland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","17 and under","England","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","17 and under","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","18","England","Not main scheme applicant","Not main scheme application","45","40","0.8300000000000001","0"
"2020","Female","18","England","Not main scheme applicant","Not main scheme application","85","75","0.905","0"
"2021","Female","18","England","Not main scheme applicant","Not main scheme application","35","25","0.794","0"
"2022","Female","18","England","Not main scheme applicant","Not main scheme application","35","25","0.722","0"
"2023","Female","18","England","Not main scheme applicant","Not main scheme application","65","55","0.833","0"
"2019","Male","18","England","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Male","18","England","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Male","18","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","18","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","18","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Female","19","England","Not main scheme applicant","Not main scheme application","140","130","0.914","0"
"2020","Female","19","England","Not main scheme applicant","Not main scheme application","155","135","0.876","0"
"2021","Female","19","England","Not main scheme applicant","Not main scheme application","100","90","0.881","0"
"2022","Female","19","England","Not main scheme applicant","Not main scheme application","155","120","0.781","0"
"2023","Female","19","England","Not main scheme applicant","Not main scheme application","205","180","0.87","0"
"2019","Male","19","England","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","19","England","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2021","Male","19","England","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Male","19","England","Not main scheme applicant","Not main scheme application","15","10","0.75","0"
"2023","Male","19","England","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2019","Female","20","England","Not main scheme applicant","Not main scheme application","95","75","0.8280000000000001","0"
"2020","Female","20","England","Not main scheme applicant","Not main scheme application","115","95","0.8210000000000001","0"
"2021","Female","20","England","Not main scheme applicant","Not main scheme application","80","60","0.744","0"
"2022","Female","20","England","Not main scheme applicant","Not main scheme application","125","100","0.802","0"
"2023","Female","20","England","Not main scheme applicant","Not main scheme application","185","145","0.798","0"
"2019","Male","20","England","Not main scheme applicant","Not main scheme application","15","10","0.846","0"
"2020","Male","20","England","Not main scheme applicant","Not main scheme application","15","10","0.769","0"
"2021","Male","20","England","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Male","20","England","Not main scheme applicant","Not main scheme application","15","10","0.769","0"
"2023","Male","20","England","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2019","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","370","335","0.903","0"
"2020","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","465","395","0.848","0"
"2021","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","210","170","0.8150000000000001","0"
"2022","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","330","260","0.777","0"
"2023","Female","21 - 24","England","Not main scheme applicant","Not main scheme application","390","315","0.803","0"
