"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","Female","17 and under","Northern Ireland","15","5"," "
"2020","Female","17 and under","Northern Ireland","5","0"," "
"2021","Female","17 and under","Northern Ireland","5","0"," "
"2022","Female","17 and under","Northern Ireland","10","5"," "
"2019","Female","18","Northern Ireland","3075","890","0.289"
"2020","Female","18","Northern Ireland","3095","1135","0.367"
"2021","Female","18","Northern Ireland","3780","1410","0.373"
"2022","Female","18","Northern Ireland","3590","1280","0.357"
"2023","Female","18","Northern Ireland","2805","1105","0.394"
"2019","Male","18","Northern Ireland","175","45","0.257"
"2020","Male","18","Northern Ireland","150","30","0.213"
"2021","Male","18","Northern Ireland","240","75","0.304"
"2022","Male","18","Northern Ireland","190","60","0.321"
"2023","Male","18","Northern Ireland","155","60","0.387"
"2019","Female","19","Northern Ireland","1275","390","0.307"
"2020","Female","19","Northern Ireland","1240","525","0.425"
"2021","Female","19","Northern Ireland","1365","480","0.352"
"2022","Female","19","Northern Ireland","1030","340","0.328"
"2023","Female","19","Northern Ireland","780","265","0.338"
"2019","Male","19","Northern Ireland","90","30","0.34400000000000003"
"2020","Male","19","Northern Ireland","100","55","0.53"
"2021","Male","19","Northern Ireland","90","20","0.244"
"2022","Male","19","Northern Ireland","65","20","0.338"
"2023","Male","19","Northern Ireland","40","10","0.275"
"2019","Female","20","Northern Ireland","650","175","0.266"
"2020","Female","20","Northern Ireland","620","235","0.382"
"2021","Female","20","Northern Ireland","565","180","0.317"
"2022","Female","20","Northern Ireland","575","215","0.377"
"2023","Female","20","Northern Ireland","455","175","0.389"
"2019","Male","20","Northern Ireland","45","5"," "
"2020","Male","20","Northern Ireland","60","20","0.35000000000000003"
"2021","Male","20","Northern Ireland","60","15","0.233"
"2022","Male","20","Northern Ireland","65","10","0.185"
"2023","Male","20","Northern Ireland","55","15","0.255"
"2019","Female","21 - 24","Northern Ireland","1075","325","0.3"
"2020","Female","21 - 24","Northern Ireland","920","375","0.405"
"2021","Female","21 - 24","Northern Ireland","1220","370","0.302"
"2022","Female","21 - 24","Northern Ireland","855","305","0.354"
"2023","Female","21 - 24","Northern Ireland","670","275","0.41000000000000003"
"2019","Male","21 - 24","Northern Ireland","115","35","0.304"
"2020","Male","21 - 24","Northern Ireland","110","35","0.336"
"2021","Male","21 - 24","Northern Ireland","135","35","0.259"
"2022","Male","21 - 24","Northern Ireland","110","35","0.327"
"2023","Male","21 - 24","Northern Ireland","115","40","0.339"
"2019","Female","25 - 29","Northern Ireland","545","180","0.328"
"2020","Female","25 - 29","Northern Ireland","485","200","0.40800000000000003"
"2021","Female","25 - 29","Northern Ireland","650","185","0.28200000000000003"
"2022","Female","25 - 29","Northern Ireland","425","140","0.334"
"2023","Female","25 - 29","Northern Ireland","355","145","0.403"
"2019","Male","25 - 29","Northern Ireland","80","20","0.25"
"2020","Male","25 - 29","Northern Ireland","45","15","0.378"
"2021","Male","25 - 29","Northern Ireland","60","20","0.3"
"2022","Male","25 - 29","Northern Ireland","40","5"," "
"2023","Male","25 - 29","Northern Ireland","55","25","0.47300000000000003"
"2019","Female","30 - 34","Northern Ireland","365","120","0.332"
"2020","Female","30 - 34","Northern Ireland","305","125","0.403"
"2021","Female","30 - 34","Northern Ireland","370","125","0.338"
"2022","Female","30 - 34","Northern Ireland","350","125","0.35100000000000003"
"2023","Female","30 - 34","Northern Ireland","250","80","0.328"
"2019","Male","30 - 34","Northern Ireland","50","20","0.42"
"2020","Male","30 - 34","Northern Ireland","30","15","0.5"
"2021","Male","30 - 34","Northern Ireland","60","25","0.417"
"2022","Male","30 - 34","Northern Ireland","55","15","0.273"
"2023","Male","30 - 34","Northern Ireland","35","10","0.314"
"2019","Female","35 and over","Northern Ireland","410","135","0.327"
"2020","Female","35 and over","Northern Ireland","325","155","0.47400000000000003"
"2021","Female","35 and over","Northern Ireland","415","115","0.28200000000000003"
"2022","Female","35 and over","Northern Ireland","430","160","0.372"
"2023","Female","35 and over","Northern Ireland","315","130","0.406"
"2019","Male","35 and over","Northern Ireland","50","15","0.34"
"2020","Male","35 and over","Northern Ireland","45","15","0.311"
"2021","Male","35 and over","Northern Ireland","50","5"," "
"2022","Male","35 and over","Northern Ireland","75","20","0.293"
"2023","Male","35 and over","Northern Ireland","40","10","0.25"
"2019","Female","17 and under","England","35","15","0.4"
"2020","Female","17 and under","England","30","10","0.4"
"2021","Female","17 and under","England","55","10"," "
"2022","Female","17 and under","England","65","15","0.215"
"2023","Female","17 and under","England","85","15","0.176"
"2019","Male","17 and under","England","5","0"," "
"2020","Male","17 and under","England","5","0"," "
"2022","Male","17 and under","England","20","5"," "
"2023","Male","17 and under","England","20","5"," "
"2019","Female","18","England","24575","11830","0.481"
"2020","Female","18","England","26720","13745","0.514"
"2021","Female","18","England","34475","17650","0.512"
"2022","Female","18","England","34980","16275","0.465"
"2023","Female","18","England","27870","14560","0.522"
"2019","Male","18","England","990","500","0.503"
"2020","Male","18","England","955","485","0.51"
"2021","Male","18","England","1460","730","0.499"
"2022","Male","18","England","1925","940","0.488"
"2023","Male","18","England","1530","765","0.501"
"2019","Female","19","England","11225","4630","0.41200000000000003"
"2020","Female","19","England","10810","4805","0.445"
"2021","Female","19","England","12805","5505","0.43"
"2022","Female","19","England","12800","4775","0.373"
"2023","Female","19","England","10390","4365","0.42"
"2019","Male","19","England","695","290","0.41400000000000003"
"2020","Male","19","England","695","315","0.45"
"2021","Male","19","England","775","340","0.441"
"2022","Male","19","England","880","325","0.37"
"2023","Male","19","England","780","315","0.404"
"2019","Female","20","England","5920","2355","0.398"
"2020","Female","20","England","6490","2815","0.434"
"2021","Female","20","England","7155","2975","0.41600000000000004"
"2022","Female","20","England","6630","2410","0.364"
"2023","Female","20","England","6200","2415","0.39"
"2019","Male","20","England","525","220","0.421"
"2020","Male","20","England","515","190","0.365"
"2021","Male","20","England","650","240","0.369"
"2022","Male","20","England","685","220","0.323"
"2023","Male","20","England","655","265","0.406"
"2019","Female","21 - 24","England","11865","4610","0.388"
"2020","Female","21 - 24","England","13185","5765","0.437"
"2021","Female","21 - 24","England","15675","6745","0.43"
"2022","Female","21 - 24","England","13270","5050","0.38"
"2023","Female","21 - 24","England","10245","3970","0.388"
"2019","Male","21 - 24","England","1455","535","0.366"
"2020","Male","21 - 24","England","1315","510","0.389"
"2021","Male","21 - 24","England","1780","695","0.391"
"2022","Male","21 - 24","England","1765","575","0.326"
"2023","Male","21 - 24","England","1510","525","0.34800000000000003"
"2019","Female","25 - 29","England","9065","3630","0.401"
"2020","Female","25 - 29","England","10525","4765","0.453"
"2021","Female","25 - 29","England","13850","6090","0.44"
"2022","Female","25 - 29","England","10190","4240","0.41600000000000004"
"2023","Female","25 - 29","England","7660","3110","0.406"
"2019","Male","25 - 29","England","1215","435","0.36"
"2020","Male","25 - 29","England","1550","655","0.424"
"2021","Male","25 - 29","England","1760","695","0.395"
"2022","Male","25 - 29","England","1750","555","0.318"
"2023","Male","25 - 29","England","1325","445","0.335"
"2019","Female","30 - 34","England","6350","2605","0.41100000000000003"
"2020","Female","30 - 34","England","8215","3660","0.446"
"2021","Female","30 - 34","England","10435","4545","0.436"
"2022","Female","30 - 34","England","9235","3825","0.41400000000000003"
"2023","Female","30 - 34","England","6745","2685","0.398"
"2019","Male","30 - 34","England","990","345","0.34600000000000003"
"2020","Male","30 - 34","England","1325","465","0.352"
"2021","Male","30 - 34","England","1645","560","0.341"
"2022","Male","30 - 34","England","1465","445","0.302"
"2023","Male","30 - 34","England","1395","430","0.307"
"2019","Female","35 and over","England","15035","5225","0.34700000000000003"
"2020","Female","35 and over","England","21150","8360","0.395"
"2021","Female","35 and over","England","24950","9145","0.367"
"2022","Female","35 and over","England","23685","8055","0.34"
"2023","Female","35 and over","England","21290","7580","0.356"
"2019","Male","35 and over","England","4610","1370","0.298"
"2020","Male","35 and over","England","6840","2200","0.322"
"2021","Male","35 and over","England","7770","2025","0.261"
"2022","Male","35 and over","England","8125","2045","0.252"
"2023","Male","35 and over","England","7755","2140","0.276"
"2019","Female","17 and under","Scotland","140","60","0.41400000000000003"
"2020","Female","17 and under","Scotland","155","60","0.381"
"2021","Female","17 and under","Scotland","210","60","0.276"
"2022","Female","17 and under","Scotland","225","105","0.458"
"2023","Female","17 and under","Scotland","155","80","0.523"
"2019","Male","17 and under","Scotland","5","0"," "
"2020","Male","17 and under","Scotland","10","0"," "
"2021","Male","17 and under","Scotland","15","5"," "
"2023","Male","17 and under","Scotland","5","0"," "
"2019","Female","18","Scotland","3960","1785","0.45"
"2020","Female","18","Scotland","3690","1660","0.45"
"2021","Female","18","Scotland","4485","1890","0.421"
"2022","Female","18","Scotland","4325","1865","0.431"
"2023","Female","18","Scotland","3145","1740","0.553"
"2019","Male","18","Scotland","220","100","0.464"
"2020","Male","18","Scotland","190","85","0.447"
"2021","Male","18","Scotland","245","95","0.396"
"2022","Male","18","Scotland","195","90","0.451"
"2023","Male","18","Scotland","185","120","0.654"
"2019","Female","19","Scotland","1715","735","0.43"
"2020","Female","19","Scotland","1750","730","0.418"
"2021","Female","19","Scotland","1835","730","0.397"
"2022","Female","19","Scotland","1590","615","0.387"
"2023","Female","19","Scotland","1455","720","0.496"
"2019","Male","19","Scotland","105","50","0.457"
"2020","Male","19","Scotland","100","40","0.41000000000000003"
"2021","Male","19","Scotland","125","55","0.44"
"2022","Male","19","Scotland","95","40","0.4"
"2023","Male","19","Scotland","105","60","0.562"
"2019","Female","20","Scotland","970","330","0.339"
"2020","Female","20","Scotland","990","370","0.374"
"2021","Female","20","Scotland","1105","430","0.39"
"2022","Female","20","Scotland","970","385","0.399"
"2023","Female","20","Scotland","740","315","0.427"
"2019","Male","20","Scotland","90","30","0.333"
"2020","Male","20","Scotland","100","45","0.45"
"2021","Male","20","Scotland","85","30","0.376"
"2022","Male","20","Scotland","100","45","0.45"
"2023","Male","20","Scotland","40","20","0.525"
"2019","Female","21 - 24","Scotland","2365","865","0.365"
"2020","Female","21 - 24","Scotland","2595","970","0.373"
"2021","Female","21 - 24","Scotland","2910","1030","0.355"
"2022","Female","21 - 24","Scotland","2590","990","0.381"
"2023","Female","21 - 24","Scotland","2095","950","0.454"
"2019","Male","21 - 24","Scotland","255","95","0.365"
"2020","Male","21 - 24","Scotland","290","115","0.393"
"2021","Male","21 - 24","Scotland","320","105","0.334"
"2022","Male","21 - 24","Scotland","255","95","0.38"
"2023","Male","21 - 24","Scotland","225","100","0.449"
"2019","Female","25 - 29","Scotland","1895","765","0.403"
"2020","Female","25 - 29","Scotland","2365","955","0.404"
"2021","Female","25 - 29","Scotland","2915","1110","0.381"
"2022","Female","25 - 29","Scotland","2300","970","0.422"
"2023","Female","25 - 29","Scotland","1685","795","0.47200000000000003"
"2019","Male","25 - 29","Scotland","265","105","0.389"
"2020","Male","25 - 29","Scotland","330","105","0.315"
"2021","Male","25 - 29","Scotland","390","145","0.372"
"2022","Male","25 - 29","Scotland","335","130","0.388"
"2023","Male","25 - 29","Scotland","185","75","0.405"
"2019","Female","30 - 34","Scotland","1310","525","0.4"
"2020","Female","30 - 34","Scotland","1455","575","0.395"
"2021","Female","30 - 34","Scotland","2000","770","0.385"
"2022","Female","30 - 34","Scotland","1815","735","0.406"
"2023","Female","30 - 34","Scotland","1200","615","0.512"
"2019","Male","30 - 34","Scotland","185","60","0.324"
"2020","Male","30 - 34","Scotland","245","80","0.331"
"2021","Male","30 - 34","Scotland","230","80","0.343"
"2022","Male","30 - 34","Scotland","240","75","0.313"
"2023","Male","30 - 34","Scotland","205","85","0.41000000000000003"
"2019","Female","35 and over","Scotland","2110","795","0.378"
