"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2020","Quintile 1","17 and under","Scotland","Female","5","0","0"
"2022","Quintile 1","17 and under","Scotland","Female","5","0","0"
"2020","Quintile 2","17 and under","England","Female","5","0","0"
"2021","Quintile 2","17 and under","England","Female","5","0","0"
"2023","Quintile 2","17 and under","England","Female","5","0","0"
"2021","Quintile 2","17 and under","Scotland","Female","5","0","0"
"2022","Quintile 2","17 and under","Scotland","Female","5","0","0"
"2023","Quintile 2","17 and under","Scotland","Female","10","5","5"
"2021","Quintile 3","17 and under","England","Female","5","0","0"
"2023","Quintile 3","17 and under","England","Female","5","0","0"
"2020","Quintile 3","17 and under","Scotland","Female","5","0","0"
"2021","Quintile 3","17 and under","Scotland","Female","5","5","5"
"2022","Quintile 3","17 and under","Scotland","Female","5","0","0"
"2023","Quintile 3","17 and under","Scotland","Female","5","0","0"
"2020","Quintile 4","17 and under","England","Female","10","5","5"
"2020","Quintile 4","17 and under","Scotland","Female","10","5","5"
"2023","Quintile 4","17 and under","Scotland","Female","5","0","0"
"2020","Quintile 5","17 and under","England","Female","10","5","5"
"2021","Quintile 5","17 and under","England","Female","5","0","0"
"2022","Quintile 5","17 and under","England","Female","5","0","0"
"2023","Quintile 5","17 and under","England","Female","5","0","0"
"2020","Quintile 5","17 and under","Scotland","Female","5","0","0"
"2021","Quintile 5","17 and under","Scotland","Female","5","0","0"
"2023","Quintile 5","17 and under","Scotland","Female","5","0","0"
"2021","Unknown","18","England","Female","5","5","0"
"2023","Unknown","18","England","Female","5","5","0"
"2020","Quintile 1","18","Northern Ireland","Female","10","5","0"
"2021","Quintile 1","18","Northern Ireland","Female","20","15","10"
"2022","Quintile 1","18","Northern Ireland","Female","15","10","5"
"2023","Quintile 1","18","Northern Ireland","Female","20","5","5"
"2020","Quintile 1","18","England","Female","475","245","180"
"2021","Quintile 1","18","England","Female","415","225","175"
"2022","Quintile 1","18","England","Female","270","135","95"
"2023","Quintile 1","18","England","Female","640","290","215"
"2020","Quintile 1","18","Scotland","Female","20","10","5"
"2021","Quintile 1","18","Scotland","Female","15","5","5"
"2022","Quintile 1","18","Scotland","Female","15","5","0"
"2023","Quintile 1","18","Scotland","Female","40","10","10"
"2020","Quintile 1","18","Wales","Female","30","15","10"
"2021","Quintile 1","18","Wales","Female","15","5","5"
