"Year","POLAR4 Quintile","Age group","Domicile","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2020","Quintile 1","17 and under","England","Female","5","5","5"
"2022","Quintile 1","17 and under","England","Female","5","0","0"
"2022","Quintile 2","17 and under","England","Female","5","5","5"
"2023","Quintile 2","17 and under","England","Female","5","0","0"
"2023","Quintile 2","17 and under","Scotland","Female","5","5","5"
"2019","Quintile 3","17 and under","England","Female","5","0","0"
"2020","Quintile 3","17 and under","England","Female","5","5","5"
"2021","Quintile 3","17 and under","England","Female","5","5","5"
"2022","Quintile 3","17 and under","England","Female","5","0","0"
"2023","Quintile 3","17 and under","England","Female","5","0","0"
"2019","Quintile 3","17 and under","Scotland","Female","5","0","0"
"2020","Quintile 3","17 and under","Scotland","Female","5","0","0"
"2022","Quintile 3","17 and under","Scotland","Female","15","0","0"
"2023","Quintile 3","17 and under","Scotland","Female","10","5","5"
"2019","Quintile 4","17 and under","England","Female","5","5","5"
"2020","Quintile 4","17 and under","England","Female","10","10","10"
"2021","Quintile 4","17 and under","England","Female","5","0","0"
"2022","Quintile 4","17 and under","England","Female","5","5","5"
"2023","Quintile 4","17 and under","England","Female","5","5","5"
"2019","Quintile 4","17 and under","Scotland","Female","5","0","0"
"2020","Quintile 4","17 and under","Scotland","Female","5","0","0"
"2021","Quintile 4","17 and under","Scotland","Female","5","0","0"
"2022","Quintile 4","17 and under","Scotland","Female","10","5","5"
"2023","Quintile 4","17 and under","Scotland","Female","5","0","0"
"2019","Quintile 5","17 and under","England","Female","10","5","5"
"2020","Quintile 5","17 and under","England","Female","15","10","10"
"2021","Quintile 5","17 and under","England","Female","10","0","0"
"2022","Quintile 5","17 and under","England","Female","15","5","5"
"2023","Quintile 5","17 and under","England","Female","10","5","5"
"2020","Quintile 5","17 and under","Scotland","Female","10","5","5"
"2021","Quintile 5","17 and under","Scotland","Female","5","0","0"
"2022","Quintile 5","17 and under","Scotland","Female","10","0","0"
"2023","Quintile 5","17 and under","Scotland","Female","10","5","5"
"2019","Unknown","18","England","Female","10","10","10"
"2020","Unknown","18","England","Female","10","5","5"
"2021","Unknown","18","England","Female","5","5","5"
"2022","Unknown","18","England","Female","5","0","0"
