"Year","POLAR4 Quintile","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2013","Unknown","18","England","Female","0","5","0","5","0","5","0","10"
"2014","Unknown","18","England","Female","0","5","5","10","0","5","5","15"
"2015","Unknown","18","England","Female","5","10","5","20","5","10","5","25"
"2015","Unknown","18","Wales","Female","0","0","0","5","5","0","0","5"
"2016","Unknown","18","England","Female","5","15","10","25","5","20","10","35"
"2016","Unknown","18","Wales","Female","0","0","0","5","0","0","0","5"
"2017","Unknown","18","England","Female","20","10","5","35","20","15","10","40"
"2018","Unknown","18","England","Female","25","15","10","40","30","15","10","55"
"2019","Unknown","18","England","Female","25","20","5","45","25","25","5","60"
"2019","Unknown","18","Northern Ireland","Female","0","0","0","0","0","0","0","5"
"2019","Unknown","18","Wales","Female","0","5","0","5","0","5","0","5"
"2020","Unknown","18","England","Female","15","25","25","50","15","30","25","70"
"2020","Unknown","18","Wales","Female","0","0","0","0","0","0","0","5"
"2021","Unknown","18","England","Female","0","15","5","20","0","20","5","25"
"2022","Unknown","18","England","Female","0","10","5","15","0","15","5","20"
"2023","Unknown","18","England","Female","0","5","0","5","0","5","0","5"
"2013","Quintile 1","18","England","Female","0","120","45","165","0","135","45","180"
"2013","Quintile 1","18","Wales","Female","0","5","5","10","0","5","5","10"
"2014","Quintile 1","18","England","Female","340","415","160","895","360","445","170","970"
"2014","Quintile 1","18","Northern Ireland","Female","0","5","5","10","0","5","5","10"
"2014","Quintile 1","18","Wales","Female","15","10","15","40","15","15","20","50"
"2015","Quintile 1","18","England","Female","820","685","800","2135","905","745","810","2460"
"2015","Quintile 1","18","Northern Ireland","Female","5","10","5","20","5","10","5","20"
"2015","Quintile 1","18","Wales","Female","20","30","35","85","20","30","35","90"
"2016","Quintile 1","18","England","Female","1270","1515","825","3255","1435","1675","840","3950"
"2016","Quintile 1","18","Northern Ireland","Female","5","15","10","30","5","15","10","30"
"2016","Quintile 1","18","Wales","Female","25","80","30","120","30","85","35","150"
"2017","Quintile 1","18","England","Female","2310","1830","1180","4740","2790","2050","1225","6065"
"2017","Quintile 1","18","Northern Ireland","Female","25","15","20","55","25","15","25","65"
"2017","Quintile 1","18","Wales","Female","55","100","55","195","60","115","60","235"
"2018","Quintile 1","18","England","Female","3190","2330","1695","6115","4050","2705","1710","8465"
"2018","Quintile 1","18","Northern Ireland","Female","40","35","15","80","45","35","15","95"
"2018","Quintile 1","18","Wales","Female","100","115","75","255","110","130","75","320"
"2019","Quintile 1","18","England","Female","4140","2600","1570","6905","5500","3100","1630","10235"
"2019","Quintile 1","18","Northern Ireland","Female","35","30","20","65","40","30","20","90"
"2019","Quintile 1","18","Wales","Female","135","230","50","370","160","305","50","515"
"2020","Quintile 1","18","England","Female","2315","4555","3455","8300","2665","6020","4265","12950"
"2020","Quintile 1","18","Northern Ireland","Female","15","35","150","185","15","45","205","265"
"2020","Quintile 1","18","Wales","Female","40","295","290","520","45","375","370","790"
"2021","Quintile 1","18","England","Female","0","2220","480","2600","0","2630","500","3130"
"2021","Quintile 1","18","Northern Ireland","Female","0","20","0","20","0","20","0","20"
"2021","Quintile 1","18","Wales","Female","0","280","55","315","0","360","60","420"
"2022","Quintile 1","18","England","Female","615","3335","710","4325","665","4110","755","5530"
"2022","Quintile 1","18","Northern Ireland","Female","5","25","5","30","5","25","10","40"
"2022","Quintile 1","18","Wales","Female","5","115","65","180","5","135","70","215"
"2023","Quintile 1","18","England","Female","0","2355","635","2850","0","2770","670","3440"
"2023","Quintile 1","18","Northern Ireland","Female","0","15","5","20","0","20","5","30"
"2023","Quintile 1","18","Wales","Female","0","55","30","80","0","60","35","95"
"2013","Quintile 2","18","England","Female","0","145","75","215","0","170","80","250"
"2013","Quintile 2","18","Northern Ireland","Female","0","0","0","0","0","0","5","5"
"2013","Quintile 2","18","Wales","Female","0","15","10","25","0","15","10","25"
"2014","Quintile 2","18","England","Female","525","570","320","1360","565","610","330","1505"
"2014","Quintile 2","18","Northern Ireland","Female","0","10","0","10","0","10","0","10"
"2014","Quintile 2","18","Wales","Female","10","25","40","75","10","30","50","90"
"2015","Quintile 2","18","England","Female","1135","915","1035","2885","1240","1005","1050","3290"
"2015","Quintile 2","18","Northern Ireland","Female","10","10","10","25","10","15","10","30"
"2015","Quintile 2","18","Wales","Female","30","55","50","130","30","55","60","145"
"2016","Quintile 2","18","England","Female","2030","2060","1100","4695","2285","2245","1110","5640"
"2016","Quintile 2","18","Northern Ireland","Female","15","20","10","40","15","20","10","45"
"2016","Quintile 2","18","Wales","Female","50","155","60","245","50","185","65","300"
"2017","Quintile 2","18","England","Female","3215","2435","1550","6390","3805","2740","1615","8165"
"2017","Quintile 2","18","Northern Ireland","Female","30","20","25","65","30","20","25","75"
"2017","Quintile 2","18","Wales","Female","105","150","115","330","110","170","120","400"
"2018","Quintile 2","18","England","Female","4520","3120","2125","8340","5750","3570","2155","11475"
"2018","Quintile 2","18","Northern Ireland","Female","30","30","25","80","35","40","30","100"
"2018","Quintile 2","18","Wales","Female","195","210","110","450","220","250","115","585"
"2019","Quintile 2","18","England","Female","5575","3145","1930","8870","7315","3720","1985","13020"
"2019","Quintile 2","18","Northern Ireland","Female","30","20","25","70","40","25","25","90"
"2019","Quintile 2","18","Wales","Female","240","315","90","565","285","380","95","755"
"2020","Quintile 2","18","England","Female","2580","5575","4100","10020","2940","7340","4925","15205"
"2020","Quintile 2","18","Northern Ireland","Female","5","45","145","180","10","55","185","250"
"2020","Quintile 2","18","Wales","Female","50","355","410","690","55","470","520","1045"
"2021","Quintile 2","18","England","Female","0","2810","585","3240","0","3360","615","3970"
"2021","Quintile 2","18","Northern Ireland","Female","0","25","5","25","0","25","5","30"
"2021","Quintile 2","18","Wales","Female","0","355","60","395","0","460","65","525"
"2022","Quintile 2","18","England","Female","550","4160","900","5255","585","5130","940","6655"
"2022","Quintile 2","18","Northern Ireland","Female","5","20","5","30","5","25","5","35"
"2022","Quintile 2","18","Wales","Female","10","165","70","240","10","210","75","295"
"2023","Quintile 2","18","England","Female","0","2855","730","3430","0","3340","775","4120"
"2023","Quintile 2","18","Northern Ireland","Female","0","10","0","10","0","15","0","15"
"2023","Quintile 2","18","Wales","Female","0","75","45","115","0","90","55","140"
"2013","Quintile 3","18","England","Female","0","160","85","240","0","190","85","275"
"2013","Quintile 3","18","Wales","Female","0","20","25","45","0","25","25","50"
"2014","Quintile 3","18","England","Female","610","645","330","1540","655","695","340","1690"
"2014","Quintile 3","18","Northern Ireland","Female","0","10","5","15","0","10","5","15"
"2014","Quintile 3","18","Wales","Female","20","25","45","90","20","25","50","95"
"2015","Quintile 3","18","England","Female","1460","1025","1045","3270","1560","1105","1055","3720"
"2015","Quintile 3","18","Northern Ireland","Female","10","10","30","50","10","15","30","55"
"2015","Quintile 3","18","Wales","Female","55","45","50","150","55","50","65","170"
"2016","Quintile 3","18","England","Female","2415","2080","1250","5250","2640","2275","1275","6190"
"2016","Quintile 3","18","Northern Ireland","Female","10","35","15","55","10","35","15","55"
"2016","Quintile 3","18","Wales","Female","60","125","75","245","65","135","95","295"
"2017","Quintile 3","18","England","Female","4150","2530","1680","7450","4765","2810","1745","9320"
"2017","Quintile 3","18","Northern Ireland","Female","25","15","35","75","30","15","35","80"
"2017","Quintile 3","18","Wales","Female","115","175","140","385","130","205","150","485"
"2018","Quintile 3","18","England","Female","5780","3305","2250","9725","7175","3750","2305","13235"
"2018","Quintile 3","18","Northern Ireland","Female","50","40","40","120","55","45","40","140"
"2018","Quintile 3","18","Wales","Female","220","180","100","450","255","210","110","580"
"2019","Quintile 3","18","England","Female","7215","3310","2150","10615","9370","3825","2220","15415"
"2019","Quintile 3","18","Northern Ireland","Female","55","30","25","100","60","35","25","120"
"2019","Quintile 3","18","Wales","Female","235","230","60","465","280","290","65","635"
"2020","Quintile 3","18","England","Female","3345","5895","4380","11110","3800","7475","5155","16430"
"2020","Quintile 3","18","Northern Ireland","Female","20","55","215","265","25","60","290","375"
"2020","Quintile 3","18","Wales","Female","50","315","415","665","55","415","560","1030"
"2021","Quintile 3","18","England","Female","0","2580","585","3020","0","3015","605","3620"
"2021","Quintile 3","18","Northern Ireland","Female","0","30","5","30","0","35","5","35"
"2021","Quintile 3","18","Wales","Female","0","320","65","355","0","405","75","485"
"2022","Quintile 3","18","England","Female","495","3805","860","4905","525","4610","905","6040"
"2022","Quintile 3","18","Northern Ireland","Female","5","25","5","35","5","25","5","35"
"2022","Quintile 3","18","Wales","Female","15","150","115","265","15","180","135","330"
"2023","Quintile 3","18","England","Female","0","2945","830","3620","0","3415","875","4285"
"2023","Quintile 3","18","Northern Ireland","Female","0","15","5","20","0","15","5","20"
"2023","Quintile 3","18","Wales","Female","0","90","55","140","0","110","65","175"
"2013","Quintile 4","18","England","Female","0","190","105","290","0","225","105","330"
"2013","Quintile 4","18","Northern Ireland","Female","0","5","5","5","0","5","5","10"
"2013","Quintile 4","18","Wales","Female","0","10","25","35","0","10","25","35"
"2014","Quintile 4","18","England","Female","790","765","365","1855","820","830","375","2025"
"2014","Quintile 4","18","Northern Ireland","Female","10","25","10","40","10","25","10","45"
"2014","Quintile 4","18","Wales","Female","25","20","35","80","25","20","45","90"
"2015","Quintile 4","18","England","Female","1820","1130","1095","3795","1930","1230","1105","4270"
"2015","Quintile 4","18","Northern Ireland","Female","10","30","25","65","10","40","25","75"
"2015","Quintile 4","18","Wales","Female","35","50","60","140","40","60","75","175"
"2016","Quintile 4","18","England","Female","2915","2400","1300","6070","3130","2635","1315","7085"
"2016","Quintile 4","18","Northern Ireland","Female","25","25","15","65","30","25","20","70"
"2016","Quintile 4","18","Wales","Female","70","95","70","220","70","120","85","275"
"2017","Quintile 4","18","England","Female","5080","2750","1720","8640","5865","3050","1790","10705"
"2017","Quintile 4","18","Northern Ireland","Female","40","35","40","110","40","40","40","120"
"2017","Quintile 4","18","Wales","Female","115","145","75","305","115","160","85","365"
"2018","Quintile 4","18","England","Female","7070","3420","2505","11215","8700","3865","2545","15105"
"2018","Quintile 4","18","Northern Ireland","Female","85","40","50","160","90","40","50","180"
"2018","Quintile 4","18","Wales","Female","225","110","110","390","285","130","125","540"
"2019","Quintile 4","18","England","Female","8445","3765","2330","12280","10930","4320","2390","17640"
"2019","Quintile 4","18","Northern Ireland","Female","90","35","25","145","105","45","30","180"
"2019","Quintile 4","18","Wales","Female","215","160","70","400","280","190","70","540"
"2020","Quintile 4","18","England","Female","3805","6870","4635","12590","4295","8595","5460","18350"
"2020","Quintile 4","18","Northern Ireland","Female","25","65","260","335","25","85","340","455"
"2020","Quintile 4","18","Wales","Female","50","195","350","515","60","260","470","790"
"2021","Quintile 4","18","England","Female","0","3100","670","3605","0","3620","695","4315"
"2021","Quintile 4","18","Northern Ireland","Female","0","50","5","55","0","55","5","60"
"2021","Quintile 4","18","Wales","Female","0","195","60","230","0","255","70","320"
"2022","Quintile 4","18","England","Female","465","4440","975","5590","485","5365","1005","6855"
"2022","Quintile 4","18","Northern Ireland","Female","5","40","10","55","10","45","10","65"
"2022","Quintile 4","18","Wales","Female","10","110","85","205","15","140","95","245"
"2023","Quintile 4","18","England","Female","0","3155","830","3840","0","3590","885","4480"
"2023","Quintile 4","18","Northern Ireland","Female","0","30","5","35","0","35","5","40"
"2023","Quintile 4","18","Wales","Female","0","60","35","95","0","70","35","110"
"2013","Quintile 5","18","England","Female","0","220","145","355","0","295","145","440"
"2013","Quintile 5","18","Northern Ireland","Female","0","5","0","10","0","10","0","10"
"2013","Quintile 5","18","Wales","Female","0","10","10","20","0","10","10","20"
"2014","Quintile 5","18","England","Female","1585","895","455","2845","1665","960","475","3100"
"2014","Quintile 5","18","Northern Ireland","Female","10","35","10","55","10","40","10","60"
"2014","Quintile 5","18","Wales","Female","40","15","30","85","40","20","30","90"
"2015","Quintile 5","18","England","Female","3280","1285","1135","5415","3565","1365","1150","6080"
"2015","Quintile 5","18","Northern Ireland","Female","25","35","40","100","30","35","40","105"
"2015","Quintile 5","18","Wales","Female","85","35","45","155","95","35","50","180"
"2016","Quintile 5","18","England","Female","4680","2230","1425","7770","5050","2405","1440","8900"
"2016","Quintile 5","18","Northern Ireland","Female","40","40","20","100","45","45","20","110"
"2016","Quintile 5","18","Wales","Female","105","55","45","195","105","70","45","225"
"2017","Quintile 5","18","England","Female","7410","2805","1785","11000","8450","3115","1835","13405"
"2017","Quintile 5","18","Northern Ireland","Female","75","60","50","170","90","65","50","205"
"2017","Quintile 5","18","Wales","Female","155","85","75","295","165","95","80","340"
"2018","Quintile 5","18","England","Female","10050","3285","2435","13995","12225","3735","2480","18440"
"2018","Quintile 5","18","Northern Ireland","Female","145","80","70","285","165","90","70","330"
"2018","Quintile 5","18","Wales","Female","225","120","95","380","260","130","100","490"
"2019","Quintile 5","18","England","Female","11560","3485","2530","15300","14540","4030","2600","21170"
"2019","Quintile 5","18","Northern Ireland","Female","135","65","40","220","150","75","40","265"
"2019","Quintile 5","18","Wales","Female","230","155","80","410","270","185","80","535"
"2020","Quintile 5","18","England","Female","5175","7200","4535","14085","5750","8845","5265","19860"
"2020","Quintile 5","18","Northern Ireland","Female","40","110","370","490","45","125","470","640"
"2020","Quintile 5","18","Wales","Female","75","200","245","430","80","260","300","640"
"2021","Quintile 5","18","England","Female","0","3425","705","3935","0","4000","750","4750"
"2021","Quintile 5","18","Northern Ireland","Female","0","70","15","80","0","80","20","100"
"2021","Quintile 5","18","Wales","Female","0","175","40","200","0","215","50","265"
"2022","Quintile 5","18","England","Female","470","4245","1040","5495","490","5140","1085","6715"
"2022","Quintile 5","18","Northern Ireland","Female","5","60","15","75","5","70","15","90"
"2022","Quintile 5","18","Wales","Female","5","110","65","180","5","135","75","220"
"2023","Quintile 5","18","England","Female","0","2975","970","3790","0","3420","1035","4455"
"2023","Quintile 5","18","Northern Ireland","Female","0","35","10","45","0","40","15","50"
"2023","Quintile 5","18","Wales","Female","0","60","35","90","0","75","45","120"
"2013","Unknown","18","England","Male","0","5","0","5","0","5","0","10"
"2014","Unknown","18","England","Male","5","5","5","10","5","5","5","10"
"2015","Unknown","18","England","Male","5","0","0","5","5","0","0","5"
"2016","Unknown","18","England","Male","5","10","5","20","5","10","5","20"
"2017","Unknown","18","England","Male","10","10","5","25","15","10","5","30"
"2017","Unknown","18","Wales","Male","0","0","0","5","0","0","5","5"
"2018","Unknown","18","England","Male","10","15","5","30","15","15","5","40"
"2018","Unknown","18","Northern Ireland","Male","0","0","0","5","0","0","0","5"
"2019","Unknown","18","England","Male","20","15","5","30","30","15","5","50"
"2019","Unknown","18","Northern Ireland","Male","0","0","0","5","0","0","0","5"
"2019","Unknown","18","Wales","Male","0","0","0","0","0","0","0","5"
"2020","Unknown","18","England","Male","10","10","10","25","10","15","15","40"
"2020","Unknown","18","Wales","Male","0","5","5","5","0","5","5","10"
"2021","Unknown","18","England","Male","0","10","0","10","0","10","5","15"
"2022","Unknown","18","England","Male","0","5","0","5","0","5","0","5"
"2023","Unknown","18","England","Male","0","5","0","5","0","5","0","5"
"2013","Quintile 1","18","England","Male","0","85","35","120","0","100","35","140"
"2013","Quintile 1","18","Wales","Male","0","0","5","5","0","0","5","10"
"2014","Quintile 1","18","England","Male","325","260","160","710","355","300","160","815"
"2014","Quintile 1","18","Northern Ireland","Male","0","5","0","10","0","5","0","10"
"2014","Quintile 1","18","Wales","Male","10","10","15","30","10","10","15","30"
"2015","Quintile 1","18","England","Male","570","420","520","1405","615","450","535","1605"
"2015","Quintile 1","18","Northern Ireland","Male","0","10","5","15","0","10","5","15"
"2015","Quintile 1","18","Wales","Male","10","10","20","40","10","15","20","40"
