"Year","Parent in UK armed forces status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.9400000000000001","0"
"2023","Not declared","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","120","120","0.992","0"
"2023","Not declared","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has not served in UK armed forces","17 and under","England","Female","Not main scheme applicant","Not main scheme application","35","20","0.595","15"
"2023","Parent has not served in UK armed forces","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","45","40","0.909","5"
"2023","Parent has not served in UK armed forces","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Not main scheme applicant","Not main scheme application","1090","1035","0.9490000000000001","5"
"2023","Not declared","18","Scotland","Female","Not main scheme applicant","Not main scheme application","175","170","0.989","0"
"2023","Not declared","18","Wales","Female","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2023","Parent has not served in UK armed forces","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Parent has not served in UK armed forces","18","England","Female","Not main scheme applicant","Not main scheme application","905","820","0.904","120"
"2023","Parent has not served in UK armed forces","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","35","0.786","15"
"2023","Parent has not served in UK armed forces","18","Wales","Female","Not main scheme applicant","Not main scheme application","40","40","0.9500000000000001","5"
"2023","Parent has served in UK armed forces","18","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.911","5"
"2023","Not declared","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Not declared","19","England","Female","Not main scheme applicant","Not main scheme application","1925","1825","0.9470000000000001","0"
"2023","Not declared","19","Scotland","Female","Not main scheme applicant","Not main scheme application","135","135","0.993","0"
"2023","Not declared","19","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.9380000000000001","0"
