"Year","Parental responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","17 and under","England","Female","Not main scheme applicant","Not main scheme application","70","65","0.9410000000000001","0"
"2023","Not declared","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","120","120","0.992","0"
"2023","Not declared","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","17 and under","England","Female","Not main scheme applicant","Not main scheme application","35","20","0.5680000000000001","15"
"2023","Does not have parental responsibility","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","45","40","0.891","5"
"2023","Does not have parental responsibility","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Not main scheme applicant","Not main scheme application","1090","1035","0.9480000000000001","5"
"2023","Not declared","18","Scotland","Female","Not main scheme applicant","Not main scheme application","175","170","0.989","0"
"2023","Not declared","18","Wales","Female","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2023","Does not have parental responsibility","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Does not have parental responsibility","18","England","Female","Not main scheme applicant","Not main scheme application","950","860","0.905","125"
"2023","Does not have parental responsibility","18","Scotland","Female","Not main scheme applicant","Not main scheme application","45","35","0.791","15"
"2023","Does not have parental responsibility","18","Wales","Female","Not main scheme applicant","Not main scheme application","40","40","0.9520000000000001","5"
"2023","Not declared","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Not declared","19","England","Female","Not main scheme applicant","Not main scheme application","1925","1825","0.9480000000000001","5"
"2023","Not declared","19","Scotland","Female","Not main scheme applicant","Not main scheme application","135","135","0.993","0"
"2023","Not declared","19","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.937","0"
"2023","Does not have parental responsibility","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","65","55","0.875","5"
"2023","Does not have parental responsibility","19","England","Female","Not main scheme applicant","Not main scheme application","2070","1875","0.905","195"
"2023","Does not have parental responsibility","19","Scotland","Female","Not main scheme applicant","Not main scheme application","95","80","0.804","20"
"2023","Does not have parental responsibility","19","Wales","Female","Not main scheme applicant","Not main scheme application","100","95","0.912","15"
"2023","Has parental responsibility","19","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.84","5"
"2023","Not declared","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Not main scheme applicant","Not main scheme application","1450","1365","0.9400000000000001","5"
"2023","Not declared","20","Scotland","Female","Not main scheme applicant","Not main scheme application","95","95","0.979","0"
"2023","Not declared","20","Wales","Female","Not main scheme applicant","Not main scheme application","65","60","0.984","0"
"2023","Does not have parental responsibility","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.848","5"
"2023","Does not have parental responsibility","20","England","Female","Not main scheme applicant","Not main scheme application","1280","1125","0.879","160"
"2023","Does not have parental responsibility","20","Scotland","Female","Not main scheme applicant","Not main scheme application","70","60","0.8310000000000001","20"
"2023","Does not have parental responsibility","20","Wales","Female","Not main scheme applicant","Not main scheme application","60","55","0.933","15"
"2023","Has parental responsibility","20","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.864","0"
"2023","Not declared","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","3960","3705","0.936","15"
"2023","Not declared","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","195","185","0.9440000000000001","0"
"2023","Not declared","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","110","105","0.9550000000000001","0"
"2023","Does not have parental responsibility","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.737","5"
"2023","Does not have parental responsibility","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1790","1495","0.836","345"
"2023","Does not have parental responsibility","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","190","155","0.81","55"
"2023","Does not have parental responsibility","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","105","90","0.864","20"
"2023","Has parental responsibility","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","160","130","0.79","25"
"2023","Has parental responsibility","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","Has parental responsibility","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","3610","3425","0.9480000000000001","5"
"2023","Not declared","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","140","130","0.935","0"
"2023","Not declared","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.9490000000000001","0"
"2023","Does not have parental responsibility","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","535","425","0.791","130"
"2023","Does not have parental responsibility","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","60","50","0.8","25"
"2023","Does not have parental responsibility","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","30","25","0.719","15"
"2023","Has parental responsibility","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has parental responsibility","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","290","225","0.766","65"
