"Year","Predicted A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","7 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","11 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","12 point(s)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","7 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","8 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","13 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","8 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","8 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","9 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","9 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2021","11 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","11 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","12 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","15","10","0.846","0"
"2010","13 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","13 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","13 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","13 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","14 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","14 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","14 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","15 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","15 point(s)","Quintile 3","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","6 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","7 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2017","8 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2015","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2013","10 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2021","10 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2021","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","11 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","15","15","0.933","5"
"2021","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","12 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","13 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","13 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","13 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","13 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","13 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","13 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","13 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","14 point(s)","Quintile 4","Not main scheme applicant","Not main scheme application","5","5"," ","0"
