"Year","Predicted A level points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","6 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","7 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2020","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2021","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","8 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2019","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2021","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","9 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2012","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2013","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2015","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","5"
"2019","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","5"
"2021","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","10 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2010","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2012","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2013","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2021","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2022","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","11 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","12 point(s)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
