"Year","Predicted A level points","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","1 point(s)","18","England","Female","5","5"," "
"2011","2 point(s)","18","England","Female","5","5"," "
"2012","2 point(s)","18","England","Female","5","0"," "
"2013","2 point(s)","18","England","Female","10","5"," "
"2019","2 point(s)","18","England","Female","5","5"," "
"2023","2 point(s)","18","England","Female","15","5"," "
"2010","3 point(s)","18","England","Female","85","40","0.447"
"2011","3 point(s)","18","England","Female","25","10"," "
"2012","3 point(s)","18","England","Female","25","10","0.48"
"2013","3 point(s)","18","England","Female","35","20","0.6"
"2014","3 point(s)","18","England","Female","20","5"," "
"2016","3 point(s)","18","England","Female","20","10"," "
"2017","3 point(s)","18","England","Female","35","15","0.371"
"2018","3 point(s)","18","England","Female","40","20","0.55"
"2019","3 point(s)","18","England","Female","50","25","0.54"
"2020","3 point(s)","18","England","Female","30","15","0.5"
"2021","3 point(s)","18","England","Female","70","40","0.586"
"2022","3 point(s)","18","England","Female","90","55","0.622"
"2023","3 point(s)","18","England","Female","70","45","0.657"
"2013","3 point(s)","18","Wales","Female","5","0"," "
"2020","3 point(s)","18","Wales","Female","5","5"," "
"2022","3 point(s)","18","Wales","Female","10","10"," "
"2010","4 point(s)","18","Northern Ireland","Female","10","10"," "
"2011","4 point(s)","18","Northern Ireland","Female","10","0"," "
"2023","4 point(s)","18","Northern Ireland","Female","5","0"," "
"2010","4 point(s)","18","England","Female","270","155","0.5670000000000001"
"2011","4 point(s)","18","England","Female","235","105","0.443"
"2012","4 point(s)","18","England","Female","105","45","0.448"
"2013","4 point(s)","18","England","Female","100","55","0.55"
"2014","4 point(s)","18","England","Female","80","40","0.525"
"2015","4 point(s)","18","England","Female","90","40","0.444"
"2016","4 point(s)","18","England","Female","35","15","0.4"
"2017","4 point(s)","18","England","Female","65","35","0.554"
"2018","4 point(s)","18","England","Female","130","90","0.685"
"2019","4 point(s)","18","England","Female","125","75","0.592"
"2020","4 point(s)","18","England","Female","140","80","0.5640000000000001"
"2021","4 point(s)","18","England","Female","190","135","0.7000000000000001"
"2022","4 point(s)","18","England","Female","170","105","0.612"
"2023","4 point(s)","18","England","Female","185","110","0.589"
"2010","4 point(s)","18","Scotland","Female","5","0"," "
"2012","4 point(s)","18","Scotland","Female","5","0"," "
"2010","4 point(s)","18","Wales","Female","10","0"," "
"2011","4 point(s)","18","Wales","Female","5","0"," "
"2014","4 point(s)","18","Wales","Female","5","5"," "
"2020","4 point(s)","18","Wales","Female","5","5"," "
"2021","4 point(s)","18","Wales","Female","5","5"," "
"2022","4 point(s)","18","Wales","Female","10","5"," "
"2010","5 point(s)","18","Northern Ireland","Female","15","15","0.867"
"2011","5 point(s)","18","Northern Ireland","Female","10","0"," "
"2012","5 point(s)","18","Northern Ireland","Female","15","5"," "
"2013","5 point(s)","18","Northern Ireland","Female","20","5"," "
"2014","5 point(s)","18","Northern Ireland","Female","10","5"," "
"2015","5 point(s)","18","Northern Ireland","Female","5","5"," "
"2018","5 point(s)","18","Northern Ireland","Female","5","0"," "
"2010","5 point(s)","18","England","Female","1155","615","0.532"
"2011","5 point(s)","18","England","Female","835","335","0.399"
"2012","5 point(s)","18","England","Female","515","220","0.423"
"2013","5 point(s)","18","England","Female","310","190","0.619"
"2014","5 point(s)","18","England","Female","270","145","0.541"
"2015","5 point(s)","18","England","Female","235","135","0.5740000000000001"
"2016","5 point(s)","18","England","Female","260","170","0.654"
"2017","5 point(s)","18","England","Female","290","155","0.531"
"2018","5 point(s)","18","England","Female","320","210","0.653"
"2019","5 point(s)","18","England","Female","395","255","0.646"
"2020","5 point(s)","18","England","Female","315","225","0.717"
"2021","5 point(s)","18","England","Female","360","255","0.706"
"2022","5 point(s)","18","England","Female","505","320","0.634"
"2023","5 point(s)","18","England","Female","490","325","0.661"
"2010","5 point(s)","18","Wales","Female","30","10"," "
"2011","5 point(s)","18","Wales","Female","40","15","0.4"
"2012","5 point(s)","18","Wales","Female","15","10","0.8"
"2013","5 point(s)","18","Wales","Female","5","5"," "
"2014","5 point(s)","18","Wales","Female","10","10"," "
"2015","5 point(s)","18","Wales","Female","5","5"," "
"2016","5 point(s)","18","Wales","Female","5","5"," "
