"Year","Predicted BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","1 point (PPP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","1 point (PPP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","3 points (MMP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 points (MMP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","3 points (MMP)","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 points (DMM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2014","6 points (DDM)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","7 points (DDD)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","7 points (DDD)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","7 points (DDD)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","9 points (D*D*D)","Quintile 1","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","10 points (D*D*D*)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 points (D*D*D*)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","10 points (D*D*D*)","Quintile 1","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","1 point (PPP)","Quintile 2","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2014","3 points (MMP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","3 points (MMP)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 points (MMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","5 points (DMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 points (DMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","5 points (DMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 points (DMM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","6 points (DDM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","6 points (DDM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","6 points (DDM)","Quintile 2","Not main scheme applicant","Not main scheme application","5","5"," ","0"
