"Year","Predicted BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","1 point (PPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","2 points (MPP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 points (MMP)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2013","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","4 points (MMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2021","5 points (DMM)","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
