"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","13 point(s)","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","14 point(s)","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","16 point(s)","Quintile 1","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","16 point(s)","Quintile 1","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","13 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","14 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","15 point(s)","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","13 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","14 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","14 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","14 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","15 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","15 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","15 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","15 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","16 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","16 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","17 point(s)","Quintile 3","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","13 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","14 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","16 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","19 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","12 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","13 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","13 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","13 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","14 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","14 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","14 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","14 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","14 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","0"," ","0"
