"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2018","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","A level Only (Without extended project)","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","BTEC Only","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","BTEC Only","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2010","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2013","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2015","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2016","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2017","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.81","0"
"2018","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2019","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","45","35","0.841","0"
"2020","SQA Only","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","55","50","0.911","5"
