"Year","Qualification group","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","15","15","0.882","5"
"2012","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","50","45","0.9380000000000001","5"
"2013","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","65","65","0.9550000000000001","5"
"2014","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","75","70","0.9590000000000001","5"
"2015","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","80","80","0.975","10"
"2016","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","110","105","0.9450000000000001","5"
"2017","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","150","145","0.9540000000000001","15"
"2018","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","145","130","0.909","10"
"2019","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","255","240","0.9490000000000001","20"
"2020","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","295","285","0.963","35"
"2021","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","125","115","0.9430000000000001","10"
"2022","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","145","135","0.9380000000000001","10"
"2023","A level Only (With extended project)","White","Not main scheme applicant","Not main scheme application","155","145","0.9480000000000001","5"
"2008","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","1930","1905","0.986","535"
"2009","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","2075","1940","0.936","835"
"2010","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","1990","1875","0.9420000000000001","705"
"2011","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","2010","1875","0.933","680"
"2012","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","2940","2810","0.9550000000000001","425"
"2013","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","3270","3125","0.9550000000000001","430"
"2014","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","3010","2850","0.9470000000000001","385"
"2015","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","3075","2920","0.9500000000000001","385"
"2016","A level Only (Without extended project)","White","Not main scheme applicant","Not main scheme application","3015","2845","0.9440000000000001","370"
