"Year","Refugee and asylum seeker status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","No","17 and under","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.5630000000000001","15"
"2023","No","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","45","40","0.891","5"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","17 and under","England","Female","Not main scheme applicant","Not main scheme application","0","0"," ","5"
"2023","Not declared","17 and under","England","Female","Not main scheme applicant","Not main scheme application","65","65","0.9400000000000001","0"
"2023","Not declared","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","120","120","0.992","0"
"2023","Not declared","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","18","England","Female","Not main scheme applicant","Not main scheme application","925","840","0.909","120"
"2023","No","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","35","0.8250000000000001","15"
"2023","No","18","Wales","Female","Not main scheme applicant","Not main scheme application","40","40","0.9500000000000001","5"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.769","5"
"2023","I have limited or discretionary leave to remain in the UK","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Not main scheme applicant","Not main scheme application","1090","1035","0.9490000000000001","5"
"2023","Not declared","18","Scotland","Female","Not main scheme applicant","Not main scheme application","175","170","0.989","0"
"2023","Not declared","18","Wales","Female","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2023","No","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","65","55","0.875","5"
"2023","No","19","England","Female","Not main scheme applicant","Not main scheme application","2060","1865","0.906","195"
"2023","No","19","Scotland","Female","Not main scheme applicant","Not main scheme application","95","80","0.8130000000000001","20"
"2023","No","19","Wales","Female","Not main scheme applicant","Not main scheme application","100","95","0.912","10"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","19","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","5"
"2023","I have limited or discretionary leave to remain in the UK","19","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.929","0"
"2023","I'm currently seeking asylum in the UK","19","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Not declared","19","England","Female","Not main scheme applicant","Not main scheme application","1925","1825","0.9490000000000001","5"
"2023","Not declared","19","Scotland","Female","Not main scheme applicant","Not main scheme application","135","135","0.993","0"
"2023","Not declared","19","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.937","0"
"2023","No","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.848","5"
"2023","No","20","England","Female","Not main scheme applicant","Not main scheme application","1260","1110","0.88","160"
"2023","No","20","Scotland","Female","Not main scheme applicant","Not main scheme application","70","60","0.8310000000000001","20"
"2023","No","20","Wales","Female","Not main scheme applicant","Not main scheme application","55","55","0.9470000000000001","15"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","20","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.722","5"
"2023","I have limited or discretionary leave to remain in the UK","20","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2023","Not declared","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Not main scheme applicant","Not main scheme application","1455","1370","0.9400000000000001","5"
"2023","Not declared","20","Scotland","Female","Not main scheme applicant","Not main scheme application","95","95","0.979","0"
"2023","Not declared","20","Wales","Female","Not main scheme applicant","Not main scheme application","65","60","0.969","0"
"2023","No","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.667","10"
"2023","No","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1890","1575","0.835","355"
"2023","No","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","190","155","0.8210000000000001","55"
"2023","No","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","110","90","0.844","20"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.8","5"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.677","5"
"2023","I have limited or discretionary leave to remain in the UK","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","3965","3710","0.935","15"
"2023","Not declared","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","195","185","0.9430000000000001","0"
"2023","Not declared","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","110","105","0.9550000000000001","0"
"2023","No","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","No","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","810","635","0.786","185"
"2023","No","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","80","60","0.75","35"
"2023","No","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","55","45","0.754","15"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","10"
"2023","I have limited or discretionary leave to remain in the UK","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Not declared","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","3615","3425","0.9490000000000001","5"
"2023","Not declared","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","140","130","0.935","0"
"2023","Not declared","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.9490000000000001","0"
"2023","No","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","No","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","575","435","0.76","130"
"2023","No","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","75","50","0.649","15"
"2023","No","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","30","25","0.806","20"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.875","10"
"2023","I have limited or discretionary leave to remain in the UK","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","10"
"2023","Not declared","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","3365","3180","0.9440000000000001","5"
"2023","Not declared","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","100","95","0.98","0"
"2023","Not declared","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2023","No","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","No","35 and over","England","Female","Not main scheme applicant","Not main scheme application","1345","1010","0.752","525"
"2023","No","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","145","95","0.669","75"
"2023","No","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","80","60","0.744","20"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","35 and over","England","Female","Not main scheme applicant","Not main scheme application","40","25","0.667","15"
"2023","I have limited or discretionary leave to remain in the UK","35 and over","England","Female","Not main scheme applicant","Not main scheme application","40","25","0.625","35"
"2023","I have limited or discretionary leave to remain in the UK","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Female","Not main scheme applicant","Not main scheme application","8100","7655","0.9450000000000001","20"
"2023","Not declared","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","275","265","0.964","0"
"2023","Not declared","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","135","130","0.97","0"
"2023","No","17 and under","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","17 and under","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.8","5"
"2023","No","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","0"
"2023","Not declared","17 and under","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2023","Not declared","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.989","0"
"2023","Not declared","17 and under","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","No","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
