"Year","Served in UK armed forces status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","17 and under","England","Female","Not main scheme applicant","Not main scheme application","70","65","0.926","0"
"2023","Not declared","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","120","120","0.992","0"
"2023","Not declared","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","17 and under","England","Female","Not main scheme applicant","Not main scheme application","35","20","0.595","20"
"2023","Has not served in UK armed forces","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","45","40","0.891","5"
"2023","Has not served in UK armed forces","17 and under","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Not main scheme applicant","Not main scheme application","1090","1030","0.9490000000000001","5"
"2023","Not declared","18","Scotland","Female","Not main scheme applicant","Not main scheme application","175","170","0.989","0"
"2023","Not declared","18","Wales","Female","Not main scheme applicant","Not main scheme application","35","35","0.9440000000000001","0"
"2023","Has not served in UK armed forces","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Has not served in UK armed forces","18","England","Female","Not main scheme applicant","Not main scheme application","950","860","0.905","125"
"2023","Has not served in UK armed forces","18","Scotland","Female","Not main scheme applicant","Not main scheme application","45","35","0.791","15"
"2023","Has not served in UK armed forces","18","Wales","Female","Not main scheme applicant","Not main scheme application","40","40","0.9510000000000001","5"
"2023","Has served in UK armed forces","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Not declared","19","England","Female","Not main scheme applicant","Not main scheme application","1930","1825","0.9470000000000001","0"
"2023","Not declared","19","Scotland","Female","Not main scheme applicant","Not main scheme application","135","135","0.993","0"
"2023","Not declared","19","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.937","0"
"2023","Has not served in UK armed forces","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","65","55","0.875","5"
"2023","Has not served in UK armed forces","19","England","Female","Not main scheme applicant","Not main scheme application","2090","1895","0.906","200"
"2023","Has not served in UK armed forces","19","Scotland","Female","Not main scheme applicant","Not main scheme application","95","80","0.804","25"
"2023","Has not served in UK armed forces","19","Wales","Female","Not main scheme applicant","Not main scheme application","105","95","0.913","15"
"2023","Not declared","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Not main scheme applicant","Not main scheme application","1455","1365","0.9400000000000001","5"
"2023","Not declared","20","Scotland","Female","Not main scheme applicant","Not main scheme application","95","95","0.979","0"
"2023","Not declared","20","Wales","Female","Not main scheme applicant","Not main scheme application","65","60","0.984","0"
"2023","Has not served in UK armed forces","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.853","5"
"2023","Has not served in UK armed forces","20","England","Female","Not main scheme applicant","Not main scheme application","1295","1135","0.878","165"
"2023","Has not served in UK armed forces","20","Scotland","Female","Not main scheme applicant","Not main scheme application","75","60","0.836","20"
"2023","Has not served in UK armed forces","20","Wales","Female","Not main scheme applicant","Not main scheme application","60","55","0.933","15"
"2023","Not declared","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","3970","3715","0.935","15"
"2023","Not declared","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","195","185","0.9440000000000001","0"
"2023","Not declared","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","110","105","0.9550000000000001","0"
"2023","Has not served in UK armed forces","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.667","10"
"2023","Has not served in UK armed forces","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1935","1610","0.8320000000000001","370"
"2023","Has not served in UK armed forces","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","195","160","0.811","55"
"2023","Has not served in UK armed forces","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","110","95","0.839","20"
"2023","Not declared","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","3615","3425","0.9480000000000001","5"
"2023","Not declared","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","140","130","0.928","0"
"2023","Not declared","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","80","75","0.9490000000000001","0"
"2023","Has not served in UK armed forces","25 - 29","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","5"
"2023","Has not served in UK armed forces","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","825","645","0.783","195"
"2023","Has not served in UK armed forces","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","80","60","0.756","35"
"2023","Has not served in UK armed forces","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","60","45","0.759","15"
"2023","Not declared","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","3365","3175","0.9440000000000001","5"
"2023","Not declared","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","100","95","0.98","0"
"2023","Not declared","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2023","Has not served in UK armed forces","30 - 34","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has not served in UK armed forces","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","595","455","0.76","145"
"2023","Has not served in UK armed forces","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","75","50","0.649","15"
"2023","Has not served in UK armed forces","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","35","25","0.758","20"
"2023","Has served in UK armed forces","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Female","Not main scheme applicant","Not main scheme application","8110","7660","0.9440000000000001","25"
"2023","Not declared","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","275","265","0.963","0"
"2023","Not declared","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","135","130","0.963","0"
"2023","Has not served in UK armed forces","35 and over","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2023","Has not served in UK armed forces","35 and over","England","Female","Not main scheme applicant","Not main scheme application","1410","1055","0.748","570"
"2023","Has not served in UK armed forces","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","150","100","0.676","70"
"2023","Has not served in UK armed forces","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","80","60","0.756","20"
"2023","Has served in UK armed forces","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has served in UK armed forces","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","17 and under","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2023","Not declared","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.989","0"
"2023","Not declared","17 and under","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Has not served in UK armed forces","17 and under","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","17 and under","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.81","5"
"2023","Has not served in UK armed forces","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","5"
"2023","Not declared","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Not main scheme applicant","Not main scheme application","1185","1140","0.96","5"
"2023","Not declared","18","Scotland","Male","Not main scheme applicant","Not main scheme application","190","190","0.99","0"
"2023","Not declared","18","Wales","Male","Not main scheme applicant","Not main scheme application","55","55","0.982","0"
"2023","Has not served in UK armed forces","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","Has not served in UK armed forces","18","England","Male","Not main scheme applicant","Not main scheme application","1090","980","0.899","145"
"2023","Has not served in UK armed forces","18","Scotland","Male","Not main scheme applicant","Not main scheme application","45","40","0.907","15"
"2023","Has not served in UK armed forces","18","Wales","Male","Not main scheme applicant","Not main scheme application","60","55","0.9","10"
"2023","Not declared","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","England","Male","Not main scheme applicant","Not main scheme application","1845","1760","0.9540000000000001","10"
"2023","Not declared","19","Scotland","Male","Not main scheme applicant","Not main scheme application","145","140","0.986","0"
"2023","Not declared","19","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.931","0"
"2023","Has not served in UK armed forces","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","55","50","0.926","5"
"2023","Has not served in UK armed forces","19","England","Male","Not main scheme applicant","Not main scheme application","2310","2085","0.903","220"
"2023","Has not served in UK armed forces","19","Scotland","Male","Not main scheme applicant","Not main scheme application","85","75","0.88","25"
"2023","Has not served in UK armed forces","19","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.912","10"
"2023","Has served in UK armed forces","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Not main scheme applicant","Not main scheme application","1510","1420","0.9420000000000001","10"
"2023","Not declared","20","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.969","0"
"2023","Not declared","20","Wales","Male","Not main scheme applicant","Not main scheme application","70","70","0.986","0"
"2023","Has not served in UK armed forces","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","45","0.935","5"
"2023","Has not served in UK armed forces","20","England","Male","Not main scheme applicant","Not main scheme application","1465","1300","0.886","185"
"2023","Has not served in UK armed forces","20","Scotland","Male","Not main scheme applicant","Not main scheme application","75","65","0.87","20"
"2023","Has not served in UK armed forces","20","Wales","Male","Not main scheme applicant","Not main scheme application","55","50","0.912","10"
"2023","Has served in UK armed forces","20","England","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","4215","3955","0.9380000000000001","15"
"2023","Not declared","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","180","170","0.961","0"
"2023","Not declared","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.977","0"
"2023","Has not served in UK armed forces","21 - 24","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","45","40","0.864","10"
"2023","Has not served in UK armed forces","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","2060","1765","0.858","310"
"2023","Has not served in UK armed forces","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","135","115","0.858","30"
"2023","Has not served in UK armed forces","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","115","100","0.878","20"
"2023","Has served in UK armed forces","21 - 24","England","Male","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2023","Not declared","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","3645","3430","0.9420000000000001","5"
"2023","Not declared","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","90","90","0.9570000000000001","0"
"2023","Not declared","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","45","45","0.9570000000000001","0"
"2023","Has not served in UK armed forces","25 - 29","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","15","10","0.857","5"
"2023","Has not served in UK armed forces","25 - 29","England","Male","Not main scheme applicant","Not main scheme application","570","465","0.8220000000000001","145"
